timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,293.75,294.05,287.5,289.2,5218223
2025-06-16T10:15:00+05:30,289.3,293.95,289.15,293.5,2717069
2025-06-16T11:15:00+05:30,293.35,294.75,292.85,293.7,2176806
2025-06-16T12:15:00+05:30,293.7,294.45,292.85,293.3,1228362
2025-06-16T13:15:00+05:30,293.2,294.95,293.15,294.6,1190114
2025-06-16T14:15:00+05:30,294.6,294.95,293.7,294.15,2066964
2025-06-16T15:15:00+05:30,294.15,294.6,293.8,294.0,1542900
2025-06-17T09:15:00+05:30,295.0,295.5,291.1,293.65,2353036
2025-06-17T10:15:00+05:30,293.65,294.7,292.7,293.2,882864
2025-06-17T11:15:00+05:30,293.2,293.5,291.75,292.1,695582
2025-06-17T12:15:00+05:30,292.1,292.95,290.1,291.1,1159846
2025-06-17T13:15:00+05:30,291.1,291.85,290.1,291.5,929370
2025-06-17T14:15:00+05:30,291.6,291.6,289.55,290.15,1673278
2025-06-17T15:15:00+05:30,290.1,290.15,289.4,289.8,1074263
2025-06-18T09:15:00+05:30,289.0,292.65,288.6,292.1,2676954
2025-06-18T10:15:00+05:30,292.1,292.45,289.1,290.0,1246533
2025-06-18T11:15:00+05:30,290.1,290.3,288.6,290.0,743818
2025-06-18T12:15:00+05:30,289.85,290.0,288.05,288.35,854231
2025-06-18T13:15:00+05:30,288.35,288.8,287.7,288.1,790251
2025-06-18T14:15:00+05:30,288.2,289.1,287.35,287.95,1283481
2025-06-18T15:15:00+05:30,287.95,288.45,287.55,287.75,723196
2025-06-19T09:15:00+05:30,289.5,290.6,287.0,287.55,3930584
2025-06-19T10:15:00+05:30,287.65,287.65,285.15,286.2,1950629
2025-06-19T11:15:00+05:30,286.2,286.4,285.1,285.8,847003
2025-06-19T12:15:00+05:30,285.8,285.8,282.7,284.15,2193169
2025-06-19T13:15:00+05:30,284.15,285.0,283.15,284.8,1344954
2025-06-19T14:15:00+05:30,284.75,285.8,284.0,284.65,2259201
2025-06-19T15:15:00+05:30,284.65,285.0,283.0,283.0,1259872
2025-06-20T09:15:00+05:30,283.2,288.6,283.0,288.25,3329341
2025-06-20T10:15:00+05:30,288.25,292.25,288.25,291.85,3550053
2025-06-20T11:15:00+05:30,291.75,292.7,291.6,292.6,1950724
2025-06-20T12:15:00+05:30,292.6,292.65,289.8,292.0,2117731
2025-06-20T13:15:00+05:30,292.1,293.35,291.65,293.25,1632175
2025-06-20T14:15:00+05:30,293.25,294.5,292.2,294.15,4996238
2025-06-20T15:15:00+05:30,294.15,295.0,293.5,293.5,3421161
2025-06-23T09:15:00+05:30,288.55,292.75,287.45,291.25,3533473
2025-06-23T10:15:00+05:30,291.25,292.7,291.05,292.3,1928223
2025-06-23T11:15:00+05:30,292.4,293.4,291.7,293.2,1238477
2025-06-23T12:15:00+05:30,293.1,293.8,292.75,293.3,1085202
2025-06-23T13:15:00+05:30,293.3,295.9,293.15,294.5,2444832
2025-06-23T14:15:00+05:30,294.4,294.6,292.9,293.35,2052433
2025-06-23T15:15:00+05:30,293.3,293.4,292.65,293.2,897473
2025-06-24T09:15:00+05:30,298.05,302.0,297.1,300.95,7295164
2025-06-24T10:15:00+05:30,300.9,302.75,300.15,302.05,3141561
2025-06-24T11:15:00+05:30,302.05,303.9,301.8,303.75,3091576
2025-06-24T12:15:00+05:30,303.7,304.4,303.0,303.75,3381293
2025-06-24T13:15:00+05:30,303.7,303.85,301.25,301.75,3544743
2025-06-24T14:15:00+05:30,301.9,302.0,300.1,300.25,2395943
2025-06-24T15:15:00+05:30,300.25,301.7,300.1,301.5,1021235
2025-06-25T09:15:00+05:30,303.7,304.5,302.5,303.35,3738885
2025-06-25T10:15:00+05:30,303.3,303.95,302.25,302.5,1481866
2025-06-25T11:15:00+05:30,302.5,303.45,302.0,303.0,1024220
2025-06-25T12:15:00+05:30,303.0,304.0,302.5,304.0,1284106
2025-06-25T13:15:00+05:30,304.0,304.95,303.3,303.6,1728822
2025-06-25T14:15:00+05:30,303.75,303.85,302.65,303.5,1527090
2025-06-25T15:15:00+05:30,303.55,303.8,303.05,303.5,905321
2025-06-26T09:15:00+05:30,304.8,312.4,304.1,311.6,15608393
2025-06-26T10:15:00+05:30,311.75,311.9,309.3,309.55,5377690
2025-06-26T11:15:00+05:30,309.65,310.5,307.8,310.4,3755433
2025-06-26T12:15:00+05:30,310.45,310.85,309.25,310.35,2205170
2025-06-26T13:15:00+05:30,310.35,311.4,310.0,311.2,2470160
2025-06-26T14:15:00+05:30,311.2,312.7,311.0,312.25,5225291
2025-06-26T15:15:00+05:30,312.3,312.9,312.2,312.55,2414493
2025-06-27T09:15:00+05:30,314.05,316.85,312.85,314.1,7543517
2025-06-27T10:15:00+05:30,314.1,327.7,313.85,324.9,21030362
2025-06-27T11:15:00+05:30,324.9,329.3,322.55,326.4,14033869
2025-06-27T12:15:00+05:30,326.5,326.75,323.5,324.0,5843708
2025-06-27T13:15:00+05:30,324.0,325.7,323.5,324.25,3819195
2025-06-27T14:15:00+05:30,324.25,324.5,322.3,323.2,5079741
2025-06-27T15:15:00+05:30,323.2,324.65,323.0,324.6,3066147
2025-06-30T09:15:00+05:30,326.8,331.9,325.4,328.0,17497646
2025-06-30T10:15:00+05:30,328.0,328.25,325.7,327.65,5538974
2025-06-30T11:15:00+05:30,327.65,328.45,327.05,327.65,2113959
2025-06-30T12:15:00+05:30,327.65,328.15,325.9,326.25,2499646
2025-06-30T13:15:00+05:30,326.25,326.9,325.2,326.3,1920862
2025-06-30T14:15:00+05:30,326.3,327.3,325.8,326.5,3892326
2025-06-30T15:15:00+05:30,326.55,327.6,326.4,327.4,2931400
2025-07-01T09:15:00+05:30,328.15,330.85,327.1,327.35,7056585
2025-07-01T10:15:00+05:30,327.35,330.5,327.2,330.35,2587538
2025-07-01T11:15:00+05:30,330.4,331.3,329.25,330.55,2661653
2025-07-01T12:15:00+05:30,330.5,331.9,330.3,330.95,2279080
2025-07-01T13:15:00+05:30,330.95,331.0,329.0,330.25,1756658
2025-07-01T14:15:00+05:30,330.25,331.0,329.2,329.2,2267381
2025-07-01T15:15:00+05:30,329.25,330.35,329.05,330.2,1803085
2025-07-02T09:15:00+05:30,330.3,330.95,325.8,326.35,5160326
2025-07-02T10:15:00+05:30,326.35,327.25,325.2,326.95,1852578
2025-07-02T11:15:00+05:30,326.95,328.3,326.35,327.1,1440317
2025-07-02T12:15:00+05:30,327.1,327.55,325.8,325.95,977894
2025-07-02T13:15:00+05:30,325.9,326.45,325.05,326.1,1105893
2025-07-02T14:15:00+05:30,326.2,327.35,325.45,326.9,1711831
2025-07-02T15:15:00+05:30,326.9,327.15,326.3,326.55,1025115
2025-07-03T09:15:00+05:30,327.5,328.75,324.8,326.5,3412821
2025-07-03T10:15:00+05:30,326.5,327.7,324.85,325.7,2113473
2025-07-03T11:15:00+05:30,325.8,325.95,324.8,325.4,919670
2025-07-03T12:15:00+05:30,325.35,326.2,325.0,326.1,732090
2025-07-03T13:15:00+05:30,326.05,327.45,325.4,326.65,1192091
2025-07-03T14:15:00+05:30,326.65,326.75,324.9,324.9,1979505
2025-07-03T15:15:00+05:30,324.95,325.25,324.55,324.9,1066767
2025-07-04T09:15:00+05:30,326.0,326.95,323.9,325.9,2724292
2025-07-04T10:15:00+05:30,325.9,327.4,325.2,327.35,1045420
2025-07-04T11:15:00+05:30,327.4,327.6,323.35,324.1,1879104
2025-07-04T12:15:00+05:30,324.1,324.75,323.7,324.45,780136
2025-07-04T13:15:00+05:30,324.45,325.4,323.85,324.4,928739
2025-07-04T14:15:00+05:30,324.35,325.7,324.05,325.05,1293238
2025-07-04T15:15:00+05:30,325.05,325.2,324.5,325.0,862243
2025-07-07T09:15:00+05:30,324.95,327.25,323.05,326.85,2797174
2025-07-07T10:15:00+05:30,326.85,329.7,326.6,328.4,3401092
2025-07-07T11:15:00+05:30,328.4,329.0,327.7,327.95,1298935
2025-07-07T12:15:00+05:30,327.95,329.25,327.6,328.7,1067264
2025-07-07T13:15:00+05:30,328.6,329.35,328.0,328.2,1317634
2025-07-07T14:15:00+05:30,328.1,328.35,326.55,328.15,1945313
2025-07-07T15:15:00+05:30,328.15,328.5,327.85,328.3,1255401
2025-07-08T09:15:00+05:30,328.9,330.7,325.8,326.2,4502612
2025-07-08T10:15:00+05:30,326.3,326.8,325.0,325.3,1286816
2025-07-08T11:15:00+05:30,325.35,327.15,324.75,326.6,1645147
2025-07-08T12:15:00+05:30,326.6,327.85,325.65,327.3,1246201
2025-07-08T13:15:00+05:30,327.3,329.4,326.75,328.25,1576396
2025-07-08T14:15:00+05:30,328.25,329.7,327.35,328.9,2326172
2025-07-08T15:15:00+05:30,328.9,329.2,328.6,328.8,1190999
