timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,507.8,510.25,503.05,505.85,462174
2025-06-16T10:15:00+05:30,506.15,513.8,506.0,510.95,294023
2025-06-16T11:15:00+05:30,510.8,511.95,508.95,510.8,190410
2025-06-16T12:15:00+05:30,511.0,511.8,509.0,511.3,175248
2025-06-16T13:15:00+05:30,511.5,513.0,510.2,512.8,131584
2025-06-16T14:15:00+05:30,512.6,512.95,510.7,512.55,257744
2025-06-16T15:15:00+05:30,512.5,514.3,512.4,513.7,193379
2025-06-17T09:15:00+05:30,514.7,515.9,502.1,504.95,733181
2025-06-17T10:15:00+05:30,504.85,507.2,504.05,505.75,307224
2025-06-17T11:15:00+05:30,505.75,505.9,503.6,504.95,251473
2025-06-17T12:15:00+05:30,504.95,505.45,500.5,501.7,312818
2025-06-17T13:15:00+05:30,501.55,503.75,501.0,503.4,171065
2025-06-17T14:15:00+05:30,503.4,504.75,501.5,504.05,309909
2025-06-17T15:15:00+05:30,504.05,504.05,502.0,502.3,216392
2025-06-18T09:15:00+05:30,503.0,512.5,500.7,511.6,918573
2025-06-18T10:15:00+05:30,511.8,512.0,505.6,507.8,285569
2025-06-18T11:15:00+05:30,507.75,507.85,504.35,505.35,151212
2025-06-18T12:15:00+05:30,505.45,506.75,501.6,504.15,266768
2025-06-18T13:15:00+05:30,504.15,505.7,503.1,503.1,184151
2025-06-18T14:15:00+05:30,503.2,505.75,501.3,504.4,259532
2025-06-18T15:15:00+05:30,504.5,505.0,502.0,503.6,182434
2025-06-19T09:15:00+05:30,504.1,507.0,500.1,501.05,649551
2025-06-19T10:15:00+05:30,501.05,501.95,496.45,498.1,420315
2025-06-19T11:15:00+05:30,498.05,498.35,492.6,493.7,372268
2025-06-19T12:15:00+05:30,493.85,494.0,484.35,484.5,1511364
2025-06-19T13:15:00+05:30,484.7,486.5,482.0,486.3,1059862
2025-06-19T14:15:00+05:30,486.45,486.5,480.05,480.4,984756
2025-06-19T15:15:00+05:30,480.4,481.55,479.0,479.5,476309
2025-06-20T09:15:00+05:30,481.05,489.0,480.05,485.45,989376
2025-06-20T10:15:00+05:30,485.4,493.0,485.2,492.6,610239
2025-06-20T11:15:00+05:30,492.6,499.0,492.4,497.0,769702
2025-06-20T12:15:00+05:30,497.0,497.35,492.55,494.95,652110
2025-06-20T13:15:00+05:30,494.95,496.2,492.6,492.65,546422
