timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,681.05,684.65,674.4,683.3,158564
2025-06-16T10:15:00+05:30,683.05,686.75,682.6,685.35,90035
2025-06-16T11:15:00+05:30,685.15,693.9,685.0,693.0,157971
2025-06-16T12:15:00+05:30,692.65,693.9,688.05,689.95,78362
2025-06-16T13:15:00+05:30,689.9,694.95,688.35,694.7,80070
2025-06-16T14:15:00+05:30,694.7,697.7,692.25,692.85,214755
2025-06-16T15:15:00+05:30,692.8,693.1,691.0,692.0,186552
2025-06-17T09:15:00+05:30,691.55,692.45,678.6,683.75,893674
2025-06-17T10:15:00+05:30,683.55,687.5,682.6,684.35,117534
2025-06-17T11:15:00+05:30,684.5,684.6,680.95,681.95,189543
2025-06-17T12:15:00+05:30,681.75,684.7,681.4,682.65,109201
2025-06-17T13:15:00+05:30,682.4,682.65,679.5,680.7,158172
2025-06-17T14:15:00+05:30,680.5,681.15,676.45,677.75,181543
2025-06-17T15:15:00+05:30,677.65,678.65,676.0,677.0,98269
2025-06-18T09:15:00+05:30,675.55,685.45,673.7,683.35,101701
2025-06-18T10:15:00+05:30,683.75,684.25,678.85,681.95,115258
2025-06-18T11:15:00+05:30,681.6,682.95,678.9,679.9,148024
2025-06-18T12:15:00+05:30,680.1,680.8,678.9,680.6,47377
2025-06-18T13:15:00+05:30,680.6,683.65,679.7,681.5,110623
2025-06-18T14:15:00+05:30,681.15,683.45,679.55,681.3,145801
2025-06-18T15:15:00+05:30,681.15,683.7,680.75,681.1,76340
2025-06-19T09:15:00+05:30,680.6,694.95,679.55,693.45,454290
2025-06-19T10:15:00+05:30,693.05,697.4,690.35,693.15,535331
2025-06-19T11:15:00+05:30,693.55,695.5,687.35,688.6,244829
2025-06-19T12:15:00+05:30,688.6,689.0,685.25,686.15,140095
2025-06-19T13:15:00+05:30,686.3,687.45,683.85,685.85,141470
2025-06-19T14:15:00+05:30,685.75,686.35,682.7,683.2,214064
2025-06-19T15:15:00+05:30,683.2,684.2,680.55,684.1,133511
2025-06-20T09:15:00+05:30,683.3,692.4,681.6,688.35,189743
2025-06-20T10:15:00+05:30,688.25,696.5,688.05,695.45,182888
2025-06-20T11:15:00+05:30,695.6,696.3,692.65,694.8,118959
2025-06-20T12:15:00+05:30,694.9,695.1,692.0,693.95,82685
2025-06-20T13:15:00+05:30,694.2,696.9,692.9,693.15,276117
2025-06-20T14:15:00+05:30,693.15,697.65,690.4,696.1,1089181
2025-06-20T15:15:00+05:30,696.25,697.4,688.3,689.5,720683
2025-06-23T09:15:00+05:30,690.0,691.75,681.15,683.25,284224
2025-06-23T10:15:00+05:30,683.25,687.85,682.05,687.05,113776
2025-06-23T11:15:00+05:30,687.35,692.85,682.75,692.8,333791
2025-06-23T12:15:00+05:30,692.8,697.5,692.0,696.1,159554
2025-06-23T13:15:00+05:30,696.1,699.9,695.85,699.9,100944
2025-06-23T14:15:00+05:30,699.9,700.9,692.5,693.75,181631
2025-06-23T15:15:00+05:30,693.75,693.75,690.6,690.8,104409
2025-06-24T09:15:00+05:30,700.95,702.8,696.65,698.9,175571
2025-06-24T10:15:00+05:30,698.55,700.55,696.85,697.25,57409
2025-06-24T11:15:00+05:30,697.4,702.6,697.1,699.95,80646
2025-06-24T12:15:00+05:30,700.45,701.15,697.95,699.5,78531
2025-06-24T13:15:00+05:30,699.95,700.65,695.8,696.9,86902
2025-06-24T14:15:00+05:30,696.7,699.3,694.35,694.35,249948
2025-06-24T15:15:00+05:30,694.4,697.75,693.35,695.25,120074
2025-06-25T09:15:00+05:30,694.95,710.5,693.55,708.95,472306
2025-06-25T10:15:00+05:30,708.8,715.85,708.0,711.65,890349
2025-06-25T11:15:00+05:30,711.7,718.2,710.2,715.45,566307
2025-06-25T12:15:00+05:30,715.35,716.35,713.0,714.35,189212
2025-06-25T13:15:00+05:30,714.2,714.25,708.45,709.9,304671
2025-06-25T14:15:00+05:30,709.9,714.8,709.0,713.3,451808
2025-06-25T15:15:00+05:30,713.3,714.35,710.9,711.05,197820
2025-06-26T09:15:00+05:30,715.0,718.9,707.4,708.75,520547
2025-06-26T10:15:00+05:30,708.5,710.0,706.65,706.95,125827
2025-06-26T11:15:00+05:30,706.95,710.85,706.3,710.85,99472
2025-06-26T12:15:00+05:30,710.6,713.1,708.35,708.7,170831
2025-06-26T13:15:00+05:30,708.4,710.5,708.1,710.05,80468
2025-06-26T14:15:00+05:30,710.05,712.6,709.3,712.5,183722
2025-06-26T15:15:00+05:30,712.5,712.85,710.0,710.0,118607
2025-06-27T09:15:00+05:30,714.7,716.45,706.1,709.05,198733
2025-06-27T10:15:00+05:30,709.1,711.9,708.7,710.0,126008
2025-06-27T11:15:00+05:30,710.05,713.45,708.3,711.95,530396
2025-06-27T12:15:00+05:30,712.0,712.75,709.0,709.35,73768
2025-06-27T13:15:00+05:30,709.5,715.3,709.2,712.85,505459
2025-06-27T14:15:00+05:30,712.85,713.9,708.1,709.7,593831
2025-06-27T15:15:00+05:30,709.7,712.05,708.0,708.25,252532
2025-06-30T09:15:00+05:30,709.0,711.5,704.0,704.6,209537
2025-06-30T10:15:00+05:30,704.6,705.95,701.5,702.5,255718
2025-06-30T11:15:00+05:30,702.6,705.15,700.25,702.5,108198
2025-06-30T12:15:00+05:30,702.5,705.65,700.8,701.35,198257
2025-06-30T13:15:00+05:30,701.2,704.7,700.1,704.3,186245
2025-06-30T14:15:00+05:30,704.35,704.95,701.15,701.25,291536
2025-06-30T15:15:00+05:30,701.5,705.0,699.95,703.7,419910
2025-07-01T09:15:00+05:30,703.6,718.95,703.6,714.55,506041
2025-07-01T10:15:00+05:30,714.35,718.35,708.25,713.3,234614
2025-07-01T11:15:00+05:30,713.4,714.2,708.25,709.1,117041
2025-07-01T12:15:00+05:30,709.35,712.5,709.1,709.95,92519
2025-07-01T13:15:00+05:30,710.0,712.0,709.05,710.4,65927
2025-07-01T14:15:00+05:30,710.4,711.3,709.0,709.35,156262
2025-07-01T15:15:00+05:30,709.5,710.45,708.1,708.1,114672
2025-07-02T09:15:00+05:30,709.7,711.95,701.1,702.95,139736
2025-07-02T10:15:00+05:30,703.0,709.0,700.55,707.15,81768
2025-07-02T11:15:00+05:30,706.9,711.0,704.7,707.2,94031
2025-07-02T12:15:00+05:30,707.1,707.9,705.4,706.7,43010
2025-07-02T13:15:00+05:30,706.55,708.6,704.95,708.55,52846
2025-07-02T14:15:00+05:30,708.6,710.25,706.2,709.35,144492
2025-07-02T15:15:00+05:30,709.35,710.0,707.0,707.7,123839
2025-07-03T09:15:00+05:30,708.0,710.95,706.4,709.25,83184
2025-07-03T10:15:00+05:30,709.1,709.3,707.45,708.35,32390
2025-07-03T11:15:00+05:30,708.35,712.0,705.95,706.95,134115
2025-07-03T12:15:00+05:30,706.8,711.35,705.6,711.0,88127
2025-07-03T13:15:00+05:30,710.85,710.9,707.5,708.5,74553
2025-07-03T14:15:00+05:30,708.45,708.95,706.45,707.3,172192
2025-07-03T15:15:00+05:30,707.3,708.0,704.0,704.05,75862
2025-07-04T09:15:00+05:30,706.95,708.8,703.5,705.0,100202
2025-07-04T10:15:00+05:30,705.0,706.75,703.1,704.6,51922
2025-07-04T11:15:00+05:30,704.55,706.2,700.8,703.95,79386
2025-07-04T12:15:00+05:30,703.75,703.75,701.95,702.95,19723
2025-07-04T13:15:00+05:30,702.95,704.4,701.85,703.3,64885
2025-07-04T14:15:00+05:30,703.3,710.95,702.3,710.05,159911
2025-07-04T15:15:00+05:30,710.0,711.0,709.0,710.4,75767
2025-07-07T09:15:00+05:30,713.15,714.7,688.5,691.6,899749
2025-07-07T10:15:00+05:30,691.9,693.55,686.75,688.0,360088
2025-07-07T11:15:00+05:30,688.3,688.7,681.25,682.95,460354
2025-07-07T12:15:00+05:30,682.95,687.95,682.15,685.9,446581
2025-07-07T13:15:00+05:30,685.85,686.8,682.45,685.35,332180
2025-07-07T14:15:00+05:30,685.5,686.45,683.5,684.2,474649
2025-07-07T15:15:00+05:30,684.05,684.9,682.3,683.1,284859
2025-07-08T09:15:00+05:30,680.8,688.95,679.4,685.4,243580
2025-07-08T10:15:00+05:30,685.4,688.35,683.55,688.2,90788
2025-07-08T11:15:00+05:30,688.1,690.65,686.0,688.55,154079
2025-07-08T12:15:00+05:30,688.65,689.95,687.0,689.1,100427
2025-07-08T13:15:00+05:30,689.1,689.55,686.05,686.45,130923
2025-07-08T14:15:00+05:30,686.3,689.25,685.75,689.15,159494
2025-07-08T15:15:00+05:30,689.1,689.3,686.1,686.65,79152
2025-07-09T09:15:00+05:30,691.6,691.95,685.35,685.55,102333
2025-07-09T10:15:00+05:30,685.55,687.5,682.15,682.3,66305
2025-07-09T11:15:00+05:30,682.6,686.35,682.2,685.25,106842
2025-07-09T12:15:00+05:30,685.0,686.15,684.25,685.65,76647
2025-07-09T13:15:00+05:30,685.65,686.3,684.05,685.3,79967
2025-07-09T14:15:00+05:30,685.3,685.4,682.4,683.1,183042
2025-07-09T15:15:00+05:30,683.1,684.8,681.75,683.95,107687
2025-07-10T09:15:00+05:30,683.0,686.3,680.3,680.75,117652
2025-07-10T10:15:00+05:30,680.75,680.8,678.0,679.85,72548
2025-07-10T11:15:00+05:30,679.65,684.65,679.35,684.6,105956
2025-07-10T12:15:00+05:30,684.3,686.0,684.15,684.5,90625
2025-07-10T13:15:00+05:30,684.5,686.95,683.85,686.6,88838
2025-07-10T14:15:00+05:30,686.5,689.0,686.25,688.65,142201
2025-07-10T15:15:00+05:30,688.7,689.2,685.2,685.2,71412
2025-07-11T09:15:00+05:30,684.5,687.4,679.75,679.8,75045
2025-07-11T10:15:00+05:30,679.8,680.8,675.95,677.1,70639
2025-07-11T11:15:00+05:30,677.25,682.75,675.55,681.45,85752
2025-07-11T12:15:00+05:30,681.55,682.8,679.6,680.35,63945
2025-07-11T13:15:00+05:30,679.8,681.35,678.85,680.75,170835
2025-07-11T14:15:00+05:30,680.6,680.75,678.55,678.85,273844
2025-07-11T15:15:00+05:30,678.85,679.3,674.3,675.5,109732
2025-07-14T09:15:00+05:30,681.95,682.45,673.1,678.2,117577
2025-07-14T10:15:00+05:30,678.35,680.0,676.35,676.5,70339
2025-07-14T11:15:00+05:30,676.4,676.8,674.0,675.25,60131
2025-07-14T12:15:00+05:30,675.25,678.65,674.95,677.1,431293
2025-07-14T13:15:00+05:30,677.2,680.2,677.1,679.4,70390
2025-07-14T14:15:00+05:30,679.4,681.1,679.35,680.55,20328
