timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,518.05,522.5,514.1,516.65,584972
2025-06-16T10:15:00+05:30,516.65,520.6,516.35,519.55,210729
2025-06-16T11:15:00+05:30,519.75,520.35,518.25,520.1,177545
2025-06-16T12:15:00+05:30,520.0,520.45,518.75,519.6,70506
2025-06-16T13:15:00+05:30,519.6,523.0,519.25,522.9,146868
2025-06-16T14:15:00+05:30,523.0,523.5,520.6,521.6,318966
2025-06-16T15:15:00+05:30,521.6,522.5,520.8,522.3,157988
2025-06-17T09:15:00+05:30,522.5,523.5,519.3,521.7,363408
2025-06-17T10:15:00+05:30,521.7,525.95,521.5,522.75,314692
2025-06-17T11:15:00+05:30,522.8,522.8,517.75,518.85,193987
2025-06-17T12:15:00+05:30,518.65,519.5,517.0,517.45,123507
2025-06-17T13:15:00+05:30,517.4,519.0,516.5,517.5,95767
2025-06-17T14:15:00+05:30,517.65,517.85,515.1,515.6,210878
2025-06-17T15:15:00+05:30,515.6,515.65,512.0,513.0,225792
2025-06-18T09:15:00+05:30,512.2,520.5,509.7,517.7,580933
2025-06-18T10:15:00+05:30,517.6,518.7,514.35,516.0,253091
2025-06-18T11:15:00+05:30,515.95,516.0,513.5,515.5,113765
2025-06-18T12:15:00+05:30,515.5,515.7,512.75,513.9,132643
2025-06-18T13:15:00+05:30,513.95,514.65,512.5,512.85,168234
2025-06-18T14:15:00+05:30,512.85,523.1,511.35,518.7,751630
2025-06-18T15:15:00+05:30,518.9,523.05,517.05,519.0,502430
2025-06-19T09:15:00+05:30,519.95,525.8,516.45,520.45,491304
2025-06-19T10:15:00+05:30,520.45,520.45,515.05,516.45,252375
2025-06-19T11:15:00+05:30,516.3,516.45,513.35,515.2,120960
2025-06-19T12:15:00+05:30,515.0,515.25,509.0,509.55,179921
2025-06-19T13:15:00+05:30,509.75,512.7,508.25,512.05,174849
2025-06-19T14:15:00+05:30,512.05,513.5,510.75,512.5,221523
