timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,5450.5,5504.5,5361.0,5400.5,85895
2025-06-16T10:15:00+05:30,5403.5,5442.0,5385.5,5415.5,28938
2025-06-16T11:15:00+05:30,5414.0,5432.0,5388.5,5410.0,38643
2025-06-16T12:15:00+05:30,5408.5,5420.5,5385.5,5391.0,62291
2025-06-16T13:15:00+05:30,5390.0,5451.5,5382.0,5425.0,72358
2025-06-16T14:15:00+05:30,5425.0,5611.0,5421.5,5603.0,284379
2025-06-16T15:15:00+05:30,5603.0,5610.0,5592.0,5610.0,35302
2025-06-17T09:15:00+05:30,5612.0,5640.0,5513.0,5610.0,131167
2025-06-17T10:15:00+05:30,5609.5,5710.0,5607.0,5655.0,183979
2025-06-17T11:15:00+05:30,5657.0,5673.0,5628.0,5650.0,95994
2025-06-17T12:15:00+05:30,5650.5,5670.0,5620.0,5641.0,66962
2025-06-17T13:15:00+05:30,5641.0,5658.5,5623.0,5633.5,47514
2025-06-17T14:15:00+05:30,5633.5,5668.0,5610.0,5650.0,207506
2025-06-17T15:15:00+05:30,5650.5,5655.0,5629.0,5651.0,32192
2025-06-18T09:15:00+05:30,5656.5,5799.0,5634.5,5701.0,308131
2025-06-18T10:15:00+05:30,5699.0,5734.5,5644.0,5729.5,143772
2025-06-18T11:15:00+05:30,5729.5,5759.5,5691.0,5691.5,67567
2025-06-18T12:15:00+05:30,5690.5,5709.0,5661.0,5674.0,44973
2025-06-18T13:15:00+05:30,5677.0,5739.0,5676.0,5680.0,73291
2025-06-18T14:15:00+05:30,5680.0,5735.5,5664.5,5714.5,82202
2025-06-18T15:15:00+05:30,5714.5,5727.0,5707.0,5714.0,31569
2025-06-19T09:15:00+05:30,5737.0,5756.0,5680.0,5704.5,100681
2025-06-19T10:15:00+05:30,5706.0,5707.0,5670.5,5688.5,41041
2025-06-19T11:15:00+05:30,5688.5,5703.5,5670.5,5690.5,26268
2025-06-19T12:15:00+05:30,5690.5,5692.5,5622.0,5626.0,59479
2025-06-19T13:15:00+05:30,5626.0,5650.0,5601.0,5650.0,31451
2025-06-19T14:15:00+05:30,5650.0,5676.0,5602.0,5621.0,38541
2025-06-19T15:15:00+05:30,5621.0,5624.5,5580.0,5600.0,18397
2025-06-20T09:15:00+05:30,5825.5,5839.5,5666.0,5741.5,653011
2025-06-20T10:15:00+05:30,5741.5,5751.0,5702.5,5733.5,91820
2025-06-20T11:15:00+05:30,5734.0,5770.0,5720.5,5760.5,108515
2025-06-20T12:15:00+05:30,5760.5,5847.5,5754.0,5821.5,208276
2025-06-20T13:15:00+05:30,5821.5,5848.0,5786.5,5837.0,102921
2025-06-20T14:15:00+05:30,5839.0,5874.0,5832.5,5870.0,170009
2025-06-20T15:15:00+05:30,5869.0,5887.5,5840.0,5845.0,101686
2025-06-23T09:15:00+05:30,5799.0,5828.5,5762.5,5779.0,102573
2025-06-23T10:15:00+05:30,5776.0,5791.5,5735.0,5785.0,52049
2025-06-23T11:15:00+05:30,5785.5,5789.0,5751.0,5784.0,31419
2025-06-23T12:15:00+05:30,5783.5,5838.5,5779.0,5829.5,54619
2025-06-23T13:15:00+05:30,5829.5,5838.0,5785.5,5800.0,37636
2025-06-23T14:15:00+05:30,5802.0,5803.0,5760.0,5787.0,44733
2025-06-23T15:15:00+05:30,5787.0,5790.5,5764.5,5769.0,23454
2025-06-24T09:15:00+05:30,5849.5,5928.0,5789.5,5893.0,186406
2025-06-24T10:15:00+05:30,5890.5,5929.0,5874.5,5900.5,88768
2025-06-24T11:15:00+05:30,5904.0,5908.0,5861.0,5879.5,50828
2025-06-24T12:15:00+05:30,5881.0,5883.5,5825.0,5844.0,36475
2025-06-24T13:15:00+05:30,5845.0,5869.0,5830.0,5849.5,65408
2025-06-24T14:15:00+05:30,5850.5,5854.0,5782.0,5786.0,44598
2025-06-24T15:15:00+05:30,5786.0,5812.0,5780.0,5810.5,38548
2025-06-25T09:15:00+05:30,5822.0,5879.0,5775.0,5809.0,103965
2025-06-25T10:15:00+05:30,5807.5,5810.5,5750.0,5750.0,35847
2025-06-25T11:15:00+05:30,5750.0,5875.0,5744.5,5816.0,70160
2025-06-25T12:15:00+05:30,5816.0,5836.0,5796.5,5801.5,22389
2025-06-25T13:15:00+05:30,5801.5,5850.0,5799.5,5841.5,33342
2025-06-25T14:15:00+05:30,5841.5,5864.0,5833.5,5851.0,56222
2025-06-25T15:15:00+05:30,5851.0,5853.0,5840.0,5850.0,22148
2025-06-26T09:15:00+05:30,5849.5,5886.0,5731.0,5733.5,110185
2025-06-26T10:15:00+05:30,5733.5,5781.0,5732.5,5753.0,142242
2025-06-26T11:15:00+05:30,5752.0,5776.0,5740.0,5746.5,48838
2025-06-26T12:15:00+05:30,5749.0,5758.0,5722.5,5744.0,20051
2025-06-26T13:15:00+05:30,5744.0,5760.0,5741.0,5755.0,24137
2025-06-26T14:15:00+05:30,5755.0,5783.0,5750.0,5766.0,57098
2025-06-26T15:15:00+05:30,5766.0,5786.0,5751.0,5779.0,47818
