timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,3666.0,3690.0,3608.0,3626.6,33917
2025-06-16T10:15:00+05:30,3628.7,3656.7,3626.6,3648.0,18740
2025-06-16T11:15:00+05:30,3648.0,3660.0,3635.6,3642.3,11677
2025-06-16T12:15:00+05:30,3641.6,3665.0,3623.3,3655.5,36158
2025-06-16T13:15:00+05:30,3658.0,3683.0,3645.3,3683.0,14283
2025-06-16T14:15:00+05:30,3683.1,3705.0,3678.5,3691.7,31655
2025-06-16T15:15:00+05:30,3691.7,3693.1,3675.5,3689.9,8349
2025-06-17T09:15:00+05:30,3689.9,3699.9,3671.6,3679.3,27149
2025-06-17T10:15:00+05:30,3677.7,3685.9,3655.0,3657.5,19142
2025-06-17T11:15:00+05:30,3658.2,3658.2,3615.8,3625.1,295154
2025-06-17T12:15:00+05:30,3624.0,3632.2,3610.0,3613.4,11211
2025-06-17T13:15:00+05:30,3613.5,3616.4,3602.4,3610.8,11456
2025-06-17T14:15:00+05:30,3611.4,3617.9,3605.0,3609.7,22692
2025-06-17T15:15:00+05:30,3609.7,3620.0,3606.5,3620.0,14458
2025-06-18T09:15:00+05:30,3600.6,3660.0,3575.6,3651.0,629564
2025-06-18T10:15:00+05:30,3650.0,3674.8,3610.0,3644.2,70133
2025-06-18T11:15:00+05:30,3645.1,3651.0,3610.1,3630.5,52568
2025-06-18T12:15:00+05:30,3630.4,3630.4,3585.1,3599.7,129894
2025-06-18T13:15:00+05:30,3599.8,3617.9,3587.0,3587.0,46502
2025-06-18T14:15:00+05:30,3587.0,3601.5,3587.0,3593.8,78765
2025-06-18T15:15:00+05:30,3593.8,3594.9,3587.0,3587.0,44703
2025-06-19T09:15:00+05:30,3590.7,3642.7,3567.3,3583.0,424316
2025-06-19T10:15:00+05:30,3582.8,3611.0,3572.9,3604.9,63256
2025-06-19T11:15:00+05:30,3604.9,3612.9,3585.3,3592.7,12936
2025-06-19T12:15:00+05:30,3592.3,3593.8,3573.2,3580.0,107804
2025-06-19T13:15:00+05:30,3580.0,3627.4,3575.8,3623.2,35292
2025-06-19T14:15:00+05:30,3623.6,3625.0,3590.5,3599.9,27259
2025-06-19T15:15:00+05:30,3599.9,3609.2,3590.0,3592.0,19323
2025-06-20T09:15:00+05:30,3592.0,3609.6,3540.0,3573.9,60925
2025-06-20T10:15:00+05:30,3575.0,3596.2,3566.1,3585.6,23653
2025-06-20T11:15:00+05:30,3587.2,3601.0,3577.4,3578.3,22666
2025-06-20T12:15:00+05:30,3578.3,3578.4,3553.2,3570.9,14257
2025-06-20T13:15:00+05:30,3571.1,3575.1,3555.1,3557.3,14628
2025-06-20T14:15:00+05:30,3557.3,3590.0,3555.8,3573.5,54709
2025-06-20T15:15:00+05:30,3573.8,3576.0,3563.1,3570.4,41048
2025-06-23T09:15:00+05:30,3540.6,3639.8,3525.3,3629.1,192709
2025-06-23T10:15:00+05:30,3627.7,3682.8,3608.4,3678.0,180339
