timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1346.1,1366.0,1345.0,1360.7,207576
2025-06-16T10:15:00+05:30,1360.2,1377.2,1358.2,1376.0,182994
2025-06-16T11:15:00+05:30,1375.8,1391.0,1374.5,1389.1,391028
2025-06-16T12:15:00+05:30,1389.1,1397.8,1384.5,1393.5,468664
2025-06-16T13:15:00+05:30,1393.5,1407.8,1392.3,1404.4,488030
2025-06-16T14:15:00+05:30,1404.9,1415.0,1399.5,1406.0,775010
2025-06-16T15:15:00+05:30,1406.0,1408.9,1402.5,1405.8,285828
2025-06-17T09:15:00+05:30,1414.1,1425.1,1402.4,1412.3,735223
2025-06-17T10:15:00+05:30,1412.3,1415.6,1407.4,1414.0,132977
2025-06-17T11:15:00+05:30,1414.0,1414.3,1402.4,1408.1,132998
2025-06-17T12:15:00+05:30,1407.9,1407.9,1387.7,1396.6,173288
2025-06-17T13:15:00+05:30,1396.5,1405.1,1393.6,1404.6,161313
2025-06-17T14:15:00+05:30,1404.6,1408.0,1398.3,1402.5,205540
2025-06-17T15:15:00+05:30,1402.5,1403.1,1390.0,1390.0,90204
2025-06-18T09:15:00+05:30,1397.6,1413.7,1390.8,1409.1,264283
2025-06-18T10:15:00+05:30,1409.6,1411.0,1400.6,1409.2,113603
2025-06-18T11:15:00+05:30,1409.2,1409.2,1396.1,1399.9,123165
2025-06-18T12:15:00+05:30,1399.4,1418.7,1395.0,1416.4,264817
2025-06-18T13:15:00+05:30,1416.3,1422.8,1410.0,1416.7,324065
2025-06-18T14:15:00+05:30,1416.7,1423.9,1409.6,1423.1,235830
2025-06-18T15:15:00+05:30,1423.1,1424.9,1418.0,1419.0,100990
2025-06-19T09:15:00+05:30,1432.0,1434.5,1386.2,1386.8,777297
2025-06-19T10:15:00+05:30,1386.2,1391.5,1348.1,1382.6,908813
2025-06-19T11:15:00+05:30,1382.6,1391.8,1380.5,1388.7,217351
2025-06-19T12:15:00+05:30,1389.5,1391.4,1380.5,1386.7,272071
2025-06-19T13:15:00+05:30,1387.4,1391.0,1382.0,1390.2,161424
2025-06-19T14:15:00+05:30,1390.5,1397.9,1389.2,1393.4,218253
2025-06-19T15:15:00+05:30,1393.6,1397.9,1390.0,1390.0,114668
2025-06-20T09:15:00+05:30,1386.0,1408.0,1378.3,1388.4,333307
2025-06-20T10:15:00+05:30,1389.0,1398.9,1386.5,1394.5,101390
2025-06-20T11:15:00+05:30,1394.2,1395.0,1389.5,1393.6,60012
2025-06-20T12:15:00+05:30,1393.1,1401.8,1387.0,1392.7,127038
2025-06-20T13:15:00+05:30,1392.9,1397.3,1390.0,1392.9,85028
2025-06-20T14:15:00+05:30,1392.2,1400.0,1387.3,1397.5,526983
2025-06-20T15:15:00+05:30,1397.8,1398.0,1390.6,1395.0,423555
2025-06-23T09:15:00+05:30,1387.9,1407.0,1375.0,1401.9,321156
2025-06-23T10:15:00+05:30,1402.0,1411.8,1401.5,1410.1,164181
2025-06-23T11:15:00+05:30,1410.1,1412.9,1405.1,1406.6,89073
2025-06-23T12:15:00+05:30,1406.0,1407.4,1401.0,1404.6,66471
2025-06-23T13:15:00+05:30,1404.6,1404.7,1393.1,1396.1,123419
2025-06-23T14:15:00+05:30,1396.6,1397.8,1387.0,1389.3,89705
2025-06-23T15:15:00+05:30,1389.1,1393.2,1386.7,1393.2,47327
2025-06-24T09:15:00+05:30,1366.0,1366.0,1315.0,1324.4,2250841
2025-06-24T10:15:00+05:30,1324.4,1325.9,1310.5,1315.6,630361
2025-06-24T11:15:00+05:30,1315.5,1324.0,1312.0,1312.5,438116
2025-06-24T12:15:00+05:30,1312.1,1318.4,1312.1,1314.2,463549
2025-06-24T13:15:00+05:30,1314.1,1316.8,1305.0,1308.0,527480
2025-06-24T14:15:00+05:30,1308.4,1310.0,1305.4,1308.0,407791
2025-06-24T15:15:00+05:30,1307.9,1308.0,1301.4,1305.0,386720
2025-06-25T09:15:00+05:30,1308.0,1312.0,1288.2,1290.8,812098
2025-06-25T10:15:00+05:30,1290.5,1291.0,1285.0,1285.3,253583
2025-06-25T11:15:00+05:30,1285.3,1296.3,1285.0,1290.0,242507
2025-06-25T12:15:00+05:30,1290.0,1294.4,1289.0,1294.0,93792
2025-06-25T13:15:00+05:30,1294.3,1298.6,1290.7,1295.5,271402
2025-06-25T14:15:00+05:30,1295.7,1298.0,1292.1,1297.0,420520
2025-06-25T15:15:00+05:30,1296.8,1299.9,1290.1,1292.5,216394
2025-06-26T09:15:00+05:30,1294.0,1297.5,1275.0,1275.8,449561
2025-06-26T10:15:00+05:30,1275.8,1280.3,1268.0,1269.8,221523
2025-06-26T11:15:00+05:30,1270.0,1274.8,1264.1,1274.2,215228
2025-06-26T12:15:00+05:30,1274.3,1279.5,1262.8,1270.7,1038134
2025-06-26T13:15:00+05:30,1270.2,1279.9,1269.1,1274.9,147302
2025-06-26T14:15:00+05:30,1274.9,1279.5,1273.9,1276.8,287108
2025-06-26T15:15:00+05:30,1276.3,1277.2,1274.1,1276.5,147292
2025-06-27T09:15:00+05:30,1277.0,1295.2,1276.6,1287.4,366608
2025-06-27T10:15:00+05:30,1287.8,1288.0,1281.1,1285.5,128281
2025-06-27T11:15:00+05:30,1285.9,1291.9,1284.7,1286.0,96642
2025-06-27T12:15:00+05:30,1286.0,1286.9,1282.2,1285.0,74484
2025-06-27T13:15:00+05:30,1285.0,1286.0,1274.1,1279.4,340330
2025-06-27T14:15:00+05:30,1279.4,1280.1,1262.1,1268.5,314398
2025-06-27T15:15:00+05:30,1268.3,1271.5,1267.0,1267.5,139748
2025-06-30T09:15:00+05:30,1274.0,1284.5,1267.1,1280.5,351635
2025-06-30T10:15:00+05:30,1280.7,1281.0,1267.1,1268.6,155491
2025-06-30T11:15:00+05:30,1268.8,1269.1,1260.1,1265.1,268582
2025-06-30T12:15:00+05:30,1265.1,1269.8,1263.0,1263.6,75166
2025-06-30T13:15:00+05:30,1263.5,1268.9,1260.9,1261.1,94991
2025-06-30T14:15:00+05:30,1261.0,1262.9,1255.8,1259.8,324967
2025-06-30T15:15:00+05:30,1259.8,1262.0,1257.4,1261.5,139091
2025-07-01T09:15:00+05:30,1266.0,1268.5,1245.5,1247.0,426124
2025-07-01T10:15:00+05:30,1246.7,1249.5,1235.0,1238.5,209754
2025-07-01T11:15:00+05:30,1238.5,1245.9,1235.0,1242.2,359190
2025-07-01T12:15:00+05:30,1242.6,1244.7,1237.0,1237.7,136944
2025-07-01T13:15:00+05:30,1237.6,1240.1,1236.2,1239.9,77721
2025-07-01T14:15:00+05:30,1239.8,1249.5,1238.9,1247.3,185837
2025-07-01T15:15:00+05:30,1247.8,1250.2,1247.7,1249.0,120905
2025-07-02T09:15:00+05:30,1250.0,1263.1,1246.0,1254.3,271145
2025-07-02T10:15:00+05:30,1254.3,1254.5,1245.0,1253.0,194359
2025-07-02T11:15:00+05:30,1252.6,1257.0,1247.5,1256.1,363365
2025-07-02T12:15:00+05:30,1256.1,1261.8,1251.0,1251.6,230774
2025-07-02T13:15:00+05:30,1251.2,1254.0,1240.6,1249.6,160346
2025-07-02T14:15:00+05:30,1249.5,1250.1,1239.2,1241.8,247740
2025-07-02T15:15:00+05:30,1241.8,1246.1,1240.1,1244.3,109707
2025-07-03T09:15:00+05:30,1240.8,1256.7,1238.7,1254.5,181528
2025-07-03T10:15:00+05:30,1254.5,1261.9,1253.2,1259.7,142887
2025-07-03T11:15:00+05:30,1260.0,1266.0,1256.0,1264.1,157788
2025-07-03T12:15:00+05:30,1264.5,1265.4,1259.0,1263.7,208451
2025-07-03T13:15:00+05:30,1263.7,1264.5,1260.4,1262.7,75989
2025-07-03T14:15:00+05:30,1262.7,1263.0,1257.1,1260.1,137797
2025-07-03T15:15:00+05:30,1260.1,1265.0,1260.0,1264.0,111377
2025-07-04T09:15:00+05:30,1265.8,1270.0,1261.0,1265.1,152704
2025-07-04T10:15:00+05:30,1264.6,1266.3,1261.5,1261.5,47131
2025-07-04T11:15:00+05:30,1261.4,1265.1,1252.6,1260.8,113440
2025-07-04T12:15:00+05:30,1260.5,1261.9,1256.8,1260.0,53770
2025-07-04T13:15:00+05:30,1260.0,1263.0,1257.2,1261.8,41503
2025-07-04T14:15:00+05:30,1261.8,1268.1,1260.5,1265.6,107539
2025-07-04T15:15:00+05:30,1265.6,1265.6,1260.9,1264.0,50661
2025-07-07T09:15:00+05:30,1263.8,1267.9,1257.1,1264.2,100831
2025-07-07T10:15:00+05:30,1264.2,1268.9,1263.2,1266.4,44880
2025-07-07T11:15:00+05:30,1266.5,1270.9,1264.6,1269.5,89742
2025-07-07T12:15:00+05:30,1269.6,1271.5,1266.6,1270.5,88869
2025-07-07T13:15:00+05:30,1270.5,1270.9,1268.0,1270.2,60707
2025-07-07T14:15:00+05:30,1270.0,1270.1,1265.5,1268.1,160983
2025-07-07T15:15:00+05:30,1268.1,1270.5,1267.7,1270.5,170087
2025-07-08T09:15:00+05:30,1268.9,1272.9,1264.5,1268.5,130901
2025-07-08T10:15:00+05:30,1268.5,1270.0,1260.5,1263.6,60176
2025-07-08T11:15:00+05:30,1264.0,1269.0,1262.5,1267.3,43878
2025-07-08T12:15:00+05:30,1267.4,1274.5,1266.0,1271.1,51599
2025-07-08T13:15:00+05:30,1271.1,1272.0,1269.9,1271.0,76758
2025-07-08T14:15:00+05:30,1271.0,1273.0,1270.5,1271.4,77527
2025-07-08T15:15:00+05:30,1271.4,1272.5,1271.0,1271.8,36997
2025-07-09T09:15:00+05:30,1271.2,1275.0,1265.1,1270.7,83903
2025-07-09T10:15:00+05:30,1270.8,1275.8,1269.4,1270.7,54831
2025-07-09T11:15:00+05:30,1270.7,1271.7,1266.0,1268.2,36545
2025-07-09T12:15:00+05:30,1268.2,1269.2,1257.2,1259.7,62066
2025-07-09T13:15:00+05:30,1259.8,1263.0,1258.8,1261.6,26051
2025-07-09T14:15:00+05:30,1261.1,1262.8,1258.0,1261.1,76328
2025-07-09T15:15:00+05:30,1261.1,1261.2,1257.0,1258.0,52551
2025-07-10T09:15:00+05:30,1260.0,1263.9,1251.6,1254.4,108811
2025-07-10T10:15:00+05:30,1254.5,1254.5,1246.1,1250.2,112403
2025-07-10T11:15:00+05:30,1249.4,1250.6,1243.6,1247.0,81681
2025-07-10T12:15:00+05:30,1247.0,1249.7,1246.0,1249.1,69385
2025-07-10T13:15:00+05:30,1249.1,1251.4,1246.3,1250.4,85372
2025-07-10T14:15:00+05:30,1250.4,1254.7,1248.7,1251.7,119896
2025-07-10T15:15:00+05:30,1251.7,1257.2,1251.0,1256.0,96747
2025-07-11T09:15:00+05:30,1240.0,1269.0,1239.9,1264.6,235119
2025-07-11T10:15:00+05:30,1264.9,1268.8,1261.6,1268.6,164677
2025-07-11T11:15:00+05:30,1268.3,1277.4,1266.7,1272.0,211997
2025-07-11T12:15:00+05:30,1272.0,1272.4,1265.1,1271.3,87069
2025-07-11T13:15:00+05:30,1271.3,1274.8,1269.5,1273.5,86808
2025-07-11T14:15:00+05:30,1273.5,1277.5,1267.9,1269.0,240148
2025-07-11T15:15:00+05:30,1269.0,1269.3,1265.1,1266.5,61802
2025-07-14T09:15:00+05:30,1268.0,1271.6,1254.1,1266.6,121360
2025-07-14T10:15:00+05:30,1266.5,1269.8,1262.6,1263.9,66718
2025-07-14T11:15:00+05:30,1263.9,1266.0,1261.1,1264.2,40539
2025-07-14T12:15:00+05:30,1264.2,1265.6,1256.5,1260.9,58401
2025-07-14T13:15:00+05:30,1260.3,1262.0,1259.6,1261.1,12162
