timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,666.8,671.5,659.2,666.0,263594
2025-06-16T10:15:00+05:30,666.05,675.4,665.45,672.2,348310
2025-06-16T11:15:00+05:30,672.05,680.0,671.75,679.6,384327
2025-06-16T12:15:00+05:30,679.6,680.3,678.05,678.75,211373
2025-06-16T13:15:00+05:30,678.7,679.1,676.1,678.6,284680
2025-06-16T14:15:00+05:30,678.8,683.0,676.1,680.95,607200
2025-06-16T15:15:00+05:30,680.95,681.4,677.5,679.85,198491
2025-06-17T09:15:00+05:30,681.2,681.3,671.7,677.55,340107
2025-06-17T10:15:00+05:30,677.7,678.9,673.35,673.45,116608
2025-06-17T11:15:00+05:30,673.45,674.8,670.0,671.35,113421
2025-06-17T12:15:00+05:30,671.35,671.45,666.25,667.9,138930
2025-06-17T13:15:00+05:30,667.75,672.4,666.2,671.5,104579
2025-06-17T14:15:00+05:30,671.5,671.8,658.1,663.6,654982
2025-06-17T15:15:00+05:30,663.55,663.6,655.75,659.0,246891
2025-06-18T09:15:00+05:30,659.05,664.8,650.05,663.25,595602
2025-06-18T10:15:00+05:30,663.3,664.3,660.8,663.65,156811
2025-06-18T11:15:00+05:30,663.55,665.7,659.05,665.7,202693
2025-06-18T12:15:00+05:30,665.35,666.45,663.3,665.55,163142
2025-06-18T13:15:00+05:30,665.7,667.0,664.6,665.0,84231
2025-06-18T14:15:00+05:30,665.0,668.0,662.85,665.4,323986
2025-06-18T15:15:00+05:30,665.45,665.9,661.55,662.75,119416
2025-06-19T09:15:00+05:30,665.0,667.0,657.85,658.5,227317
2025-06-19T10:15:00+05:30,658.6,660.45,656.55,659.05,160802
2025-06-19T11:15:00+05:30,659.3,659.3,653.7,655.5,119652
2025-06-19T12:15:00+05:30,655.65,655.75,645.85,647.15,294465
2025-06-19T13:15:00+05:30,647.15,649.65,645.4,648.85,116095
2025-06-19T14:15:00+05:30,648.6,649.9,645.75,646.0,137182
2025-06-19T15:15:00+05:30,646.0,646.9,645.0,646.35,92204
2025-06-20T09:15:00+05:30,643.8,649.0,641.05,644.4,343313
2025-06-20T10:15:00+05:30,644.25,650.55,644.25,648.75,212449
2025-06-20T11:15:00+05:30,648.7,649.95,643.0,645.7,174576
2025-06-20T12:15:00+05:30,645.7,646.5,641.55,641.7,112947
2025-06-20T13:15:00+05:30,641.7,648.85,641.55,644.7,196437
2025-06-20T14:15:00+05:30,644.8,652.0,644.3,650.75,827471
2025-06-20T15:15:00+05:30,650.75,653.0,650.15,653.0,525866
2025-06-23T09:15:00+05:30,647.0,661.2,647.0,656.65,404141
2025-06-23T10:15:00+05:30,657.1,662.7,655.5,662.4,431939
2025-06-23T11:15:00+05:30,662.25,663.5,660.0,662.9,176852
2025-06-23T12:15:00+05:30,662.9,664.05,661.55,661.9,87764
