timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,602.0,603.75,590.55,595.9,304181
2025-06-16T10:15:00+05:30,595.75,599.35,595.65,598.05,91550
2025-06-16T11:15:00+05:30,598.25,601.5,596.7,601.25,83075
2025-06-16T12:15:00+05:30,601.4,604.95,600.05,602.05,85422
2025-06-16T13:15:00+05:30,602.05,603.5,601.2,603.45,44881
2025-06-16T14:15:00+05:30,603.5,606.4,602.4,605.9,177707
2025-06-16T15:15:00+05:30,605.9,607.2,605.1,607.15,76848
2025-06-17T09:15:00+05:30,606.05,611.5,603.5,607.85,286810
2025-06-17T10:15:00+05:30,607.95,608.65,604.75,607.4,123178
2025-06-17T11:15:00+05:30,607.3,608.55,604.55,605.3,204740
2025-06-17T12:15:00+05:30,605.15,605.65,599.15,599.95,147376
2025-06-17T13:15:00+05:30,599.8,602.85,598.4,602.4,173905
2025-06-17T14:15:00+05:30,602.2,602.85,599.2,601.5,137380
2025-06-17T15:15:00+05:30,601.3,601.45,599.5,599.6,70042
2025-06-18T09:15:00+05:30,599.05,607.5,596.55,605.95,207205
2025-06-18T10:15:00+05:30,605.75,606.25,601.7,603.5,323430
2025-06-18T11:15:00+05:30,603.65,604.8,600.3,604.8,84740
2025-06-18T12:15:00+05:30,604.8,604.85,601.2,603.0,62677
2025-06-18T13:15:00+05:30,602.85,603.25,600.0,601.25,55078
2025-06-18T14:15:00+05:30,601.0,605.2,599.95,604.5,351995
2025-06-18T15:15:00+05:30,604.45,604.5,602.0,602.0,56344
2025-06-19T09:15:00+05:30,603.7,603.7,595.0,597.0,305363
2025-06-19T10:15:00+05:30,597.1,597.6,592.65,593.85,259132
2025-06-19T11:15:00+05:30,593.85,594.25,585.7,588.8,285113
2025-06-19T12:15:00+05:30,588.8,588.8,579.15,581.15,620077
2025-06-19T13:15:00+05:30,581.3,583.7,578.65,583.35,211751
2025-06-19T14:15:00+05:30,583.5,585.3,581.15,582.1,277038
2025-06-19T15:15:00+05:30,582.4,582.95,580.3,581.15,144960
2025-06-20T09:15:00+05:30,583.7,591.8,581.85,589.65,434574
2025-06-20T10:15:00+05:30,589.65,598.7,589.65,598.1,366628
2025-06-20T11:15:00+05:30,598.15,600.55,597.4,598.35,312543
2025-06-20T12:15:00+05:30,598.2,598.65,594.0,595.05,148831
2025-06-20T13:15:00+05:30,595.2,595.8,594.1,594.5,66831
2025-06-20T14:15:00+05:30,594.3,595.9,593.7,594.3,316372
2025-06-20T15:15:00+05:30,594.35,595.0,592.15,593.95,261492
2025-06-23T09:15:00+05:30,589.05,594.55,581.05,585.9,671411
2025-06-23T10:15:00+05:30,585.95,589.6,585.15,588.5,304680
2025-06-23T11:15:00+05:30,588.4,590.85,586.6,590.05,663511
2025-06-23T12:15:00+05:30,589.95,590.95,587.55,589.0,819250
2025-06-23T13:15:00+05:30,589.0,592.6,588.0,590.0,923698
2025-06-23T14:15:00+05:30,590.0,591.8,589.65,591.4,337603
2025-06-23T15:15:00+05:30,591.4,592.35,590.8,591.05,137336
2025-06-24T09:15:00+05:30,601.0,606.0,594.75,604.75,699493
2025-06-24T10:15:00+05:30,604.9,608.9,604.75,608.25,339337
2025-06-24T11:15:00+05:30,608.25,610.9,607.8,609.1,300235
2025-06-24T12:15:00+05:30,609.1,610.0,606.85,609.45,116474
2025-06-24T13:15:00+05:30,609.45,609.5,603.85,604.35,165350
2025-06-24T14:15:00+05:30,604.4,606.2,601.5,601.6,160271
2025-06-24T15:15:00+05:30,601.9,604.9,601.65,604.0,136772
2025-06-25T09:15:00+05:30,607.0,610.35,604.6,609.8,254596
2025-06-25T10:15:00+05:30,609.7,610.5,607.3,608.8,108427
2025-06-25T11:15:00+05:30,608.8,612.9,606.0,611.0,325287
2025-06-25T12:15:00+05:30,611.0,613.95,610.7,612.95,143348
2025-06-25T13:15:00+05:30,612.75,613.45,611.45,613.45,105297
2025-06-25T14:15:00+05:30,613.45,613.45,609.05,609.7,370106
2025-06-25T15:15:00+05:30,609.75,611.2,609.75,610.7,76796
2025-06-26T09:15:00+05:30,612.55,613.4,607.55,611.15,763124
2025-06-26T10:15:00+05:30,611.25,612.0,607.1,609.2,272220
2025-06-26T11:15:00+05:30,609.25,615.1,607.7,613.8,243754
2025-06-26T12:15:00+05:30,613.9,619.9,612.1,618.5,337459
2025-06-26T13:15:00+05:30,618.5,621.6,618.2,619.9,393290
