timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1455.0,1459.7,1437.0,1450.1,94698
2025-06-16T10:15:00+05:30,1450.0,1460.4,1449.9,1452.0,51119
2025-06-16T11:15:00+05:30,1452.1,1460.9,1450.2,1457.9,25010
2025-06-16T12:15:00+05:30,1457.9,1460.5,1457.1,1460.5,18763
2025-06-16T13:15:00+05:30,1460.5,1469.7,1459.9,1467.5,30526
2025-06-16T14:15:00+05:30,1467.5,1471.6,1464.3,1470.4,85984
2025-06-16T15:15:00+05:30,1470.1,1474.8,1467.3,1472.9,96432
2025-06-17T09:15:00+05:30,1475.7,1504.0,1472.2,1480.0,589499
2025-06-17T10:15:00+05:30,1480.0,1485.4,1473.5,1475.9,119744
2025-06-17T11:15:00+05:30,1476.1,1476.3,1461.6,1464.8,86042
2025-06-17T12:15:00+05:30,1465.6,1469.2,1456.7,1460.3,50656
2025-06-17T13:15:00+05:30,1460.3,1460.7,1446.0,1451.9,168950
2025-06-17T14:15:00+05:30,1451.8,1452.0,1444.2,1447.6,171140
2025-06-17T15:15:00+05:30,1447.6,1449.5,1443.1,1445.0,98750
2025-06-18T09:15:00+05:30,1449.1,1469.5,1442.6,1452.2,229631
2025-06-18T10:15:00+05:30,1452.2,1454.3,1442.7,1445.6,77737
2025-06-18T11:15:00+05:30,1445.6,1447.4,1438.0,1444.5,48062
2025-06-18T12:15:00+05:30,1444.0,1444.6,1433.5,1440.3,50241
2025-06-18T13:15:00+05:30,1440.3,1446.5,1438.1,1440.8,39491
2025-06-18T14:15:00+05:30,1440.9,1445.9,1435.4,1443.5,82409
2025-06-18T15:15:00+05:30,1443.9,1444.9,1440.0,1444.9,46744
2025-06-19T09:15:00+05:30,1439.9,1468.5,1438.0,1450.6,259442
2025-06-19T10:15:00+05:30,1450.1,1451.7,1440.0,1446.9,64135
2025-06-19T11:15:00+05:30,1446.9,1448.3,1438.0,1439.0,49902
2025-06-19T12:15:00+05:30,1438.7,1439.0,1422.0,1430.5,132478
2025-06-19T13:15:00+05:30,1429.7,1441.4,1427.8,1433.8,98138
2025-06-19T14:15:00+05:30,1433.7,1437.2,1425.6,1427.4,108002
2025-06-19T15:15:00+05:30,1427.4,1427.9,1415.2,1423.0,58066
