timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,186.4,187.6,183.51,184.82,883236
2025-06-16T10:15:00+05:30,184.8,189.0,184.8,188.22,1494222
2025-06-16T11:15:00+05:30,188.2,190.6,188.05,190.45,1224734
2025-06-16T12:15:00+05:30,190.45,190.99,189.91,190.43,845257
2025-06-16T13:15:00+05:30,190.44,191.8,190.11,191.68,966116
2025-06-16T14:15:00+05:30,191.63,192.29,190.92,191.64,1143717
2025-06-16T15:15:00+05:30,191.65,192.0,191.2,191.5,467018
2025-06-17T09:15:00+05:30,191.67,194.21,190.7,193.52,1290806
2025-06-17T10:15:00+05:30,193.5,194.09,193.0,193.79,699748
2025-06-17T11:15:00+05:30,193.79,193.95,191.65,191.92,813113
2025-06-17T12:15:00+05:30,191.92,191.92,189.52,189.9,1060801
2025-06-17T13:15:00+05:30,189.9,190.53,189.45,190.0,627854
2025-06-17T14:15:00+05:30,190.09,190.49,188.98,190.22,1187071
2025-06-17T15:15:00+05:30,190.13,190.33,189.66,189.71,309781
2025-06-18T09:15:00+05:30,190.04,192.87,189.14,192.21,1231727
2025-06-18T10:15:00+05:30,192.22,192.22,189.8,190.25,475131
2025-06-18T11:15:00+05:30,190.2,191.13,188.19,190.52,1113246
2025-06-18T12:15:00+05:30,190.52,190.59,188.6,189.42,683007
2025-06-18T13:15:00+05:30,189.36,189.8,188.68,189.1,471343
2025-06-18T14:15:00+05:30,189.07,189.39,188.36,188.64,541021
2025-06-18T15:15:00+05:30,188.77,189.45,188.46,188.79,301922
2025-06-19T09:15:00+05:30,189.04,191.62,188.58,188.75,993988
2025-06-19T10:15:00+05:30,188.7,189.9,187.5,188.92,1149821
2025-06-19T11:15:00+05:30,189.04,189.05,187.02,187.38,757398
2025-06-19T12:15:00+05:30,187.39,187.39,185.9,186.84,933615
2025-06-19T13:15:00+05:30,186.76,188.63,186.25,187.9,876846
2025-06-19T14:15:00+05:30,187.9,188.37,187.21,187.76,607497
2025-06-19T15:15:00+05:30,187.8,188.1,186.66,187.13,397297
2025-06-20T09:15:00+05:30,187.41,190.49,187.25,189.9,1307778
2025-06-20T10:15:00+05:30,189.9,192.31,189.8,191.5,1447478
2025-06-20T11:15:00+05:30,191.61,192.0,188.5,189.71,2046317
2025-06-20T12:15:00+05:30,189.71,189.72,188.11,189.42,370241
2025-06-20T13:15:00+05:30,189.43,189.9,189.1,189.5,193666
2025-06-20T14:15:00+05:30,189.44,190.4,188.98,190.0,1006400
2025-06-20T15:15:00+05:30,190.01,190.31,189.7,189.99,722459
2025-06-23T09:15:00+05:30,188.53,189.86,188.0,189.32,644904
2025-06-23T10:15:00+05:30,189.33,192.0,189.18,191.98,875466
