timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,3000.9,3011.2,2988.1,3003.4,319151
2025-06-16T10:15:00+05:30,3004.1,3036.8,3002.5,3032.5,243989
2025-06-16T11:15:00+05:30,3033.0,3045.0,3025.0,3044.7,171846
2025-06-16T12:15:00+05:30,3045.0,3045.0,3016.0,3023.0,213836
2025-06-16T13:15:00+05:30,3023.0,3030.1,3016.5,3022.7,196764
2025-06-16T14:15:00+05:30,3023.0,3029.1,3015.4,3028.5,368680
2025-06-16T15:15:00+05:30,3028.5,3032.2,3020.1,3021.0,154760
2025-06-17T09:15:00+05:30,3040.2,3042.9,3000.0,3004.6,270226
2025-06-17T10:15:00+05:30,3004.5,3017.1,3004.5,3010.9,163059
2025-06-17T11:15:00+05:30,3010.9,3019.9,3009.0,3012.0,120257
2025-06-17T12:15:00+05:30,3011.9,3015.7,2994.0,3000.1,227298
2025-06-17T13:15:00+05:30,2999.2,3005.0,2997.0,3004.7,104052
2025-06-17T14:15:00+05:30,3004.4,3012.7,3003.0,3009.7,376265
2025-06-17T15:15:00+05:30,3009.4,3010.0,2998.0,3008.0,178094
2025-06-18T09:15:00+05:30,2999.8,3069.9,2986.6,3067.0,628873
2025-06-18T10:15:00+05:30,3066.2,3074.9,3046.0,3051.5,362246
2025-06-18T11:15:00+05:30,3051.4,3051.5,3031.0,3042.2,316706
2025-06-18T12:15:00+05:30,3042.3,3051.9,3032.8,3050.3,133023
2025-06-18T13:15:00+05:30,3050.7,3052.9,3028.9,3032.8,201862
2025-06-18T14:15:00+05:30,3033.7,3042.2,3029.0,3038.9,357218
2025-06-18T15:15:00+05:30,3038.9,3046.0,3038.0,3038.0,153200
2025-06-19T09:15:00+05:30,3035.1,3074.8,3034.2,3067.5,337217
2025-06-19T10:15:00+05:30,3067.3,3072.0,3059.0,3069.0,252815
2025-06-19T11:15:00+05:30,3069.0,3073.7,3061.4,3073.4,215753
2025-06-19T12:15:00+05:30,3073.2,3080.0,3064.8,3079.7,266394
2025-06-19T13:15:00+05:30,3079.5,3102.8,3073.0,3102.0,393302
2025-06-19T14:15:00+05:30,3102.0,3106.9,3090.2,3093.8,785012
2025-06-19T15:15:00+05:30,3092.7,3098.9,3082.0,3089.0,228793
2025-06-20T09:15:00+05:30,3099.9,3165.0,3090.3,3161.0,1281006
2025-06-20T10:15:00+05:30,3161.1,3180.0,3160.7,3174.6,713739
2025-06-20T11:15:00+05:30,3175.0,3184.0,3166.1,3172.0,766480
2025-06-20T12:15:00+05:30,3172.2,3180.0,3155.7,3176.8,518890
2025-06-20T13:15:00+05:30,3176.1,3185.0,3167.5,3184.0,422894
2025-06-20T14:15:00+05:30,3184.0,3189.0,3166.8,3184.3,2669388
2025-06-20T15:15:00+05:30,3184.2,3203.0,3179.1,3189.9,1936600
2025-06-23T09:15:00+05:30,3163.7,3184.4,3122.7,3132.7,515980
2025-06-23T10:15:00+05:30,3132.0,3157.2,3130.7,3139.9,296860
2025-06-23T11:15:00+05:30,3140.1,3149.4,3128.0,3130.0,217982
2025-06-23T12:15:00+05:30,3130.2,3137.0,3128.0,3132.8,151435
2025-06-23T13:15:00+05:30,3132.8,3149.8,3131.0,3146.6,165688
2025-06-23T14:15:00+05:30,3145.5,3149.0,3128.5,3136.4,244293
2025-06-23T15:15:00+05:30,3136.4,3138.0,3130.5,3136.0,114639
2025-06-24T09:15:00+05:30,3156.0,3216.6,3155.2,3209.1,733113
2025-06-24T10:15:00+05:30,3210.4,3213.0,3188.9,3206.0,177786
2025-06-24T11:15:00+05:30,3206.1,3214.9,3201.0,3213.2,261034
2025-06-24T12:15:00+05:30,3213.8,3214.5,3183.0,3189.6,264625
2025-06-24T13:15:00+05:30,3189.9,3191.5,3140.5,3147.4,467407
2025-06-24T14:15:00+05:30,3146.5,3154.8,3136.8,3149.5,510277
2025-06-24T15:15:00+05:30,3149.6,3162.9,3140.1,3156.2,404088
2025-06-25T09:15:00+05:30,3177.8,3187.4,3160.5,3163.7,381332
2025-06-25T10:15:00+05:30,3163.7,3187.0,3161.0,3182.8,254394
2025-06-25T11:15:00+05:30,3183.0,3186.5,3171.5,3174.0,126766
2025-06-25T12:15:00+05:30,3174.1,3202.7,3172.6,3199.3,207799
2025-06-25T13:15:00+05:30,3199.2,3204.0,3193.0,3202.2,207201
2025-06-25T14:15:00+05:30,3202.5,3215.3,3200.4,3213.7,511726
2025-06-25T15:15:00+05:30,3213.7,3225.5,3210.5,3218.0,364374
2025-06-26T09:15:00+05:30,3225.9,3238.0,3200.0,3205.0,494793
2025-06-26T10:15:00+05:30,3205.9,3208.0,3194.4,3197.0,172504
2025-06-26T11:15:00+05:30,3197.6,3206.6,3190.5,3201.9,155678
2025-06-26T12:15:00+05:30,3201.9,3209.7,3183.5,3196.1,489302
2025-06-26T13:15:00+05:30,3196.0,3211.0,3195.0,3209.9,417923
2025-06-26T14:15:00+05:30,3209.9,3222.0,3203.1,3216.6,843605
2025-06-26T15:15:00+05:30,3216.7,3218.8,3200.0,3203.2,322419
2025-06-27T09:15:00+05:30,3205.0,3241.5,3193.0,3212.0,447527
2025-06-27T10:15:00+05:30,3213.0,3220.0,3206.0,3215.8,298543
2025-06-27T11:15:00+05:30,3215.8,3217.0,3200.0,3200.1,243874
2025-06-27T12:15:00+05:30,3200.0,3225.5,3199.1,3220.4,364583
2025-06-27T13:15:00+05:30,3220.3,3225.0,3215.4,3216.6,250946
2025-06-27T14:15:00+05:30,3216.9,3217.6,3187.1,3206.0,2204659
2025-06-27T15:15:00+05:30,3205.8,3221.9,3202.8,3220.0,1255500
2025-06-30T09:15:00+05:30,3210.0,3219.8,3161.0,3177.2,521134
2025-06-30T10:15:00+05:30,3177.2,3185.0,3173.8,3180.8,194893
2025-06-30T11:15:00+05:30,3180.5,3197.5,3179.8,3188.9,249286
2025-06-30T12:15:00+05:30,3188.3,3196.8,3182.2,3186.5,160738
2025-06-30T13:15:00+05:30,3186.5,3187.3,3175.0,3178.1,253347
2025-06-30T14:15:00+05:30,3178.1,3187.0,3175.9,3185.1,455479
2025-06-30T15:15:00+05:30,3185.1,3185.2,3175.5,3178.8,239437
2025-07-01T09:15:00+05:30,3186.0,3218.0,3168.2,3209.7,375510
2025-07-01T10:15:00+05:30,3209.4,3212.0,3184.6,3190.8,149918
2025-07-01T11:15:00+05:30,3191.1,3199.0,3177.0,3186.9,179057
2025-07-01T12:15:00+05:30,3186.9,3191.7,3182.3,3184.1,99494
2025-07-01T13:15:00+05:30,3184.0,3197.4,3180.0,3191.7,152994
2025-07-01T14:15:00+05:30,3192.0,3193.2,3175.3,3176.0,268155
2025-07-01T15:15:00+05:30,3176.0,3177.8,3173.7,3176.0,163592
2025-07-02T09:15:00+05:30,3168.0,3202.7,3165.0,3180.0,358434
2025-07-02T10:15:00+05:30,3180.0,3189.0,3171.0,3179.5,126544
2025-07-02T11:15:00+05:30,3180.0,3186.0,3174.0,3182.6,132327
2025-07-02T12:15:00+05:30,3182.6,3186.3,3175.1,3176.1,135528
2025-07-02T13:15:00+05:30,3176.2,3176.4,3153.7,3163.7,258809
2025-07-02T14:15:00+05:30,3164.9,3167.6,3157.5,3166.1,361582
2025-07-02T15:15:00+05:30,3166.2,3166.3,3162.0,3164.8,163484
2025-07-03T09:15:00+05:30,3165.9,3213.8,3164.8,3203.2,498407
2025-07-03T10:15:00+05:30,3203.6,3221.0,3202.0,3211.9,432424
2025-07-03T11:15:00+05:30,3212.0,3212.4,3193.1,3199.3,199645
2025-07-03T12:15:00+05:30,3198.2,3206.9,3196.0,3198.0,120271
2025-07-03T13:15:00+05:30,3198.0,3219.0,3192.4,3200.8,229597
2025-07-03T14:15:00+05:30,3202.0,3202.4,3173.0,3173.1,434687
2025-07-03T15:15:00+05:30,3173.1,3178.0,3170.8,3175.6,181273
2025-07-04T09:15:00+05:30,3163.3,3177.0,3146.2,3164.2,214760
