timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,270.75,271.8,267.8,269.4,168650
2025-06-16T10:15:00+05:30,269.4,272.6,269.4,271.6,153928
2025-06-16T11:15:00+05:30,271.65,272.85,271.35,272.55,144518
2025-06-16T12:15:00+05:30,272.65,272.85,272.0,272.05,132229
2025-06-16T13:15:00+05:30,272.15,273.6,272.05,273.3,153418
2025-06-16T14:15:00+05:30,273.15,273.7,272.5,273.45,133784
2025-06-16T15:15:00+05:30,273.45,273.9,273.05,273.65,116177
2025-06-17T09:15:00+05:30,273.75,274.8,272.45,272.6,245482
2025-06-17T10:15:00+05:30,272.5,273.7,270.9,271.45,249439
2025-06-17T11:15:00+05:30,271.45,272.2,268.75,269.75,201441
2025-06-17T12:15:00+05:30,269.65,270.15,267.55,267.9,167864
2025-06-17T13:15:00+05:30,267.9,268.9,267.5,268.75,434424
2025-06-17T14:15:00+05:30,268.75,269.9,268.05,269.25,738905
2025-06-17T15:15:00+05:30,269.3,269.7,269.0,269.35,467747
2025-06-18T09:15:00+05:30,269.4,271.0,267.6,270.15,461050
2025-06-18T10:15:00+05:30,270.25,270.25,267.5,268.3,601247
2025-06-18T11:15:00+05:30,268.15,268.35,266.4,267.8,234208
2025-06-18T12:15:00+05:30,267.85,268.3,265.2,265.2,520854
2025-06-18T13:15:00+05:30,265.25,265.5,264.0,264.4,758125
2025-06-18T14:15:00+05:30,264.4,267.1,263.7,266.7,1456599
2025-06-18T15:15:00+05:30,266.65,266.75,265.05,265.2,411531
2025-06-19T09:15:00+05:30,265.3,266.75,264.25,264.6,311699
2025-06-19T10:15:00+05:30,264.6,265.8,263.3,263.45,218261
2025-06-19T11:15:00+05:30,263.65,263.65,262.15,262.45,77933
2025-06-19T12:15:00+05:30,262.45,262.45,260.2,261.0,190496
2025-06-19T13:15:00+05:30,260.75,262.15,259.2,261.45,251607
2025-06-19T14:15:00+05:30,261.45,262.15,260.1,261.2,227868
2025-06-19T15:15:00+05:30,261.2,261.3,260.3,260.7,112490
2025-06-20T09:15:00+05:30,261.35,263.35,260.5,262.25,249386
2025-06-20T10:15:00+05:30,262.2,264.25,262.2,264.0,186776
2025-06-20T11:15:00+05:30,264.0,264.65,260.8,261.05,753977
2025-06-20T12:15:00+05:30,260.95,261.15,259.05,259.55,665707
2025-06-20T13:15:00+05:30,259.65,260.05,259.4,260.0,300122
2025-06-20T14:15:00+05:30,260.0,262.95,259.75,262.45,1879840
2025-06-20T15:15:00+05:30,262.3,263.1,262.25,262.6,425449
2025-06-23T09:15:00+05:30,262.6,263.55,259.2,260.1,733407
2025-06-23T10:15:00+05:30,259.95,260.95,259.2,260.95,215061
2025-06-23T11:15:00+05:30,260.95,262.25,259.8,261.7,266130
2025-06-23T12:15:00+05:30,261.6,262.3,260.45,262.05,249720
2025-06-23T13:15:00+05:30,262.0,263.3,261.85,262.1,404843
2025-06-23T14:15:00+05:30,262.05,262.4,261.15,261.35,196059
2025-06-23T15:15:00+05:30,261.2,261.5,260.35,260.95,111095
2025-06-24T09:15:00+05:30,263.8,266.7,263.55,266.3,376669
2025-06-24T10:15:00+05:30,266.25,267.9,266.2,267.6,239811
2025-06-24T11:15:00+05:30,267.6,269.3,267.5,269.0,435985
2025-06-24T12:15:00+05:30,269.0,269.7,267.25,269.25,312334
2025-06-24T13:15:00+05:30,269.1,270.3,266.9,270.15,1530217
2025-06-24T14:15:00+05:30,270.15,270.55,268.55,269.4,758316
2025-06-24T15:15:00+05:30,269.3,269.5,268.2,268.9,238701
2025-06-25T09:15:00+05:30,269.05,269.85,267.65,269.4,450921
2025-06-25T10:15:00+05:30,269.45,269.65,267.5,267.9,272574
2025-06-25T11:15:00+05:30,267.9,268.65,267.55,268.4,128726
2025-06-25T12:15:00+05:30,268.15,268.25,267.2,267.5,105007
2025-06-25T13:15:00+05:30,267.5,267.5,266.3,266.5,123066
2025-06-25T14:15:00+05:30,266.5,266.9,266.15,266.5,152064
2025-06-25T15:15:00+05:30,266.5,266.75,266.05,266.4,133009
2025-06-26T09:15:00+05:30,266.85,269.25,266.65,268.15,354026
2025-06-26T10:15:00+05:30,268.15,268.15,266.0,266.15,214372
2025-06-26T11:15:00+05:30,266.1,267.15,265.05,267.15,158530
2025-06-26T12:15:00+05:30,267.15,267.15,265.7,266.8,220434
2025-06-26T13:15:00+05:30,266.85,267.35,266.35,267.0,164532
2025-06-26T14:15:00+05:30,267.1,269.3,266.65,269.3,447416
2025-06-26T15:15:00+05:30,269.3,269.95,268.3,269.0,259655
2025-06-27T09:15:00+05:30,271.0,271.75,267.8,270.25,336048
2025-06-27T10:15:00+05:30,270.25,272.8,269.9,272.75,405464
2025-06-27T11:15:00+05:30,272.75,272.8,271.65,272.05,200663
2025-06-27T12:15:00+05:30,272.2,274.5,272.05,273.2,305919
2025-06-27T13:15:00+05:30,273.2,274.5,273.0,273.9,179116
2025-06-27T14:15:00+05:30,273.9,274.15,272.25,272.3,252816
2025-06-27T15:15:00+05:30,272.35,273.35,272.3,273.0,178532
2025-06-30T09:15:00+05:30,274.1,274.6,271.3,272.55,338288
2025-06-30T10:15:00+05:30,272.5,272.65,270.0,270.25,310726
2025-06-30T11:15:00+05:30,270.25,272.25,270.05,272.0,173616
2025-06-30T12:15:00+05:30,272.05,272.2,270.8,271.1,164921
2025-06-30T13:15:00+05:30,271.15,271.95,270.5,271.1,110694
2025-06-30T14:15:00+05:30,271.1,271.55,269.75,270.0,2082117
2025-06-30T15:15:00+05:30,270.0,270.5,269.05,269.95,247213
2025-07-01T09:15:00+05:30,270.65,270.75,267.3,267.5,361912
2025-07-01T10:15:00+05:30,267.45,268.0,266.5,267.45,214896
2025-07-01T11:15:00+05:30,267.35,267.8,265.5,266.2,315087
2025-07-01T12:15:00+05:30,266.15,267.15,266.0,266.6,217888
2025-07-01T13:15:00+05:30,266.65,266.9,266.0,266.7,156881
2025-07-01T14:15:00+05:30,266.7,267.7,266.4,267.3,272138
2025-07-01T15:15:00+05:30,267.3,267.35,266.8,267.15,108737
2025-07-02T09:15:00+05:30,268.1,268.8,261.65,261.9,1849327
2025-07-02T10:15:00+05:30,261.9,261.9,259.4,260.45,1151356
2025-07-02T11:15:00+05:30,260.45,262.4,260.0,262.3,918777
2025-07-02T12:15:00+05:30,262.25,262.45,261.2,261.55,542056
2025-07-02T13:15:00+05:30,261.55,263.6,261.25,263.45,1025169
2025-07-02T14:15:00+05:30,263.3,263.4,261.05,261.85,1106028
2025-07-02T15:15:00+05:30,261.85,262.15,261.05,261.3,434937
2025-07-03T09:15:00+05:30,263.0,269.25,262.7,268.3,1910892
2025-07-03T10:15:00+05:30,268.3,273.8,268.2,270.15,2526250
2025-07-03T11:15:00+05:30,270.1,271.95,269.35,269.85,621847
2025-07-03T12:15:00+05:30,269.75,269.8,268.1,268.8,439421
2025-07-03T13:15:00+05:30,268.7,268.85,267.35,267.65,437506
2025-07-03T14:15:00+05:30,267.75,268.25,266.3,266.55,385350
2025-07-03T15:15:00+05:30,266.55,267.05,265.8,266.5,424418
2025-07-04T09:15:00+05:30,267.4,271.0,265.9,267.6,553630
2025-07-04T10:15:00+05:30,267.7,268.05,266.6,266.9,164138
2025-07-04T11:15:00+05:30,267.0,267.1,265.1,265.5,220426
2025-07-04T12:15:00+05:30,265.5,265.85,264.55,265.0,182316
2025-07-04T13:15:00+05:30,265.1,265.6,265.0,265.4,72728
2025-07-04T14:15:00+05:30,265.4,266.95,264.85,266.9,140744
2025-07-04T15:15:00+05:30,266.9,266.9,266.0,266.35,88444
2025-07-07T09:15:00+05:30,267.0,269.2,264.85,268.55,603398
2025-07-07T10:15:00+05:30,268.55,269.2,268.0,268.8,167303
2025-07-07T11:15:00+05:30,268.9,269.0,267.8,268.45,244962
2025-07-07T12:15:00+05:30,268.25,268.8,267.3,268.15,343922
2025-07-07T13:15:00+05:30,268.15,268.6,267.65,268.1,123562
2025-07-07T14:15:00+05:30,268.1,268.35,268.0,268.25,123763
2025-07-07T15:15:00+05:30,268.2,268.3,268.0,268.0,118938
2025-07-08T09:15:00+05:30,268.5,268.85,266.0,266.85,244200
2025-07-08T10:15:00+05:30,266.8,268.1,266.55,267.6,185141
2025-07-08T11:15:00+05:30,267.55,268.45,267.5,268.05,118877
2025-07-08T12:15:00+05:30,268.05,269.45,267.9,269.25,169570
2025-07-08T13:15:00+05:30,269.15,270.0,269.0,269.25,113084
2025-07-08T14:15:00+05:30,269.1,270.0,268.9,269.9,214861
2025-07-08T15:15:00+05:30,269.95,270.2,269.65,270.05,150103
2025-07-09T09:15:00+05:30,270.25,271.75,269.7,270.25,252451
2025-07-09T10:15:00+05:30,270.05,271.0,270.05,270.8,61248
2025-07-09T11:15:00+05:30,270.75,271.0,269.3,269.5,81830
2025-07-09T12:15:00+05:30,269.5,270.1,269.35,269.85,55077
2025-07-09T13:15:00+05:30,269.8,270.3,269.5,270.15,54951
2025-07-09T14:15:00+05:30,270.2,270.6,269.55,270.25,347778
2025-07-09T15:15:00+05:30,270.2,270.8,270.0,270.4,125392
2025-07-10T09:15:00+05:30,270.75,271.95,269.3,269.8,230787
2025-07-10T10:15:00+05:30,269.8,270.65,268.75,268.95,174641
2025-07-10T11:15:00+05:30,269.0,269.0,265.6,266.5,306776
2025-07-10T12:15:00+05:30,266.5,266.9,266.05,266.45,261780
2025-07-10T13:15:00+05:30,266.4,268.3,266.25,268.0,385124
2025-07-10T14:15:00+05:30,268.0,268.7,267.3,267.45,275416
2025-07-10T15:15:00+05:30,267.45,268.2,267.15,267.25,224789
2025-07-11T09:15:00+05:30,267.8,268.35,265.2,265.35,362271
2025-07-11T10:15:00+05:30,265.4,265.6,264.4,265.45,377777
2025-07-11T11:15:00+05:30,265.45,266.05,265.0,265.35,129824
2025-07-11T12:15:00+05:30,265.5,267.3,265.25,266.0,237109
2025-07-11T13:15:00+05:30,266.0,266.5,265.7,265.9,183403
2025-07-11T14:15:00+05:30,266.0,266.65,265.25,265.9,369045
2025-07-11T15:15:00+05:30,265.9,265.95,265.2,265.9,164763
2025-07-14T09:15:00+05:30,266.2,267.45,265.05,265.9,437318
2025-07-14T10:15:00+05:30,266.0,268.25,265.9,267.8,642437
2025-07-14T11:15:00+05:30,267.8,268.3,267.0,267.55,156397
2025-07-14T12:15:00+05:30,267.65,268.0,267.0,267.3,109101
2025-07-14T13:15:00+05:30,267.2,267.9,267.0,267.05,53470
