timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,279.0,281.9,273.6,280.92,4139339
2025-06-16T10:15:00+05:30,281.16,284.65,280.87,283.48,2804704
2025-06-16T11:15:00+05:30,283.35,284.9,279.82,281.75,1756373
2025-06-16T12:15:00+05:30,281.75,281.75,280.0,280.03,500817
2025-06-16T13:15:00+05:30,280.0,280.25,277.53,279.15,1183941
2025-06-16T14:15:00+05:30,279.12,280.99,277.75,278.94,1825277
2025-06-16T15:15:00+05:30,278.94,278.94,277.35,277.85,754320
2025-06-17T09:15:00+05:30,277.41,278.78,269.38,270.39,2864852
2025-06-17T10:15:00+05:30,270.39,271.5,269.54,271.0,1029492
2025-06-17T11:15:00+05:30,270.9,272.69,269.01,269.8,1581649
2025-06-17T12:15:00+05:30,269.8,270.01,269.34,269.61,566648
2025-06-17T13:15:00+05:30,269.61,270.0,268.91,269.94,428277
2025-06-17T14:15:00+05:30,269.89,270.89,269.6,270.0,1045077
2025-06-17T15:15:00+05:30,270.04,270.09,269.1,269.65,1102175
2025-06-18T09:15:00+05:30,265.0,270.8,264.95,267.62,1639776
2025-06-18T10:15:00+05:30,267.62,269.45,265.42,265.99,1833696
2025-06-18T11:15:00+05:30,265.93,266.24,263.64,265.07,1528228
2025-06-18T12:15:00+05:30,265.01,266.3,263.23,263.55,1623629
2025-06-18T13:15:00+05:30,263.55,264.88,263.15,263.38,800495
2025-06-18T14:15:00+05:30,263.38,265.9,263.01,264.6,1450068
2025-06-18T15:15:00+05:30,264.6,264.99,264.24,264.89,522820
2025-06-19T09:15:00+05:30,264.76,267.75,264.33,265.61,2627964
2025-06-19T10:15:00+05:30,265.61,265.85,264.72,264.97,501260
2025-06-19T11:15:00+05:30,264.99,265.59,264.04,265.0,260886
2025-06-19T12:15:00+05:30,264.93,265.38,262.34,262.51,714599
2025-06-19T13:15:00+05:30,262.51,263.11,260.86,261.63,1208650
2025-06-19T14:15:00+05:30,261.55,264.84,261.55,263.74,1061642
2025-06-19T15:15:00+05:30,263.74,264.09,262.7,263.9,679608
2025-06-20T09:15:00+05:30,264.01,268.45,263.14,268.3,2334336
2025-06-20T10:15:00+05:30,268.3,271.65,267.7,270.35,1793560
2025-06-20T11:15:00+05:30,270.39,270.7,267.91,268.5,1092541
2025-06-20T12:15:00+05:30,268.45,268.75,268.02,268.36,482393
2025-06-20T13:15:00+05:30,268.33,271.28,268.25,270.8,1198910
2025-06-20T14:15:00+05:30,270.75,272.02,270.15,271.11,1110090
2025-06-20T15:15:00+05:30,271.28,272.72,271.12,272.26,901062
2025-06-23T09:15:00+05:30,270.49,272.4,267.72,270.13,2216950
2025-06-23T10:15:00+05:30,270.24,273.18,269.73,272.79,834521
2025-06-23T11:15:00+05:30,272.79,273.26,271.56,272.58,523860
2025-06-23T12:15:00+05:30,272.64,272.99,271.3,272.55,269445
2025-06-23T13:15:00+05:30,272.55,272.74,270.29,271.16,310914
2025-06-23T14:15:00+05:30,271.2,271.29,269.72,270.01,653331
2025-06-23T15:15:00+05:30,270.01,271.94,269.74,271.24,359941
2025-06-24T09:15:00+05:30,272.0,273.7,269.66,270.09,977685
2025-06-24T10:15:00+05:30,270.19,272.0,269.67,270.05,361309
2025-06-24T11:15:00+05:30,270.15,270.95,269.04,269.61,423519
2025-06-24T12:15:00+05:30,269.61,270.08,269.0,269.69,267613
2025-06-24T13:15:00+05:30,269.69,270.25,268.04,269.91,619476
2025-06-24T14:15:00+05:30,269.91,270.43,268.93,269.03,569917
2025-06-24T15:15:00+05:30,269.16,270.0,269.02,269.5,317890
2025-06-25T09:15:00+05:30,270.78,274.34,269.8,271.24,1695591
2025-06-25T10:15:00+05:30,271.35,273.7,270.7,272.37,618842
2025-06-25T11:15:00+05:30,272.37,272.8,271.26,272.15,461697
2025-06-25T12:15:00+05:30,272.16,272.37,269.97,271.3,761296
2025-06-25T13:15:00+05:30,271.33,272.13,270.5,270.65,853303
2025-06-25T14:15:00+05:30,270.68,273.1,269.93,272.87,1379110
2025-06-25T15:15:00+05:30,272.95,273.44,272.71,273.19,366110
2025-06-26T09:15:00+05:30,273.79,274.9,272.01,272.85,914726
2025-06-26T10:15:00+05:30,272.86,274.04,269.85,270.19,1836454
2025-06-26T11:15:00+05:30,270.19,271.18,270.0,271.0,898963
2025-06-26T12:15:00+05:30,271.0,271.91,270.8,271.73,482606
2025-06-26T13:15:00+05:30,271.73,272.49,271.72,272.09,398727
2025-06-26T14:15:00+05:30,272.09,274.5,272.09,273.5,1044027
2025-06-26T15:15:00+05:30,273.5,274.73,273.3,273.93,423732
