timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,685.65,691.1,682.25,685.05,356790
2025-06-16T10:15:00+05:30,685.05,687.55,680.3,687.45,195788
2025-06-16T11:15:00+05:30,687.45,687.95,683.3,685.1,175072
2025-06-16T12:15:00+05:30,685.1,687.5,684.6,685.25,175416
2025-06-16T13:15:00+05:30,685.05,688.65,685.0,688.15,196573
2025-06-16T14:15:00+05:30,688.15,691.4,687.75,691.4,491893
2025-06-16T15:15:00+05:30,691.4,692.25,689.75,692.0,298090
2025-06-17T09:15:00+05:30,691.8,695.35,690.8,693.4,134090
2025-06-17T10:15:00+05:30,693.15,694.5,691.7,692.95,125634
2025-06-17T11:15:00+05:30,692.95,694.3,691.55,692.9,253332
2025-06-17T12:15:00+05:30,692.75,696.4,690.95,693.75,359573
2025-06-17T13:15:00+05:30,693.9,693.9,690.0,692.1,222430
2025-06-17T14:15:00+05:30,692.0,692.3,686.9,687.55,472114
2025-06-17T15:15:00+05:30,687.55,688.7,684.2,686.0,590788
2025-06-18T09:15:00+05:30,686.8,694.6,686.25,691.55,223687
2025-06-18T10:15:00+05:30,692.0,692.4,688.05,690.3,528910
2025-06-18T11:15:00+05:30,690.3,690.7,687.5,689.65,189340
2025-06-18T12:15:00+05:30,689.65,689.95,687.7,689.0,140124
2025-06-18T13:15:00+05:30,688.95,689.95,688.35,689.4,199155
2025-06-18T14:15:00+05:30,689.4,690.45,687.95,689.6,412564
2025-06-18T15:15:00+05:30,689.55,690.8,688.8,690.8,116021
2025-06-19T09:15:00+05:30,693.9,695.5,690.25,695.0,193933
2025-06-19T10:15:00+05:30,695.25,695.5,692.2,695.35,122580
2025-06-19T11:15:00+05:30,695.35,695.5,688.8,690.75,195519
2025-06-19T12:15:00+05:30,690.55,691.1,687.4,689.4,77038
2025-06-19T13:15:00+05:30,689.4,689.75,688.1,689.25,84188
2025-06-19T14:15:00+05:30,689.25,691.6,689.0,690.95,180909
2025-06-19T15:15:00+05:30,690.9,691.15,689.8,690.0,105833
2025-06-20T09:15:00+05:30,690.8,693.85,687.0,693.3,87447
2025-06-20T10:15:00+05:30,693.7,696.8,691.45,691.95,73910
2025-06-20T11:15:00+05:30,692.0,692.85,687.1,689.4,600051
2025-06-20T12:15:00+05:30,689.4,692.15,689.05,689.85,590840
2025-06-20T13:15:00+05:30,689.85,692.05,689.45,690.6,183858
2025-06-20T14:15:00+05:30,690.7,694.15,690.2,693.2,604998
2025-06-20T15:15:00+05:30,693.55,694.9,689.0,689.0,416372
2025-06-23T09:15:00+05:30,690.6,693.55,687.55,691.0,153124
2025-06-23T10:15:00+05:30,690.8,696.6,690.75,696.05,52558
2025-06-23T11:15:00+05:30,696.25,699.0,695.35,697.0,272709
2025-06-23T12:15:00+05:30,697.0,698.05,696.2,697.95,99055
2025-06-23T13:15:00+05:30,697.95,698.1,696.85,696.9,69579
2025-06-23T14:15:00+05:30,697.25,697.25,692.55,693.05,431683
2025-06-23T15:15:00+05:30,693.1,697.85,692.5,692.8,117202
2025-06-24T09:15:00+05:30,697.95,702.65,695.0,697.75,241248
2025-06-24T10:15:00+05:30,697.6,702.85,697.0,701.75,111779
2025-06-24T11:15:00+05:30,701.75,703.4,701.5,702.7,51586
2025-06-24T12:15:00+05:30,702.7,703.4,700.85,702.2,129441
2025-06-24T13:15:00+05:30,701.8,703.0,699.0,701.6,161727
2025-06-24T14:15:00+05:30,701.65,705.7,701.5,703.2,390283
2025-06-24T15:15:00+05:30,703.2,704.7,702.6,704.0,163284
2025-06-25T09:15:00+05:30,708.85,708.85,704.0,705.0,247554
2025-06-25T10:15:00+05:30,704.85,710.0,704.7,709.2,768218
2025-06-25T11:15:00+05:30,709.25,712.0,707.5,709.2,707058
2025-06-25T12:15:00+05:30,709.5,711.95,708.15,708.85,393533
2025-06-25T13:15:00+05:30,708.75,709.0,704.9,706.5,403246
2025-06-25T14:15:00+05:30,706.65,707.3,704.1,705.3,469083
2025-06-25T15:15:00+05:30,705.35,705.5,703.6,703.95,205956
2025-06-26T09:15:00+05:30,707.4,716.95,705.85,716.7,614268
2025-06-26T10:15:00+05:30,716.4,721.4,715.75,720.75,643977
2025-06-26T11:15:00+05:30,720.7,721.5,717.3,720.0,353091
2025-06-26T12:15:00+05:30,720.0,721.7,715.0,720.05,541432
2025-06-26T13:15:00+05:30,720.35,723.0,719.0,722.8,352885
2025-06-26T14:15:00+05:30,722.8,727.0,721.2,726.1,689752
2025-06-26T15:15:00+05:30,726.2,727.9,723.0,725.0,476794
2025-06-27T09:15:00+05:30,728.0,731.65,724.45,728.3,376636
2025-06-27T10:15:00+05:30,728.45,731.1,724.95,731.1,412881
2025-06-27T11:15:00+05:30,731.15,735.7,728.25,734.4,444505
2025-06-27T12:15:00+05:30,734.25,734.4,730.6,732.2,423521
2025-06-27T13:15:00+05:30,732.2,735.25,731.65,732.5,392970
2025-06-27T14:15:00+05:30,732.5,733.1,729.8,731.65,1399702
2025-06-27T15:15:00+05:30,731.6,732.75,727.4,729.6,876283
2025-06-30T09:15:00+05:30,729.35,730.95,721.2,721.8,114664
2025-06-30T10:15:00+05:30,722.0,722.9,718.85,720.8,168530
2025-06-30T11:15:00+05:30,720.55,721.25,718.9,720.0,65867
2025-06-30T12:15:00+05:30,720.0,721.55,718.0,719.5,64088
2025-06-30T13:15:00+05:30,719.5,720.95,718.05,719.7,163659
2025-06-30T14:15:00+05:30,719.7,723.95,719.35,722.3,744960
2025-06-30T15:15:00+05:30,722.3,722.9,720.2,722.0,292361
2025-07-01T09:15:00+05:30,723.75,729.0,722.55,728.5,90212
2025-07-01T10:15:00+05:30,728.25,728.6,720.05,722.25,72285
2025-07-01T11:15:00+05:30,722.25,723.95,712.8,714.35,183169
2025-07-01T12:15:00+05:30,714.15,720.05,710.5,718.15,282935
2025-07-01T13:15:00+05:30,718.35,719.9,716.65,717.7,121612
2025-07-01T14:15:00+05:30,717.85,718.25,713.45,717.5,257921
2025-07-01T15:15:00+05:30,717.5,718.3,715.1,716.0,192907
2025-07-02T09:15:00+05:30,717.15,717.2,705.35,710.5,1136602
2025-07-02T10:15:00+05:30,710.35,712.95,708.65,712.45,170681
2025-07-02T11:15:00+05:30,712.35,719.1,711.2,716.9,97189
2025-07-02T12:15:00+05:30,716.9,718.0,710.8,712.6,414428
2025-07-02T13:15:00+05:30,712.65,712.85,706.35,708.95,208793
2025-07-02T14:15:00+05:30,708.8,713.2,706.8,713.1,243255
2025-07-02T15:15:00+05:30,713.1,713.65,708.3,708.55,249779
2025-07-03T09:15:00+05:30,713.3,716.35,707.15,708.6,300047
2025-07-03T10:15:00+05:30,708.7,714.1,708.45,711.95,288008
2025-07-03T11:15:00+05:30,712.0,717.75,710.25,716.45,289824
2025-07-03T12:15:00+05:30,716.65,716.9,710.95,711.3,276154
2025-07-03T13:15:00+05:30,711.3,713.65,710.2,712.5,160052
2025-07-03T14:15:00+05:30,712.5,714.75,711.55,712.6,459711
2025-07-03T15:15:00+05:30,712.55,714.95,711.75,714.85,343432
2025-07-04T09:15:00+05:30,735.1,744.45,728.25,728.8,3116854
2025-07-04T10:15:00+05:30,728.9,732.5,725.4,727.15,781605
2025-07-04T11:15:00+05:30,727.25,734.0,726.35,733.95,505515
2025-07-04T12:15:00+05:30,733.95,734.0,727.55,729.15,247392
2025-07-04T13:15:00+05:30,728.9,730.1,726.4,726.9,315564
2025-07-04T14:15:00+05:30,726.6,730.4,725.2,728.95,610418
2025-07-04T15:15:00+05:30,728.95,730.0,727.65,728.0,334967
2025-07-07T09:15:00+05:30,728.95,737.7,728.4,734.85,394033
2025-07-07T10:15:00+05:30,734.85,738.95,734.3,738.15,293118
2025-07-07T11:15:00+05:30,738.25,739.0,735.65,737.75,203804
2025-07-07T12:15:00+05:30,737.75,737.95,731.95,733.35,190124
2025-07-07T13:15:00+05:30,733.35,733.95,727.85,729.65,816904
2025-07-07T14:15:00+05:30,729.7,730.5,727.3,729.15,535237
2025-07-07T15:15:00+05:30,729.1,731.0,728.8,730.5,204958
2025-07-08T09:15:00+05:30,729.65,734.4,726.3,732.5,284707
2025-07-08T10:15:00+05:30,732.35,733.2,728.05,730.95,171724
2025-07-08T11:15:00+05:30,731.0,732.0,729.2,729.75,380546
2025-07-08T12:15:00+05:30,729.5,730.65,728.5,728.55,175729
2025-07-08T13:15:00+05:30,728.75,729.3,725.85,727.3,92274
2025-07-08T14:15:00+05:30,727.1,729.05,726.45,728.0,296034
2025-07-08T15:15:00+05:30,728.0,728.9,726.4,726.4,358514
2025-07-09T09:15:00+05:30,731.6,732.2,726.3,727.45,261209
2025-07-09T10:15:00+05:30,727.2,727.9,723.15,726.15,240969
2025-07-09T11:15:00+05:30,726.15,727.8,721.05,726.05,924614
2025-07-09T12:15:00+05:30,726.0,730.6,724.1,728.85,318065
2025-07-09T13:15:00+05:30,728.75,731.6,728.1,731.4,119728
2025-07-09T14:15:00+05:30,731.45,732.0,728.8,730.15,356293
2025-07-09T15:15:00+05:30,730.2,731.05,729.65,730.65,225198
2025-07-10T09:15:00+05:30,734.7,735.0,726.45,727.3,419076
2025-07-10T10:15:00+05:30,727.35,730.25,727.35,729.8,141453
2025-07-10T11:15:00+05:30,729.8,730.6,727.7,728.5,106747
2025-07-10T12:15:00+05:30,728.5,730.2,728.05,728.35,98555
2025-07-10T13:15:00+05:30,728.35,728.4,725.3,726.8,87243
2025-07-10T14:15:00+05:30,726.8,727.5,726.0,726.85,189643
2025-07-10T15:15:00+05:30,726.9,728.05,726.1,727.0,124156
2025-07-11T09:15:00+05:30,728.2,733.25,726.1,731.0,298043
2025-07-11T10:15:00+05:30,731.0,735.0,730.1,730.9,197578
2025-07-11T11:15:00+05:30,731.2,733.0,729.9,733.0,195671
2025-07-11T12:15:00+05:30,733.0,733.0,725.85,726.8,167324
2025-07-11T13:15:00+05:30,726.75,727.0,722.55,726.65,114490
2025-07-11T14:15:00+05:30,726.75,727.25,725.45,725.5,165142
2025-07-11T15:15:00+05:30,725.5,727.0,723.3,725.55,116945
2025-07-14T09:15:00+05:30,730.1,731.85,722.6,730.65,288395
2025-07-14T10:15:00+05:30,730.65,730.9,726.9,728.9,111180
2025-07-14T11:15:00+05:30,728.85,731.05,728.15,729.85,127712
2025-07-14T12:15:00+05:30,729.6,730.2,727.55,730.0,63246
2025-07-14T13:15:00+05:30,730.0,730.1,727.6,727.95,78842
2025-07-14T14:15:00+05:30,727.95,728.0,727.65,728.0,20962
