timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1245.2,1248.0,1220.4,1224.0,597207
2025-06-16T10:15:00+05:30,1224.3,1240.5,1223.6,1237.6,183469
2025-06-16T11:15:00+05:30,1237.9,1238.7,1231.1,1236.8,118172
2025-06-16T12:15:00+05:30,1236.8,1244.3,1235.1,1241.7,168996
2025-06-16T13:15:00+05:30,1242.0,1244.0,1240.1,1242.9,173224
2025-06-16T14:15:00+05:30,1242.7,1250.0,1240.0,1247.7,473235
2025-06-16T15:15:00+05:30,1247.2,1249.9,1244.5,1246.9,142020
2025-06-17T09:15:00+05:30,1253.0,1256.2,1241.0,1243.3,660105
2025-06-17T10:15:00+05:30,1243.3,1249.8,1238.5,1243.2,245524
2025-06-17T11:15:00+05:30,1243.5,1244.3,1236.6,1237.1,168947
2025-06-17T12:15:00+05:30,1237.1,1239.9,1231.3,1236.2,197562
2025-06-17T13:15:00+05:30,1236.2,1240.9,1234.4,1237.9,163731
2025-06-17T14:15:00+05:30,1238.0,1238.0,1225.9,1230.4,302390
2025-06-17T15:15:00+05:30,1230.4,1230.4,1220.9,1223.0,188073
2025-06-18T09:15:00+05:30,1226.9,1229.9,1208.2,1214.4,413938
2025-06-18T10:15:00+05:30,1214.7,1216.2,1200.1,1203.0,225050
2025-06-18T11:15:00+05:30,1203.4,1203.4,1186.7,1190.5,454782
2025-06-18T12:15:00+05:30,1190.2,1191.9,1183.2,1187.2,148760
2025-06-18T13:15:00+05:30,1187.2,1189.3,1184.9,1185.8,130537
2025-06-18T14:15:00+05:30,1186.0,1188.0,1180.3,1182.7,264365
2025-06-18T15:15:00+05:30,1182.8,1183.8,1179.6,1183.8,154029
2025-06-19T09:15:00+05:30,1185.1,1190.0,1163.2,1168.7,385209
2025-06-19T10:15:00+05:30,1168.7,1170.0,1160.7,1166.0,252698
2025-06-19T11:15:00+05:30,1166.0,1170.6,1162.8,1169.0,199399
2025-06-19T12:15:00+05:30,1169.0,1170.0,1153.2,1153.2,288721
2025-06-19T13:15:00+05:30,1153.6,1166.7,1152.7,1164.8,222885
2025-06-19T14:15:00+05:30,1165.2,1167.4,1160.0,1162.5,299526
2025-06-19T15:15:00+05:30,1162.6,1163.6,1160.0,1160.0,128492
2025-06-20T09:15:00+05:30,1162.1,1188.8,1155.6,1187.9,424550
2025-06-20T10:15:00+05:30,1187.9,1194.9,1185.0,1193.2,208969
2025-06-20T11:15:00+05:30,1193.1,1204.2,1193.1,1201.8,282001
2025-06-20T12:15:00+05:30,1201.7,1205.5,1198.0,1203.9,219748
2025-06-20T13:15:00+05:30,1203.7,1210.6,1203.1,1207.9,241733
2025-06-20T14:15:00+05:30,1207.7,1215.0,1205.0,1213.5,919301
2025-06-20T15:15:00+05:30,1214.1,1220.6,1205.4,1206.0,683396
2025-06-23T09:15:00+05:30,1202.1,1206.9,1196.1,1200.1,247638
2025-06-23T10:15:00+05:30,1200.1,1208.9,1197.6,1197.6,160100
2025-06-23T11:15:00+05:30,1197.6,1198.0,1188.2,1191.5,157009
2025-06-23T12:15:00+05:30,1191.5,1202.3,1189.5,1200.4,200513
2025-06-23T13:15:00+05:30,1200.4,1201.7,1192.5,1195.8,281350
2025-06-23T14:15:00+05:30,1195.6,1198.3,1185.5,1188.9,219513
2025-06-23T15:15:00+05:30,1188.9,1190.5,1187.0,1189.5,71147
2025-06-24T09:15:00+05:30,1209.6,1211.9,1183.1,1190.0,341201
2025-06-24T10:15:00+05:30,1190.1,1198.6,1190.0,1196.3,113132
2025-06-24T11:15:00+05:30,1196.5,1200.9,1195.7,1198.6,254996
2025-06-24T12:15:00+05:30,1198.6,1200.8,1193.1,1198.2,138601
2025-06-24T13:15:00+05:30,1198.4,1199.0,1189.0,1197.0,165200
2025-06-24T14:15:00+05:30,1197.0,1203.0,1194.5,1197.9,443244
2025-06-24T15:15:00+05:30,1197.9,1200.0,1196.1,1200.0,137638
2025-06-25T09:15:00+05:30,1191.5,1218.3,1190.0,1209.2,528125
2025-06-25T10:15:00+05:30,1209.5,1228.4,1206.4,1228.4,367133
2025-06-25T11:15:00+05:30,1228.4,1230.0,1217.4,1217.8,170015
2025-06-25T12:15:00+05:30,1217.9,1228.7,1216.0,1228.2,144009
2025-06-25T13:15:00+05:30,1228.6,1236.9,1227.9,1236.0,200718
2025-06-25T14:15:00+05:30,1235.9,1242.9,1233.7,1239.1,672728
2025-06-25T15:15:00+05:30,1239.6,1241.0,1235.5,1238.3,182039
2025-06-26T09:15:00+05:30,1250.0,1260.0,1241.7,1259.1,1036202
2025-06-26T10:15:00+05:30,1259.1,1268.9,1255.9,1262.8,686318
2025-06-26T11:15:00+05:30,1263.3,1272.0,1257.4,1270.4,371612
2025-06-26T12:15:00+05:30,1270.2,1271.0,1261.3,1269.2,523070
2025-06-26T13:15:00+05:30,1269.2,1275.0,1263.0,1265.0,444985
2025-06-26T14:15:00+05:30,1265.0,1270.0,1263.3,1264.4,569940
2025-06-26T15:15:00+05:30,1264.3,1269.9,1260.7,1266.6,364339
2025-06-27T09:15:00+05:30,1270.4,1276.0,1255.1,1271.5,370962
2025-06-27T10:15:00+05:30,1271.5,1282.2,1266.9,1276.7,990888
2025-06-27T11:15:00+05:30,1276.3,1283.9,1274.8,1282.9,221724
2025-06-27T12:15:00+05:30,1282.9,1287.7,1277.9,1278.6,280921
2025-06-27T13:15:00+05:30,1278.2,1291.9,1277.1,1289.4,479696
2025-06-27T14:15:00+05:30,1289.1,1296.8,1274.7,1275.9,4355667
2025-06-27T15:15:00+05:30,1275.9,1281.7,1268.6,1275.1,3220223
2025-06-30T09:15:00+05:30,1284.4,1296.8,1271.1,1276.4,277547
2025-06-30T10:15:00+05:30,1276.4,1288.0,1274.7,1278.7,232423
2025-06-30T11:15:00+05:30,1279.2,1284.3,1273.2,1281.9,230358
2025-06-30T12:15:00+05:30,1282.0,1283.1,1273.9,1277.1,177995
2025-06-30T13:15:00+05:30,1276.9,1281.3,1274.1,1279.2,228937
2025-06-30T14:15:00+05:30,1279.0,1280.0,1275.2,1276.9,418905
2025-06-30T15:15:00+05:30,1276.8,1277.0,1274.0,1275.0,316550
2025-07-01T09:15:00+05:30,1284.9,1307.9,1281.5,1289.4,701408
2025-07-01T10:15:00+05:30,1289.4,1292.0,1274.1,1277.0,185936
2025-07-01T11:15:00+05:30,1277.0,1281.0,1271.6,1273.5,186336
2025-07-01T12:15:00+05:30,1273.5,1279.1,1273.3,1276.9,181575
2025-07-01T13:15:00+05:30,1276.9,1282.5,1273.7,1280.3,252876
2025-07-01T14:15:00+05:30,1280.3,1282.0,1277.5,1279.7,385700
2025-07-01T15:15:00+05:30,1279.7,1284.0,1278.9,1280.4,162655
2025-07-02T09:15:00+05:30,1269.3,1278.0,1254.3,1271.5,260211
2025-07-02T10:15:00+05:30,1271.4,1272.3,1264.0,1271.0,117183
2025-07-02T11:15:00+05:30,1270.7,1299.0,1266.6,1290.9,290139
2025-07-02T12:15:00+05:30,1290.6,1293.7,1279.3,1279.9,138860
2025-07-02T13:15:00+05:30,1279.3,1279.8,1273.5,1276.9,165421
2025-07-02T14:15:00+05:30,1276.9,1286.8,1274.0,1285.9,340031
2025-07-02T15:15:00+05:30,1286.0,1293.0,1285.5,1292.0,207076
2025-07-03T09:15:00+05:30,1279.0,1308.6,1279.0,1299.8,799920
2025-07-03T10:15:00+05:30,1299.8,1305.2,1293.6,1298.0,878102
2025-07-03T11:15:00+05:30,1298.1,1306.0,1297.1,1300.3,179967
2025-07-03T12:15:00+05:30,1300.1,1303.4,1298.2,1302.1,147139
2025-07-03T13:15:00+05:30,1302.0,1302.5,1299.2,1300.8,141923
2025-07-03T14:15:00+05:30,1300.8,1303.0,1299.0,1300.7,247625
2025-07-03T15:15:00+05:30,1300.6,1305.5,1297.2,1305.0,212505
2025-07-04T09:15:00+05:30,1306.8,1310.5,1299.2,1306.9,203359
2025-07-04T10:15:00+05:30,1306.8,1314.3,1306.1,1312.6,157390
2025-07-04T11:15:00+05:30,1312.7,1312.9,1292.3,1295.2,199368
2025-07-04T12:15:00+05:30,1295.2,1295.7,1286.0,1291.1,139053
2025-07-04T13:15:00+05:30,1291.1,1294.6,1287.7,1291.7,121996
2025-07-04T14:15:00+05:30,1291.7,1301.0,1291.1,1299.3,161054
2025-07-04T15:15:00+05:30,1299.5,1299.8,1294.7,1296.4,71459
2025-07-07T09:15:00+05:30,1303.1,1303.8,1289.4,1295.0,107933
2025-07-07T10:15:00+05:30,1294.7,1304.4,1294.7,1300.6,57895
2025-07-07T11:15:00+05:30,1300.6,1304.0,1295.3,1303.0,72910
2025-07-07T12:15:00+05:30,1303.0,1305.0,1298.0,1301.2,66868
2025-07-07T13:15:00+05:30,1301.2,1302.8,1299.0,1299.4,40226
2025-07-07T14:15:00+05:30,1299.4,1303.2,1297.8,1299.5,193978
2025-07-07T15:15:00+05:30,1299.3,1300.1,1296.1,1296.1,88700
2025-07-08T09:15:00+05:30,1301.5,1310.8,1296.0,1300.9,271626
2025-07-08T10:15:00+05:30,1300.9,1302.3,1296.9,1298.4,103966
2025-07-08T11:15:00+05:30,1298.0,1300.0,1292.0,1296.0,132208
2025-07-08T12:15:00+05:30,1296.0,1300.0,1287.1,1299.6,240044
2025-07-08T13:15:00+05:30,1299.5,1300.0,1294.7,1294.9,127421
2025-07-08T14:15:00+05:30,1295.0,1295.1,1291.5,1294.9,308381
2025-07-08T15:15:00+05:30,1295.0,1301.0,1294.8,1300.0,162010
2025-07-09T09:15:00+05:30,1293.7,1300.8,1284.4,1290.5,202052
2025-07-09T10:15:00+05:30,1290.5,1292.0,1265.2,1266.6,246017
2025-07-09T11:15:00+05:30,1266.1,1267.9,1261.3,1264.8,269545
2025-07-09T12:15:00+05:30,1265.0,1269.9,1254.8,1258.8,395414
2025-07-09T13:15:00+05:30,1258.9,1260.0,1252.2,1253.3,165366
2025-07-09T14:15:00+05:30,1253.4,1254.6,1246.4,1247.4,511875
2025-07-09T15:15:00+05:30,1247.5,1248.0,1245.0,1246.0,202843
2025-07-10T09:15:00+05:30,1241.2,1247.4,1229.0,1235.1,470037
2025-07-10T10:15:00+05:30,1235.1,1248.5,1233.8,1245.2,348840
2025-07-10T11:15:00+05:30,1245.4,1250.9,1244.5,1250.0,270739
2025-07-10T12:15:00+05:30,1249.9,1250.5,1243.0,1243.8,212497
2025-07-10T13:15:00+05:30,1243.8,1248.9,1243.5,1247.3,119887
2025-07-10T14:15:00+05:30,1247.4,1252.9,1247.0,1251.3,255400
2025-07-10T15:15:00+05:30,1251.3,1255.0,1250.0,1250.6,114074
2025-07-11T09:15:00+05:30,1248.0,1251.5,1230.1,1230.6,275790
2025-07-11T10:15:00+05:30,1230.8,1237.0,1223.1,1226.2,379731
2025-07-11T11:15:00+05:30,1226.2,1230.3,1221.6,1223.1,165187
2025-07-11T12:15:00+05:30,1223.1,1227.6,1217.6,1218.7,456688
2025-07-11T13:15:00+05:30,1218.8,1221.9,1217.1,1218.0,301576
2025-07-11T14:15:00+05:30,1218.1,1223.7,1216.5,1219.4,526792
2025-07-11T15:15:00+05:30,1219.4,1221.2,1215.5,1219.9,235044
2025-07-14T09:15:00+05:30,1226.1,1249.9,1220.0,1244.9,647540
2025-07-14T10:15:00+05:30,1244.5,1256.0,1242.3,1253.6,173394
2025-07-14T11:15:00+05:30,1253.8,1259.2,1252.6,1258.8,164214
2025-07-14T12:15:00+05:30,1258.9,1263.2,1254.4,1255.2,243529
2025-07-14T13:15:00+05:30,1255.2,1255.6,1241.1,1245.7,189134
2025-07-14T14:15:00+05:30,1245.7,1248.3,1244.0,1245.6,26816
