timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1538.4,1561.1,1533.7,1551.0,339581
2025-06-16T10:15:00+05:30,1551.0,1570.0,1547.1,1566.1,218475
2025-06-16T11:15:00+05:30,1566.2,1569.5,1559.1,1564.8,311597
2025-06-16T12:15:00+05:30,1564.8,1574.5,1558.3,1568.4,193111
2025-06-16T13:15:00+05:30,1567.9,1573.0,1566.5,1569.9,73962
2025-06-16T14:15:00+05:30,1569.9,1577.7,1569.5,1577.3,225636
2025-06-16T15:15:00+05:30,1577.3,1586.8,1574.0,1583.6,161485
2025-06-17T09:15:00+05:30,1585.5,1594.6,1573.6,1588.8,328619
2025-06-17T10:15:00+05:30,1588.9,1589.1,1583.0,1587.9,66818
2025-06-17T11:15:00+05:30,1587.9,1591.4,1583.3,1584.1,73247
2025-06-17T12:15:00+05:30,1584.0,1585.2,1575.0,1578.6,82905
2025-06-17T13:15:00+05:30,1578.6,1589.6,1574.3,1588.2,74259
2025-06-17T14:15:00+05:30,1588.3,1592.4,1583.3,1587.1,413340
2025-06-17T15:15:00+05:30,1587.6,1591.0,1580.8,1581.1,108668
2025-06-18T09:15:00+05:30,1583.9,1593.5,1576.0,1592.5,95125
2025-06-18T10:15:00+05:30,1592.3,1598.5,1586.9,1598.1,104814
2025-06-18T11:15:00+05:30,1598.1,1599.9,1592.1,1598.8,95388
2025-06-18T12:15:00+05:30,1598.6,1604.1,1596.4,1602.1,154264
2025-06-18T13:15:00+05:30,1602.1,1606.1,1596.1,1598.7,204056
2025-06-18T14:15:00+05:30,1598.7,1599.6,1585.2,1589.7,177375
2025-06-18T15:15:00+05:30,1589.7,1589.7,1581.0,1581.5,55801
2025-06-19T09:15:00+05:30,1581.6,1599.7,1581.6,1594.4,77314
2025-06-19T10:15:00+05:30,1594.6,1601.1,1590.0,1594.5,53232
2025-06-19T11:15:00+05:30,1593.8,1595.4,1587.8,1590.2,36991
2025-06-19T12:15:00+05:30,1590.6,1590.7,1573.2,1575.9,63165
2025-06-19T13:15:00+05:30,1575.7,1577.2,1567.5,1573.2,101537
2025-06-19T14:15:00+05:30,1573.2,1579.7,1571.4,1575.7,121004
2025-06-19T15:15:00+05:30,1575.4,1581.7,1573.5,1575.5,65839
2025-06-20T09:15:00+05:30,1579.9,1590.7,1574.7,1576.5,168622
2025-06-20T10:15:00+05:30,1576.9,1594.3,1575.8,1592.5,135863
2025-06-20T11:15:00+05:30,1593.0,1596.4,1583.5,1586.9,112392
2025-06-20T12:15:00+05:30,1586.9,1590.3,1583.9,1589.3,67916
2025-06-20T13:15:00+05:30,1588.6,1592.6,1587.7,1591.9,114566
2025-06-20T14:15:00+05:30,1591.9,1598.4,1589.0,1594.6,745009
2025-06-20T15:15:00+05:30,1594.4,1609.0,1591.4,1598.1,663864
2025-06-23T09:15:00+05:30,1589.0,1619.2,1581.7,1606.0,203207
2025-06-23T10:15:00+05:30,1606.5,1610.1,1595.6,1595.6,238089
2025-06-23T11:15:00+05:30,1595.9,1600.0,1592.7,1598.2,130349
2025-06-23T12:15:00+05:30,1597.3,1609.0,1595.3,1608.0,129572
2025-06-23T13:15:00+05:30,1608.0,1608.5,1601.2,1601.4,64009
2025-06-23T14:15:00+05:30,1601.4,1607.5,1598.9,1601.4,91586
2025-06-23T15:15:00+05:30,1601.4,1601.4,1597.8,1600.1,53415
2025-06-24T09:15:00+05:30,1609.9,1613.6,1590.5,1591.0,75590
2025-06-24T10:15:00+05:30,1591.2,1591.8,1581.2,1584.6,43767
2025-06-24T11:15:00+05:30,1584.6,1591.0,1581.2,1590.0,28713
2025-06-24T12:15:00+05:30,1590.0,1606.0,1589.1,1605.5,63578
2025-06-24T13:15:00+05:30,1605.5,1616.8,1604.6,1615.2,69757
2025-06-24T14:15:00+05:30,1615.2,1622.6,1612.5,1618.5,143655
2025-06-24T15:15:00+05:30,1618.8,1620.8,1616.0,1620.5,78935
2025-06-25T09:15:00+05:30,1618.4,1623.1,1606.1,1609.7,120554
2025-06-25T10:15:00+05:30,1609.7,1615.0,1606.5,1613.9,195561
2025-06-25T11:15:00+05:30,1614.6,1618.0,1610.4,1613.3,61930
2025-06-25T12:15:00+05:30,1613.3,1626.5,1613.0,1624.5,179246
2025-06-25T13:15:00+05:30,1624.5,1626.1,1618.2,1618.4,64828
2025-06-25T14:15:00+05:30,1618.5,1629.0,1617.9,1627.4,222944
2025-06-25T15:15:00+05:30,1627.2,1629.9,1623.8,1623.8,81371
2025-06-26T09:15:00+05:30,1625.1,1636.0,1620.7,1632.9,84345
2025-06-26T10:15:00+05:30,1633.0,1634.3,1621.0,1622.8,112175
2025-06-26T11:15:00+05:30,1622.5,1624.5,1620.0,1620.3,40368
2025-06-26T12:15:00+05:30,1620.3,1628.0,1618.9,1623.8,149865
2025-06-26T13:15:00+05:30,1623.5,1629.5,1623.5,1629.3,34187
2025-06-26T14:15:00+05:30,1629.4,1635.1,1628.0,1634.1,87791
2025-06-26T15:15:00+05:30,1634.1,1635.2,1630.1,1630.1,39408
2025-06-27T09:15:00+05:30,1636.6,1642.0,1608.7,1621.4,102818
2025-06-27T10:15:00+05:30,1621.7,1644.5,1620.3,1634.0,315278
2025-06-27T11:15:00+05:30,1634.8,1637.3,1626.7,1634.3,102376
2025-06-27T12:15:00+05:30,1634.3,1638.7,1632.4,1633.1,141982
2025-06-27T13:15:00+05:30,1633.4,1644.4,1632.4,1641.4,271287
2025-06-27T14:15:00+05:30,1641.2,1651.9,1627.7,1627.7,3246479
2025-06-27T15:15:00+05:30,1628.9,1658.0,1625.3,1634.0,2239024
2025-06-30T09:15:00+05:30,1648.9,1649.0,1616.3,1634.9,137086
2025-06-30T10:15:00+05:30,1634.5,1638.8,1627.1,1627.8,61883
2025-06-30T11:15:00+05:30,1628.0,1639.0,1626.5,1636.8,74302
2025-06-30T12:15:00+05:30,1636.9,1639.9,1632.9,1633.0,61206
2025-06-30T13:15:00+05:30,1633.0,1636.9,1625.0,1635.2,96734
2025-06-30T14:15:00+05:30,1635.0,1648.6,1631.1,1647.9,262379
2025-06-30T15:15:00+05:30,1647.9,1659.7,1645.0,1647.5,95147
2025-07-01T09:15:00+05:30,1638.4,1666.9,1638.4,1654.0,114052
2025-07-01T10:15:00+05:30,1654.0,1655.9,1644.4,1650.9,37697
2025-07-01T11:15:00+05:30,1651.3,1663.5,1650.3,1661.4,137636
2025-07-01T12:15:00+05:30,1661.3,1664.8,1652.3,1655.0,186991
2025-07-01T13:15:00+05:30,1654.9,1656.2,1650.0,1655.5,51486
2025-07-01T14:15:00+05:30,1655.5,1664.5,1648.0,1653.9,185636
2025-07-01T15:15:00+05:30,1653.9,1659.0,1652.1,1659.0,54293
2025-07-02T09:15:00+05:30,1646.7,1651.6,1640.4,1649.6,52638
2025-07-02T10:15:00+05:30,1648.8,1654.0,1643.5,1653.0,104856
2025-07-02T11:15:00+05:30,1652.7,1656.7,1648.2,1653.5,95994
2025-07-02T12:15:00+05:30,1653.4,1655.0,1648.8,1649.0,23208
2025-07-02T13:15:00+05:30,1649.5,1650.2,1641.0,1642.9,55801
2025-07-02T14:15:00+05:30,1642.5,1645.6,1638.2,1643.1,157025
2025-07-02T15:15:00+05:30,1643.1,1650.0,1640.7,1648.2,56312
2025-07-03T09:15:00+05:30,1640.8,1648.1,1621.2,1631.8,71538
2025-07-03T10:15:00+05:30,1631.6,1634.8,1628.7,1633.4,26378
2025-07-03T11:15:00+05:30,1633.4,1634.0,1625.4,1626.4,21319
2025-07-03T12:15:00+05:30,1626.4,1629.6,1625.0,1629.0,28885
2025-07-03T13:15:00+05:30,1629.0,1629.0,1615.0,1615.3,80457
2025-07-03T14:15:00+05:30,1615.3,1622.6,1614.3,1620.7,82047
2025-07-03T15:15:00+05:30,1620.9,1622.8,1611.5,1611.5,62151
2025-07-04T09:15:00+05:30,1610.4,1624.2,1605.1,1605.9,87867
2025-07-04T10:15:00+05:30,1605.1,1609.9,1597.1,1600.3,48357
2025-07-04T11:15:00+05:30,1600.0,1601.5,1581.1,1587.5,107354
2025-07-04T12:15:00+05:30,1586.5,1589.3,1574.3,1581.6,169604
2025-07-04T13:15:00+05:30,1581.7,1592.0,1579.0,1588.6,116779
