timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1348.9,1370.0,1348.2,1355.1,206068
2025-06-16T10:15:00+05:30,1354.4,1382.7,1354.4,1379.9,187914
2025-06-16T11:15:00+05:30,1379.8,1383.0,1371.0,1376.5,218391
2025-06-16T12:15:00+05:30,1376.5,1380.9,1364.8,1376.0,115022
2025-06-16T13:15:00+05:30,1376.1,1385.0,1368.3,1381.0,121397
2025-06-16T14:15:00+05:30,1382.0,1391.8,1379.6,1390.0,138800
2025-06-16T15:15:00+05:30,1389.8,1391.8,1386.7,1391.5,51849
2025-06-17T09:15:00+05:30,1405.0,1434.5,1400.2,1412.8,492493
2025-06-17T10:15:00+05:30,1412.8,1425.9,1412.2,1425.0,114305
2025-06-17T11:15:00+05:30,1425.0,1430.0,1418.0,1424.3,147532
2025-06-17T12:15:00+05:30,1424.3,1426.3,1415.0,1419.4,106803
2025-06-17T13:15:00+05:30,1419.4,1426.0,1417.3,1423.4,61584
2025-06-17T14:15:00+05:30,1423.4,1438.8,1421.7,1436.9,257251
2025-06-17T15:15:00+05:30,1436.9,1437.4,1430.2,1432.5,87678
2025-06-18T09:15:00+05:30,1441.0,1441.9,1416.2,1424.4,265679
2025-06-18T10:15:00+05:30,1424.0,1435.6,1418.4,1435.4,131163
2025-06-18T11:15:00+05:30,1435.4,1443.3,1432.3,1443.3,138490
2025-06-18T12:15:00+05:30,1443.3,1444.0,1422.1,1426.7,128436
2025-06-18T13:15:00+05:30,1426.6,1432.1,1424.0,1426.4,172471
2025-06-18T14:15:00+05:30,1426.4,1433.9,1423.9,1425.9,108509
2025-06-18T15:15:00+05:30,1425.8,1426.5,1420.0,1421.1,52665
2025-06-19T09:15:00+05:30,1430.0,1430.0,1408.3,1412.0,103238
2025-06-19T10:15:00+05:30,1411.6,1419.5,1407.7,1418.2,67953
2025-06-19T11:15:00+05:30,1418.2,1420.0,1406.0,1411.2,44806
2025-06-19T12:15:00+05:30,1410.7,1410.7,1392.2,1397.6,69478
2025-06-19T13:15:00+05:30,1397.0,1400.0,1390.4,1396.2,54937
2025-06-19T14:15:00+05:30,1396.8,1399.4,1392.2,1393.9,68616
2025-06-19T15:15:00+05:30,1393.1,1396.0,1387.1,1388.0,64592
2025-06-20T09:15:00+05:30,1392.5,1414.4,1392.4,1402.1,78033
2025-06-20T10:15:00+05:30,1403.6,1407.9,1400.5,1407.9,28160
2025-06-20T11:15:00+05:30,1407.9,1411.1,1401.1,1402.0,17501
2025-06-20T12:15:00+05:30,1402.1,1402.5,1390.2,1391.4,21730
2025-06-20T13:15:00+05:30,1391.4,1397.0,1387.8,1391.5,19988
2025-06-20T14:15:00+05:30,1391.5,1394.7,1389.1,1393.8,29539
2025-06-20T15:15:00+05:30,1393.8,1398.9,1390.0,1393.1,23363
2025-06-23T09:15:00+05:30,1386.1,1392.9,1366.1,1383.5,104633
2025-06-23T10:15:00+05:30,1383.5,1386.4,1373.1,1382.3,82856
2025-06-23T11:15:00+05:30,1382.3,1383.7,1378.2,1381.8,25192
2025-06-23T12:15:00+05:30,1381.9,1392.9,1379.3,1391.1,36482
2025-06-23T13:15:00+05:30,1391.9,1401.5,1391.0,1401.4,40327
2025-06-23T14:15:00+05:30,1401.5,1404.6,1396.5,1398.9,61921
2025-06-23T15:15:00+05:30,1398.9,1401.7,1396.0,1397.0,46736
2025-06-24T09:15:00+05:30,1419.1,1436.8,1419.1,1424.5,152215
2025-06-24T10:15:00+05:30,1424.1,1427.8,1416.6,1416.7,35469
2025-06-24T11:15:00+05:30,1417.0,1421.8,1411.6,1420.6,32006
2025-06-24T12:15:00+05:30,1420.6,1421.0,1414.3,1418.9,27155
2025-06-24T13:15:00+05:30,1418.9,1419.9,1408.5,1415.7,32539
2025-06-24T14:15:00+05:30,1416.8,1420.5,1411.0,1412.9,43479
2025-06-24T15:15:00+05:30,1412.6,1419.0,1410.0,1415.3,21213
2025-06-25T09:15:00+05:30,1430.0,1458.0,1428.1,1435.7,598522
2025-06-25T10:15:00+05:30,1435.5,1447.1,1433.0,1440.6,373838
2025-06-25T11:15:00+05:30,1440.3,1443.0,1436.6,1441.4,102727
2025-06-25T12:15:00+05:30,1440.6,1448.0,1438.6,1444.9,142375
2025-06-25T13:15:00+05:30,1444.7,1447.4,1438.9,1442.9,96027
2025-06-25T14:15:00+05:30,1442.9,1446.0,1437.4,1444.2,255579
2025-06-25T15:15:00+05:30,1444.2,1449.9,1444.0,1447.3,110499
2025-06-26T09:15:00+05:30,1448.0,1453.8,1433.0,1438.1,127312
2025-06-26T10:15:00+05:30,1438.2,1445.8,1433.2,1441.3,56729
2025-06-26T11:15:00+05:30,1441.5,1443.4,1431.1,1432.5,48198
2025-06-26T12:15:00+05:30,1432.7,1432.7,1425.4,1427.4,61968
2025-06-26T13:15:00+05:30,1427.0,1434.4,1425.5,1433.1,48281
2025-06-26T14:15:00+05:30,1433.1,1452.0,1431.7,1451.9,114460
2025-06-26T15:15:00+05:30,1451.9,1452.9,1440.0,1441.0,42419
2025-06-27T09:15:00+05:30,1447.9,1470.0,1439.7,1468.9,197164
2025-06-27T10:15:00+05:30,1468.5,1511.9,1465.6,1509.8,397981
2025-06-27T11:15:00+05:30,1509.8,1521.0,1506.5,1519.1,612999
2025-06-27T12:15:00+05:30,1518.3,1525.0,1507.2,1509.0,286267
2025-06-27T13:15:00+05:30,1508.5,1516.9,1507.1,1513.0,127522
2025-06-27T14:15:00+05:30,1513.0,1514.0,1501.1,1509.1,264771
2025-06-27T15:15:00+05:30,1509.3,1518.0,1508.1,1512.0,98218
2025-06-30T09:15:00+05:30,1511.0,1515.0,1472.9,1480.0,292288
2025-06-30T10:15:00+05:30,1480.0,1486.9,1476.0,1484.3,99476
2025-06-30T11:15:00+05:30,1484.6,1486.0,1475.1,1483.3,86844
2025-06-30T12:15:00+05:30,1483.3,1484.0,1480.0,1482.2,47358
2025-06-30T13:15:00+05:30,1482.0,1483.5,1475.2,1482.5,71132
2025-06-30T14:15:00+05:30,1482.6,1488.5,1479.6,1483.6,122122
2025-06-30T15:15:00+05:30,1483.3,1486.5,1480.0,1481.0,108792
2025-07-01T09:15:00+05:30,1485.0,1489.2,1475.0,1478.0,90917
2025-07-01T10:15:00+05:30,1477.9,1485.0,1477.0,1480.4,42480
2025-07-01T11:15:00+05:30,1480.9,1487.0,1479.0,1486.0,38920
2025-07-01T12:15:00+05:30,1485.8,1494.7,1484.6,1491.2,73487
2025-07-01T13:15:00+05:30,1491.4,1494.4,1486.2,1494.4,73930
2025-07-01T14:15:00+05:30,1494.4,1498.0,1488.8,1489.4,131253
2025-07-01T15:15:00+05:30,1489.3,1494.3,1488.0,1488.0,61590
2025-07-02T09:15:00+05:30,1493.0,1503.8,1481.8,1494.0,109602
2025-07-02T10:15:00+05:30,1494.0,1501.8,1492.0,1501.5,43532
2025-07-02T11:15:00+05:30,1501.2,1509.4,1500.0,1509.0,50557
2025-07-02T12:15:00+05:30,1509.0,1521.0,1504.6,1519.8,118845
2025-07-02T13:15:00+05:30,1520.5,1520.5,1502.2,1510.9,75938
2025-07-02T14:15:00+05:30,1510.5,1512.1,1504.4,1510.3,59473
2025-07-02T15:15:00+05:30,1510.4,1512.0,1506.0,1510.0,52693
2025-07-03T09:15:00+05:30,1514.9,1519.7,1507.6,1513.2,52462
2025-07-03T10:15:00+05:30,1513.2,1517.8,1507.0,1508.8,23617
2025-07-03T11:15:00+05:30,1509.2,1512.0,1503.2,1511.5,17833
