timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1457.0,1485.0,1452.1,1477.4,123569
2025-06-16T10:15:00+05:30,1477.2,1482.9,1468.3,1480.4,288019
2025-06-16T11:15:00+05:30,1480.4,1489.8,1479.9,1485.8,81387
2025-06-16T12:15:00+05:30,1485.8,1491.4,1484.2,1487.5,57387
2025-06-16T13:15:00+05:30,1487.5,1490.0,1484.2,1487.3,46092
2025-06-16T14:15:00+05:30,1487.3,1489.6,1482.8,1488.4,128939
2025-06-16T15:15:00+05:30,1488.3,1492.0,1488.2,1491.3,87458
2025-06-17T09:15:00+05:30,1492.1,1500.2,1483.0,1494.4,97008
2025-06-17T10:15:00+05:30,1494.2,1498.4,1490.0,1492.0,44030
2025-06-17T11:15:00+05:30,1492.0,1492.0,1474.2,1474.5,64201
2025-06-17T12:15:00+05:30,1474.5,1480.0,1470.8,1477.8,141162
2025-06-17T13:15:00+05:30,1477.6,1482.2,1472.6,1474.4,84310
2025-06-17T14:15:00+05:30,1474.4,1479.0,1470.8,1477.8,78799
2025-06-17T15:15:00+05:30,1477.8,1478.3,1471.1,1473.6,65022
2025-06-18T09:15:00+05:30,1470.0,1492.1,1460.9,1474.4,99984
2025-06-18T10:15:00+05:30,1474.8,1489.0,1470.0,1488.1,99916
2025-06-18T11:15:00+05:30,1487.9,1490.0,1480.2,1482.7,37829
2025-06-18T12:15:00+05:30,1482.8,1483.4,1468.5,1473.2,79838
2025-06-18T13:15:00+05:30,1473.2,1473.4,1464.1,1465.9,39133
2025-06-18T14:15:00+05:30,1465.7,1470.0,1462.3,1467.8,56906
2025-06-18T15:15:00+05:30,1467.8,1473.1,1465.6,1466.7,47380
2025-06-19T09:15:00+05:30,1465.0,1472.6,1458.0,1464.0,58151
2025-06-19T10:15:00+05:30,1463.5,1473.9,1463.5,1471.8,134948
2025-06-19T11:15:00+05:30,1471.6,1483.1,1470.6,1480.0,74359
2025-06-19T12:15:00+05:30,1480.0,1482.0,1466.0,1471.3,160507
2025-06-19T13:15:00+05:30,1471.8,1475.0,1466.9,1473.9,65619
2025-06-19T14:15:00+05:30,1474.2,1478.1,1466.4,1469.6,86690
2025-06-19T15:15:00+05:30,1469.6,1472.1,1461.0,1465.6,100688
2025-06-20T09:15:00+05:30,1470.5,1497.8,1469.3,1489.4,262072
2025-06-20T10:15:00+05:30,1489.1,1498.5,1488.0,1492.4,77565
2025-06-20T11:15:00+05:30,1492.0,1505.7,1491.2,1502.6,86592
2025-06-20T12:15:00+05:30,1502.5,1506.7,1488.7,1505.7,107399
2025-06-20T13:15:00+05:30,1505.0,1507.8,1492.0,1497.3,81748
2025-06-20T14:15:00+05:30,1497.7,1507.0,1492.1,1503.5,945444
2025-06-20T15:15:00+05:30,1503.5,1511.4,1500.1,1504.9,830994
2025-06-23T09:15:00+05:30,1489.1,1494.6,1472.5,1478.8,150879
2025-06-23T10:15:00+05:30,1478.4,1489.3,1467.9,1487.2,98231
2025-06-23T11:15:00+05:30,1487.2,1495.0,1481.0,1490.9,149795
2025-06-23T12:15:00+05:30,1490.5,1494.6,1487.1,1493.8,77928
2025-06-23T13:15:00+05:30,1493.5,1496.8,1483.6,1484.8,118647
2025-06-23T14:15:00+05:30,1484.8,1489.9,1480.5,1481.2,138185
2025-06-23T15:15:00+05:30,1481.7,1483.0,1480.0,1480.0,66772
2025-06-24T09:15:00+05:30,1496.8,1519.9,1496.2,1518.8,192010
2025-06-24T10:15:00+05:30,1518.4,1520.9,1499.3,1500.7,118545
2025-06-24T11:15:00+05:30,1500.5,1531.4,1498.2,1523.1,225673
