timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,120.2,121.5,117.29,118.33,4152409
2025-06-16T10:15:00+05:30,118.33,120.3,118.3,119.8,1544420
2025-06-16T11:15:00+05:30,119.8,120.45,119.06,120.17,1598117
2025-06-16T12:15:00+05:30,120.14,120.35,119.8,120.22,496379
2025-06-16T13:15:00+05:30,120.27,120.97,120.05,120.97,914388
2025-06-16T14:15:00+05:30,120.98,122.56,120.98,122.44,2374516
2025-06-16T15:15:00+05:30,122.42,122.5,122.05,122.28,818122
2025-06-17T09:15:00+05:30,122.8,122.9,121.31,122.33,2111756
2025-06-17T10:15:00+05:30,122.28,122.6,121.63,121.86,731413
2025-06-17T11:15:00+05:30,121.88,122.77,121.18,121.42,1541303
2025-06-17T12:15:00+05:30,121.41,121.57,120.18,120.67,941664
2025-06-17T13:15:00+05:30,120.63,121.1,120.32,120.92,500534
2025-06-17T14:15:00+05:30,120.92,120.96,120.05,120.47,1018520
2025-06-17T15:15:00+05:30,120.47,120.47,119.57,119.95,758432
2025-06-18T09:15:00+05:30,120.05,120.94,118.8,120.41,2578568
2025-06-18T10:15:00+05:30,120.41,120.47,119.36,119.74,756121
2025-06-18T11:15:00+05:30,119.7,119.89,118.92,119.66,637491
2025-06-18T12:15:00+05:30,119.72,119.72,118.55,118.82,657885
2025-06-18T13:15:00+05:30,118.82,119.65,118.64,118.98,666680
2025-06-18T14:15:00+05:30,118.94,119.35,118.68,118.99,815651
2025-06-18T15:15:00+05:30,118.98,119.0,118.61,118.7,520096
2025-06-19T09:15:00+05:30,118.69,119.3,117.6,117.6,2005432
2025-06-19T10:15:00+05:30,117.65,117.65,116.6,116.76,1461396
2025-06-19T11:15:00+05:30,116.79,116.83,115.8,116.0,1054003
2025-06-19T12:15:00+05:30,116.0,116.1,114.32,114.61,2056475
2025-06-19T13:15:00+05:30,114.55,115.36,114.0,115.2,1322547
2025-06-19T14:15:00+05:30,115.2,115.86,114.5,114.52,1340368
2025-06-19T15:15:00+05:30,114.55,114.67,113.33,113.87,1313193
2025-06-20T09:15:00+05:30,113.87,115.75,113.66,114.84,2376892
2025-06-20T10:15:00+05:30,114.84,116.45,114.82,116.07,1585705
2025-06-20T11:15:00+05:30,116.1,116.66,115.94,116.54,875460
2025-06-20T12:15:00+05:30,116.54,117.97,115.7,117.17,2508584
2025-06-20T13:15:00+05:30,117.16,117.6,116.7,116.89,1334269
2025-06-20T14:15:00+05:30,116.89,117.75,116.81,116.91,3662765
