timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,226.5,228.83,221.89,225.14,1095308
2025-06-16T10:15:00+05:30,225.13,226.7,225.0,226.02,271390
2025-06-16T11:15:00+05:30,225.91,228.3,225.58,227.95,299755
2025-06-16T12:15:00+05:30,227.89,228.1,227.21,227.39,175591
2025-06-16T13:15:00+05:30,227.41,229.61,227.3,229.48,320646
2025-06-16T14:15:00+05:30,229.49,229.65,228.72,229.6,280166
2025-06-16T15:15:00+05:30,229.6,229.74,228.78,229.45,127763
2025-06-17T09:15:00+05:30,229.0,231.17,228.11,229.28,483812
2025-06-17T10:15:00+05:30,229.28,230.19,228.51,228.92,182868
2025-06-17T11:15:00+05:30,228.92,229.25,227.05,227.74,199320
2025-06-17T12:15:00+05:30,227.6,228.19,226.39,227.22,159180
2025-06-17T13:15:00+05:30,227.17,227.36,226.45,226.69,102058
2025-06-17T14:15:00+05:30,226.7,226.72,225.5,226.1,196011
2025-06-17T15:15:00+05:30,226.15,226.25,225.1,225.89,152851
2025-06-18T09:15:00+05:30,225.0,227.56,223.5,227.15,593331
2025-06-18T10:15:00+05:30,227.15,227.85,224.51,225.38,228725
2025-06-18T11:15:00+05:30,225.35,225.38,223.74,224.09,185222
2025-06-18T12:15:00+05:30,224.01,224.09,222.11,222.94,280852
2025-06-18T13:15:00+05:30,222.92,223.94,222.4,222.77,153039
2025-06-18T14:15:00+05:30,222.68,224.11,222.05,223.84,220727
2025-06-18T15:15:00+05:30,223.83,223.85,223.25,223.8,113067
2025-06-19T09:15:00+05:30,223.63,225.9,223.1,223.31,365605
2025-06-19T10:15:00+05:30,223.28,223.31,220.88,221.98,504356
2025-06-19T11:15:00+05:30,221.98,221.98,220.0,220.11,193524
2025-06-19T12:15:00+05:30,220.1,220.1,217.51,217.92,277927
2025-06-19T13:15:00+05:30,217.92,219.29,217.11,219.15,254360
2025-06-19T14:15:00+05:30,219.04,220.64,219.04,219.39,394133
2025-06-19T15:15:00+05:30,219.39,219.82,218.9,219.0,134137
2025-06-20T09:15:00+05:30,219.0,221.71,218.0,220.64,524129
2025-06-20T10:15:00+05:30,220.7,222.85,220.65,222.76,276297
2025-06-20T11:15:00+05:30,222.76,223.3,221.8,222.0,241532
2025-06-20T12:15:00+05:30,221.91,222.03,220.0,220.09,503545
2025-06-20T13:15:00+05:30,220.0,221.0,219.5,219.75,355680
2025-06-20T14:15:00+05:30,219.75,221.26,219.75,220.92,521171
2025-06-20T15:15:00+05:30,220.93,222.2,220.89,222.2,278995
2025-06-23T09:15:00+05:30,220.03,221.4,218.51,219.02,722338
2025-06-23T10:15:00+05:30,219.02,220.71,218.75,220.51,419275
2025-06-23T11:15:00+05:30,220.48,220.99,219.5,220.63,281414
2025-06-23T12:15:00+05:30,220.64,223.01,220.3,222.35,485797
