timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2374.9,2388.0,2365.1,2386.0,39804
2025-06-16T10:15:00+05:30,2386.2,2392.5,2384.8,2389.0,21012
2025-06-16T11:15:00+05:30,2388.7,2390.9,2385.0,2387.4,25141
2025-06-16T12:15:00+05:30,2387.4,2390.0,2385.0,2385.4,17414
2025-06-16T13:15:00+05:30,2385.3,2390.5,2385.0,2385.4,29530
2025-06-16T14:15:00+05:30,2385.6,2394.6,2381.3,2389.5,85127
2025-06-16T15:15:00+05:30,2389.5,2395.0,2386.0,2387.0,46501
2025-06-17T09:15:00+05:30,2386.9,2386.9,2371.2,2376.3,58176
2025-06-17T10:15:00+05:30,2376.6,2379.9,2374.3,2375.4,24931
2025-06-17T11:15:00+05:30,2375.8,2377.0,2360.1,2362.9,38659
2025-06-17T12:15:00+05:30,2362.8,2363.0,2353.0,2359.5,169202
2025-06-17T13:15:00+05:30,2359.1,2364.3,2355.2,2360.4,123095
2025-06-17T14:15:00+05:30,2361.3,2362.9,2355.5,2361.7,247143
2025-06-17T15:15:00+05:30,2361.5,2364.9,2355.5,2356.5,103336
2025-06-18T09:15:00+05:30,2363.0,2364.1,2350.6,2355.2,58679
2025-06-18T10:15:00+05:30,2354.6,2357.1,2340.1,2342.2,54831
2025-06-18T11:15:00+05:30,2342.3,2343.0,2331.0,2333.3,49763
2025-06-18T12:15:00+05:30,2333.0,2334.6,2325.4,2333.0,85201
2025-06-18T13:15:00+05:30,2331.9,2339.0,2329.7,2338.3,71431
2025-06-18T14:15:00+05:30,2338.3,2343.4,2334.1,2342.5,221018
2025-06-18T15:15:00+05:30,2342.6,2344.0,2330.2,2330.2,112862
2025-06-19T09:15:00+05:30,2340.6,2340.8,2326.8,2328.8,81897
2025-06-19T10:15:00+05:30,2328.8,2333.1,2320.0,2325.0,158006
2025-06-19T11:15:00+05:30,2325.0,2334.9,2325.0,2331.9,68341
2025-06-19T12:15:00+05:30,2331.0,2334.4,2326.4,2328.1,69402
2025-06-19T13:15:00+05:30,2328.5,2332.4,2327.0,2327.3,58033
2025-06-19T14:15:00+05:30,2327.6,2327.6,2313.3,2321.1,174670
2025-06-19T15:15:00+05:30,2321.0,2321.7,2310.0,2313.3,125812
2025-06-20T09:15:00+05:30,2339.0,2356.6,2318.9,2338.9,423974
2025-06-20T10:15:00+05:30,2338.9,2349.9,2337.5,2341.8,155302
2025-06-20T11:15:00+05:30,2342.1,2355.0,2338.2,2354.3,178837
2025-06-20T12:15:00+05:30,2354.5,2369.0,2354.2,2363.7,229568
2025-06-20T13:15:00+05:30,2363.9,2368.9,2358.2,2359.0,142164
2025-06-20T14:15:00+05:30,2358.9,2368.7,2348.5,2364.4,5655122
2025-06-20T15:15:00+05:30,2364.6,2398.0,2355.4,2383.1,4669925
2025-06-23T09:15:00+05:30,2373.8,2398.9,2362.4,2369.0,245646
2025-06-23T10:15:00+05:30,2369.1,2383.0,2362.0,2383.0,66098
2025-06-23T11:15:00+05:30,2383.0,2383.3,2368.0,2368.3,64020
