timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,86.2,86.75,85.0,85.65,3018769
2025-06-16T10:15:00+05:30,85.65,86.71,85.62,86.32,1365319
2025-06-16T11:15:00+05:30,86.32,86.5,86.02,86.24,560581
2025-06-16T12:15:00+05:30,86.24,86.46,86.03,86.39,619111
2025-06-16T13:15:00+05:30,86.39,86.63,86.25,86.56,642331
2025-06-16T14:15:00+05:30,86.6,86.67,86.39,86.49,1159432
2025-06-16T15:15:00+05:30,86.49,86.62,86.32,86.5,837301
2025-06-17T09:15:00+05:30,86.7,86.94,86.14,86.16,1726083
2025-06-17T10:15:00+05:30,86.16,86.39,85.86,86.04,1131837
2025-06-17T11:15:00+05:30,86.05,86.1,85.57,85.67,729337
2025-06-17T12:15:00+05:30,85.71,85.75,85.06,85.21,1009981
2025-06-17T13:15:00+05:30,85.2,85.44,85.1,85.31,775388
2025-06-17T14:15:00+05:30,85.31,85.34,85.01,85.16,1544353
2025-06-17T15:15:00+05:30,85.16,85.17,84.96,85.05,1309833
2025-06-18T09:15:00+05:30,84.97,85.05,84.13,84.36,3602300
2025-06-18T10:15:00+05:30,84.36,84.5,83.51,83.76,2430856
2025-06-18T11:15:00+05:30,83.76,83.77,83.14,83.4,1631702
2025-06-18T12:15:00+05:30,83.41,83.42,82.8,83.06,1876462
2025-06-18T13:15:00+05:30,83.06,83.15,82.65,82.67,1390565
2025-06-18T14:15:00+05:30,82.67,82.94,82.5,82.5,2681918
2025-06-18T15:15:00+05:30,82.51,82.68,82.1,82.45,2051292
2025-06-19T09:15:00+05:30,82.54,83.44,82.3,82.56,2845468
2025-06-19T10:15:00+05:30,82.55,82.56,81.8,81.95,1427807
2025-06-19T11:15:00+05:30,81.95,81.95,81.29,81.46,1274656
2025-06-19T12:15:00+05:30,81.46,81.48,80.7,80.73,1663952
2025-06-19T13:15:00+05:30,80.73,81.08,80.58,81.05,1264650
2025-06-19T14:15:00+05:30,81.01,81.27,80.8,81.01,1620939
2025-06-19T15:15:00+05:30,81.05,81.06,80.6,80.65,864808
2025-06-20T09:15:00+05:30,80.87,82.2,80.75,81.87,2943381
2025-06-20T10:15:00+05:30,81.87,82.68,81.85,82.61,1371373
2025-06-20T11:15:00+05:30,82.64,82.74,82.0,82.01,1299040
2025-06-20T12:15:00+05:30,82.01,82.26,81.54,81.97,1232494
2025-06-20T13:15:00+05:30,81.97,82.08,81.75,81.85,916332
2025-06-20T14:15:00+05:30,81.84,82.46,81.81,82.01,6043816
2025-06-20T15:15:00+05:30,82.04,82.75,81.99,82.26,5816360
2025-06-23T09:15:00+05:30,81.39,83.2,81.11,82.93,4565257
2025-06-23T10:15:00+05:30,82.96,83.79,82.63,83.66,1745758
2025-06-23T11:15:00+05:30,83.69,84.12,83.48,83.98,1793383
2025-06-23T12:15:00+05:30,83.98,84.26,83.68,84.14,1756637
2025-06-23T13:15:00+05:30,84.1,84.68,84.1,84.22,1598921
2025-06-23T14:15:00+05:30,84.24,85.04,84.21,84.82,3612131
2025-06-23T15:15:00+05:30,84.8,85.75,84.8,85.5,4552429
2025-06-24T09:15:00+05:30,86.21,86.58,85.17,85.91,6125740
2025-06-24T10:15:00+05:30,85.91,86.04,85.05,85.23,2333338
2025-06-24T11:15:00+05:30,85.23,85.69,85.0,85.47,1936233
2025-06-24T12:15:00+05:30,85.49,85.72,85.25,85.61,1934235
2025-06-24T13:15:00+05:30,85.59,85.78,85.02,85.35,3317958
2025-06-24T14:15:00+05:30,85.36,85.63,85.3,85.43,3042179
2025-06-24T15:15:00+05:30,85.45,85.64,85.15,85.45,2070274
2025-06-25T09:15:00+05:30,85.88,86.15,85.5,85.94,1964613
2025-06-25T10:15:00+05:30,85.94,85.94,85.62,85.65,744390
2025-06-25T11:15:00+05:30,85.65,85.71,85.32,85.32,828571
2025-06-25T12:15:00+05:30,85.36,85.38,85.1,85.28,966942
2025-06-25T13:15:00+05:30,85.28,85.3,84.71,84.73,1720655
2025-06-25T14:15:00+05:30,84.73,85.13,84.65,85.02,1958370
2025-06-25T15:15:00+05:30,85.03,85.05,84.81,84.89,762740
2025-06-26T09:15:00+05:30,85.34,85.5,84.4,84.65,2662748
2025-06-26T10:15:00+05:30,84.65,84.78,84.06,84.1,1307153
2025-06-26T11:15:00+05:30,84.1,84.3,83.91,84.2,818282
2025-06-26T12:15:00+05:30,84.2,84.5,84.07,84.13,709750
2025-06-26T13:15:00+05:30,84.13,84.4,84.1,84.34,597046
2025-06-26T14:15:00+05:30,84.34,85.56,84.31,85.39,3010291
2025-06-26T15:15:00+05:30,85.34,85.66,85.33,85.55,1247201
2025-06-27T09:15:00+05:30,85.8,86.19,85.5,86.09,2754434
2025-06-27T10:15:00+05:30,86.09,86.3,85.85,86.26,1165905
2025-06-27T11:15:00+05:30,86.26,86.35,85.91,86.18,1031398
2025-06-27T12:15:00+05:30,86.18,86.2,85.61,85.73,978632
2025-06-27T13:15:00+05:30,85.71,85.88,85.65,85.68,673200
2025-06-27T14:15:00+05:30,85.7,85.7,85.25,85.46,5466511
2025-06-27T15:15:00+05:30,85.47,86.05,85.43,85.8,3820513
2025-06-30T09:15:00+05:30,85.97,86.29,85.55,85.69,1919517
2025-06-30T10:15:00+05:30,85.67,86.09,85.64,85.91,852011
2025-06-30T11:15:00+05:30,85.91,86.24,85.65,85.89,869498
2025-06-30T12:15:00+05:30,85.92,85.94,85.36,85.38,1055195
2025-06-30T13:15:00+05:30,85.38,85.54,85.2,85.3,679002
2025-06-30T14:15:00+05:30,85.32,86.3,85.25,85.96,2901311
2025-06-30T15:15:00+05:30,85.95,85.98,85.75,85.85,1053108
2025-07-01T09:15:00+05:30,86.1,86.25,85.15,85.24,2103737
2025-07-01T10:15:00+05:30,85.24,85.58,85.1,85.32,763486
2025-07-01T11:15:00+05:30,85.32,85.4,85.14,85.31,534182
