timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,70.2,70.24,68.23,69.02,8428576
2025-06-16T10:15:00+05:30,69.02,69.69,69.02,69.59,2130340
2025-06-16T11:15:00+05:30,69.59,69.89,69.42,69.81,1242809
2025-06-16T12:15:00+05:30,69.81,69.96,69.7,69.88,975779
2025-06-16T13:15:00+05:30,69.89,70.66,69.85,70.6,1744364
2025-06-16T14:15:00+05:30,70.6,70.61,70.23,70.55,1835157
2025-06-16T15:15:00+05:30,70.55,70.6,70.4,70.5,1432896
2025-06-17T09:15:00+05:30,70.49,70.51,69.8,69.94,3451496
2025-06-17T10:15:00+05:30,69.93,69.96,69.55,69.83,1879615
2025-06-17T11:15:00+05:30,69.83,69.83,69.13,69.19,2336344
2025-06-17T12:15:00+05:30,69.19,69.19,68.6,68.78,2566586
2025-06-17T13:15:00+05:30,68.79,68.95,68.65,68.82,1221805
2025-06-17T14:15:00+05:30,68.82,68.89,68.6,68.73,2486981
2025-06-17T15:15:00+05:30,68.74,68.75,68.5,68.6,1863660
2025-06-18T09:15:00+05:30,69.31,69.4,68.42,68.8,3718604
2025-06-18T10:15:00+05:30,68.78,68.8,68.33,68.55,2006556
2025-06-18T11:15:00+05:30,68.55,68.61,68.12,68.54,1908672
2025-06-18T12:15:00+05:30,68.51,68.54,68.09,68.49,2095336
2025-06-18T13:15:00+05:30,68.47,68.7,68.21,68.27,2131077
2025-06-18T14:15:00+05:30,68.27,68.68,68.1,68.51,2601241
2025-06-18T15:15:00+05:30,68.5,68.61,68.1,68.34,1744473
2025-06-19T09:15:00+05:30,68.51,68.68,67.75,67.85,3831877
2025-06-19T10:15:00+05:30,67.85,67.9,67.5,67.7,2139218
2025-06-19T11:15:00+05:30,67.7,67.7,67.2,67.44,2760073
2025-06-19T12:15:00+05:30,67.43,67.47,66.88,66.99,2233092
2025-06-19T13:15:00+05:30,67.0,67.33,66.8,67.26,4467575
2025-06-19T14:15:00+05:30,67.26,67.59,67.01,67.14,2080881
2025-06-19T15:15:00+05:30,67.14,67.22,66.8,67.2,1763076
2025-06-20T09:15:00+05:30,67.35,67.88,67.14,67.53,2503294
2025-06-20T10:15:00+05:30,67.52,68.17,67.52,68.03,3054145
2025-06-20T11:15:00+05:30,68.0,68.18,67.77,67.87,1624648
2025-06-20T12:15:00+05:30,67.87,67.87,67.32,67.75,1728084
2025-06-20T13:15:00+05:30,67.78,68.0,67.7,67.86,1345802
2025-06-20T14:15:00+05:30,67.86,68.29,67.6,67.94,5836652
2025-06-20T15:15:00+05:30,67.95,68.09,67.8,67.9,3743715
2025-06-23T09:15:00+05:30,67.69,68.05,67.34,67.74,2556468
2025-06-23T10:15:00+05:30,67.73,67.87,67.39,67.76,1481470
2025-06-23T11:15:00+05:30,67.76,68.2,67.64,68.09,1125759
2025-06-23T12:15:00+05:30,68.09,68.44,68.09,68.38,902961
2025-06-23T13:15:00+05:30,68.36,68.59,68.3,68.41,916780
2025-06-23T14:15:00+05:30,68.41,68.48,67.96,68.02,1862451
2025-06-23T15:15:00+05:30,68.02,68.13,67.91,68.13,622122
2025-06-24T09:15:00+05:30,69.15,69.62,68.91,69.55,4183827
2025-06-24T10:15:00+05:30,69.53,70.2,69.47,70.0,2377480
2025-06-24T11:15:00+05:30,70.03,70.25,70.0,70.12,1135373
2025-06-24T12:15:00+05:30,70.12,70.12,69.72,69.8,869801
2025-06-24T13:15:00+05:30,69.81,69.92,69.19,69.31,2481355
2025-06-24T14:15:00+05:30,69.32,69.58,69.13,69.51,2592231
2025-06-24T15:15:00+05:30,69.49,69.62,69.45,69.5,1366686
2025-06-25T09:15:00+05:30,69.92,69.95,69.5,69.54,2454972
2025-06-25T10:15:00+05:30,69.54,69.68,69.25,69.29,1225688
2025-06-25T11:15:00+05:30,69.29,69.36,69.01,69.09,1372308
2025-06-25T12:15:00+05:30,69.09,69.3,69.05,69.22,950511
2025-06-25T13:15:00+05:30,69.21,69.23,68.9,68.91,1209257
2025-06-25T14:15:00+05:30,68.91,69.1,68.85,69.05,1856620
2025-06-25T15:15:00+05:30,69.08,69.12,68.95,69.08,1248796
2025-06-26T09:15:00+05:30,69.21,69.9,69.21,69.71,3985405
2025-06-26T10:15:00+05:30,69.71,69.8,69.42,69.65,2038635
2025-06-26T11:15:00+05:30,69.65,69.75,69.33,69.35,2935277
2025-06-26T12:15:00+05:30,69.33,69.55,69.11,69.39,3424929
2025-06-26T13:15:00+05:30,69.37,69.78,69.2,69.61,3319757
2025-06-26T14:15:00+05:30,69.61,70.73,69.58,70.7,12216407
2025-06-26T15:15:00+05:30,70.69,70.72,70.4,70.46,3228986
2025-06-27T09:15:00+05:30,71.0,72.43,70.98,71.45,9418360
2025-06-27T10:15:00+05:30,71.45,71.67,71.15,71.25,2024970
2025-06-27T11:15:00+05:30,71.22,71.39,70.92,71.03,1737877
2025-06-27T12:15:00+05:30,71.06,71.29,69.75,70.0,4885729
2025-06-27T13:15:00+05:30,70.03,70.29,69.66,69.9,2936122
2025-06-27T14:15:00+05:30,69.9,70.05,69.71,69.88,3594717
2025-06-27T15:15:00+05:30,69.86,70.09,69.84,69.99,1921060
2025-06-30T09:15:00+05:30,70.5,70.53,69.88,70.16,3699231
2025-06-30T10:15:00+05:30,70.16,70.32,69.92,70.1,1121104
2025-06-30T11:15:00+05:30,70.1,70.59,70.05,70.53,1236944
2025-06-30T12:15:00+05:30,70.53,70.59,70.11,70.2,877631
2025-06-30T13:15:00+05:30,70.18,70.46,70.08,70.11,614194
2025-06-30T14:15:00+05:30,70.12,70.27,69.96,70.09,1646889
2025-06-30T15:15:00+05:30,70.1,70.1,69.75,69.98,1297824
2025-07-01T09:15:00+05:30,69.87,69.87,67.71,67.73,18431480
2025-07-01T10:15:00+05:30,67.73,68.2,67.57,68.02,8770070
2025-07-01T11:15:00+05:30,68.02,68.16,67.81,68.13,3537723
2025-07-01T12:15:00+05:30,68.15,68.68,67.85,67.92,5938743
2025-07-01T13:15:00+05:30,67.9,68.0,67.8,67.96,2701933
2025-07-01T14:15:00+05:30,67.96,68.1,67.86,67.95,4122097
2025-07-01T15:15:00+05:30,67.95,67.99,67.9,67.95,5030367
2025-07-02T09:15:00+05:30,68.0,68.35,67.08,67.23,8591103
2025-07-02T10:15:00+05:30,67.2,67.41,67.0,67.1,4264001
2025-07-02T11:15:00+05:30,67.1,68.23,67.02,67.83,5742569
2025-07-02T12:15:00+05:30,67.84,67.97,67.51,67.73,1835552
2025-07-02T13:15:00+05:30,67.71,67.82,67.36,67.76,2034313
2025-07-02T14:15:00+05:30,67.77,68.1,67.7,68.08,2878246
2025-07-02T15:15:00+05:30,68.07,68.09,67.95,68.06,1593705
2025-07-03T09:15:00+05:30,68.25,69.5,68.16,69.2,14621674
2025-07-03T10:15:00+05:30,69.25,69.66,68.79,68.87,5322086
2025-07-03T11:15:00+05:30,68.87,69.34,68.66,69.2,5808507
2025-07-03T12:15:00+05:30,69.18,69.44,69.03,69.15,2800326
