timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,331.95,334.65,330.6,332.1,848562
2025-06-16T10:15:00+05:30,332.05,334.1,331.8,333.95,496362
2025-06-16T11:15:00+05:30,333.95,334.3,332.2,332.4,1326137
2025-06-16T12:15:00+05:30,332.25,333.9,331.5,332.95,937288
2025-06-16T13:15:00+05:30,333.0,334.2,332.15,333.9,1719605
2025-06-16T14:15:00+05:30,333.9,334.15,333.15,333.4,1864174
2025-06-16T15:15:00+05:30,333.45,334.2,333.3,333.5,837289
2025-06-17T09:15:00+05:30,334.1,336.9,333.1,335.75,1570780
2025-06-17T10:15:00+05:30,335.8,336.15,334.25,334.55,610961
2025-06-17T11:15:00+05:30,334.55,336.2,334.0,335.65,765518
2025-06-17T12:15:00+05:30,335.65,335.85,333.8,334.8,668594
2025-06-17T13:15:00+05:30,334.85,336.5,334.65,335.95,910724
2025-06-17T14:15:00+05:30,335.95,336.0,334.2,335.55,1297188
2025-06-17T15:15:00+05:30,335.5,335.75,333.1,335.0,938078
2025-06-18T09:15:00+05:30,335.15,335.9,333.2,333.85,1101944
2025-06-18T10:15:00+05:30,333.8,334.15,332.65,333.2,3035706
2025-06-18T11:15:00+05:30,333.2,333.8,332.2,333.35,1823956
2025-06-18T12:15:00+05:30,333.35,333.75,331.95,333.4,5571798
2025-06-18T13:15:00+05:30,333.4,333.95,331.95,332.15,2101971
2025-06-18T14:15:00+05:30,332.15,333.05,330.75,332.5,2844853
2025-06-18T15:15:00+05:30,332.55,333.1,331.95,332.55,1336694
2025-06-19T09:15:00+05:30,332.4,333.15,331.3,331.7,1364405
2025-06-19T10:15:00+05:30,331.7,331.85,331.0,331.45,1424904
2025-06-19T11:15:00+05:30,331.45,331.75,330.05,331.2,1379921
2025-06-19T12:15:00+05:30,331.15,331.3,329.2,330.05,1094121
2025-06-19T13:15:00+05:30,330.0,331.55,329.65,331.35,1385773
2025-06-19T14:15:00+05:30,331.35,332.8,329.7,329.8,4404243
