timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,194.72,195.0,192.2,192.91,1575760
2025-06-16T10:15:00+05:30,192.9,194.74,192.88,194.73,545662
2025-06-16T11:15:00+05:30,194.66,195.24,193.9,194.36,205562
2025-06-16T12:15:00+05:30,194.36,194.65,194.13,194.5,152556
2025-06-16T13:15:00+05:30,194.52,196.67,194.47,196.18,285140
2025-06-16T14:15:00+05:30,196.22,196.77,194.76,195.34,977514
2025-06-16T15:15:00+05:30,195.32,195.61,194.5,194.93,778076
2025-06-17T09:15:00+05:30,194.4,195.43,193.18,194.55,454646
2025-06-17T10:15:00+05:30,194.53,194.6,193.79,194.09,293509
2025-06-17T11:15:00+05:30,194.06,194.2,192.95,193.03,1029507
2025-06-17T12:15:00+05:30,193.01,193.85,193.0,193.73,300833
2025-06-17T13:15:00+05:30,193.7,194.27,193.45,194.15,194597
2025-06-17T14:15:00+05:30,194.16,194.44,193.86,194.07,459419
2025-06-17T15:15:00+05:30,194.06,194.21,193.9,193.96,253570
2025-06-18T09:15:00+05:30,193.6,196.8,193.15,196.57,948476
2025-06-18T10:15:00+05:30,196.52,196.96,195.26,196.89,454322
2025-06-18T11:15:00+05:30,196.84,197.9,196.18,197.8,651700
2025-06-18T12:15:00+05:30,197.77,197.9,195.93,196.15,638233
2025-06-18T13:15:00+05:30,196.11,196.69,195.11,195.21,625929
2025-06-18T14:15:00+05:30,195.2,196.79,194.78,196.3,567369
2025-06-18T15:15:00+05:30,196.29,196.45,195.87,196.05,288498
2025-06-19T09:15:00+05:30,195.8,196.99,195.22,196.29,401522
2025-06-19T10:15:00+05:30,196.29,196.77,195.55,196.31,200062
2025-06-19T11:15:00+05:30,196.31,196.39,194.4,194.73,418265
2025-06-19T12:15:00+05:30,194.78,194.85,193.14,193.46,445927
2025-06-19T13:15:00+05:30,193.46,194.0,193.14,193.7,117716
2025-06-19T14:15:00+05:30,193.7,194.79,193.3,194.19,421684
2025-06-19T15:15:00+05:30,194.18,194.66,193.5,193.6,177620
2025-06-20T09:15:00+05:30,193.4,196.3,193.23,194.31,1400392
2025-06-20T10:15:00+05:30,194.31,196.29,194.17,196.05,663074
2025-06-20T11:15:00+05:30,196.05,196.2,194.35,194.87,459255
2025-06-20T12:15:00+05:30,194.87,195.04,194.01,194.77,271853
2025-06-20T13:15:00+05:30,194.77,195.29,194.51,194.7,532257
2025-06-20T14:15:00+05:30,194.69,198.57,194.44,197.11,9694110
2025-06-20T15:15:00+05:30,197.12,198.0,196.3,197.99,6801849
2025-06-23T09:15:00+05:30,196.09,197.99,194.6,196.36,1179394
2025-06-23T10:15:00+05:30,196.29,200.65,195.75,200.17,1187617
2025-06-23T11:15:00+05:30,200.16,200.82,199.53,200.63,693112
2025-06-23T12:15:00+05:30,200.63,203.89,200.23,203.78,1400121
2025-06-23T13:15:00+05:30,203.79,204.72,202.36,204.28,1861504
2025-06-23T14:15:00+05:30,204.28,204.43,200.43,203.35,4400024
2025-06-23T15:15:00+05:30,203.34,204.82,203.25,204.0,1387259
2025-06-24T09:15:00+05:30,204.2,204.99,196.27,198.29,2539757
2025-06-24T10:15:00+05:30,198.29,199.24,197.0,198.82,889800
2025-06-24T11:15:00+05:30,198.73,199.71,198.5,198.71,514433
2025-06-24T12:15:00+05:30,198.71,199.89,198.32,199.3,495028
2025-06-24T13:15:00+05:30,199.34,199.88,196.8,197.75,664081
2025-06-24T14:15:00+05:30,197.7,199.0,197.7,198.35,658715
2025-06-24T15:15:00+05:30,198.35,199.2,198.0,198.23,404274
2025-06-25T09:15:00+05:30,198.9,202.8,198.48,202.0,1980348
2025-06-25T10:15:00+05:30,202.0,203.9,201.73,203.23,1119676
2025-06-25T11:15:00+05:30,203.22,203.8,202.55,203.21,1843094
2025-06-25T12:15:00+05:30,203.22,203.63,202.81,203.36,1070076
2025-06-25T13:15:00+05:30,203.41,203.99,203.0,203.86,855202
2025-06-25T14:15:00+05:30,203.86,204.7,203.61,204.35,1416336
2025-06-25T15:15:00+05:30,204.39,204.5,203.9,204.45,733302
2025-06-26T09:15:00+05:30,204.26,205.35,203.33,204.84,674123
2025-06-26T10:15:00+05:30,204.84,205.95,204.27,204.6,733272
2025-06-26T11:15:00+05:30,204.68,204.95,202.44,202.9,801566
2025-06-26T12:15:00+05:30,202.89,203.99,202.4,203.87,482079
2025-06-26T13:15:00+05:30,203.84,205.12,203.63,204.47,519248
2025-06-26T14:15:00+05:30,204.47,207.15,204.34,206.88,1656664
2025-06-26T15:15:00+05:30,206.88,207.89,206.01,206.99,448533
2025-06-27T09:15:00+05:30,207.99,208.24,204.2,207.06,1784092
2025-06-27T10:15:00+05:30,207.14,210.0,207.11,208.24,2097555
2025-06-27T11:15:00+05:30,208.24,208.6,207.36,208.56,934584
2025-06-27T12:15:00+05:30,208.53,209.5,207.86,209.0,744027
2025-06-27T13:15:00+05:30,209.0,209.79,208.68,209.38,960289
2025-06-27T14:15:00+05:30,209.38,210.0,209.0,209.78,7665318
2025-06-27T15:15:00+05:30,209.78,210.94,208.8,209.5,5804005
2025-06-30T09:15:00+05:30,210.06,210.38,207.6,208.16,593284
2025-06-30T10:15:00+05:30,208.16,208.4,207.4,208.18,234098
2025-06-30T11:15:00+05:30,208.17,208.49,206.66,207.77,261764
2025-06-30T12:15:00+05:30,207.77,208.19,207.22,207.24,104829
2025-06-30T13:15:00+05:30,207.2,209.9,207.11,209.89,324978
2025-06-30T14:15:00+05:30,209.82,209.82,207.83,208.27,1521968
2025-06-30T15:15:00+05:30,208.27,208.95,207.5,208.0,398103
2025-07-01T09:15:00+05:30,208.3,210.28,207.57,208.6,1111367
2025-07-01T10:15:00+05:30,208.52,209.65,208.01,208.43,441463
2025-07-01T11:15:00+05:30,208.43,208.84,207.55,207.7,411403
2025-07-01T12:15:00+05:30,207.74,208.12,207.37,207.85,333469
2025-07-01T13:15:00+05:30,207.85,208.08,206.94,207.06,339739
2025-07-01T14:15:00+05:30,207.06,207.36,206.71,207.05,838367
2025-07-01T15:15:00+05:30,207.05,207.2,206.81,206.99,364404
2025-07-02T09:15:00+05:30,207.76,207.99,204.66,204.95,654566
2025-07-02T10:15:00+05:30,204.98,208.1,204.26,207.9,1142970
2025-07-02T11:15:00+05:30,207.9,209.19,206.78,209.07,1949606
2025-07-02T12:15:00+05:30,209.03,209.49,208.2,208.3,542615
2025-07-02T13:15:00+05:30,208.3,210.2,207.88,210.13,1618041
2025-07-02T14:15:00+05:30,210.12,211.9,209.9,211.85,1941582
2025-07-02T15:15:00+05:30,211.8,212.25,211.36,212.0,716411
2025-07-03T09:15:00+05:30,205.0,205.5,201.0,204.08,42599349
2025-07-03T10:15:00+05:30,204.07,204.69,202.58,203.12,2986594
2025-07-03T11:15:00+05:30,203.13,203.68,202.7,202.93,1597254
2025-07-03T12:15:00+05:30,202.93,204.0,202.28,203.79,1748899
2025-07-03T13:15:00+05:30,203.79,203.98,202.81,203.29,1598698
2025-07-03T14:15:00+05:30,203.3,203.47,202.18,202.51,3994125
2025-07-03T15:15:00+05:30,202.51,202.54,202.16,202.29,2274300
2025-07-04T09:15:00+05:30,202.4,203.16,200.42,200.72,1205210
2025-07-04T10:15:00+05:30,200.72,200.92,199.09,199.24,709536
2025-07-04T11:15:00+05:30,199.22,199.38,197.62,198.45,1757179
2025-07-04T12:15:00+05:30,198.44,199.17,198.0,198.93,402330
2025-07-04T13:15:00+05:30,198.96,199.08,197.95,197.95,655303
2025-07-04T14:15:00+05:30,198.03,198.98,197.8,198.26,2438035
2025-07-04T15:15:00+05:30,198.28,198.5,198.0,198.4,796982
2025-07-07T09:15:00+05:30,200.0,202.73,199.31,202.46,6675032
2025-07-07T10:15:00+05:30,202.46,203.13,202.0,202.33,2191054
2025-07-07T11:15:00+05:30,202.33,202.5,199.94,200.05,2097496
2025-07-07T12:15:00+05:30,200.05,201.45,200.01,201.17,1851070
2025-07-07T13:15:00+05:30,201.17,201.68,201.0,201.35,1432068
2025-07-07T14:15:00+05:30,201.33,202.2,200.63,201.51,2087678
