timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,3013.2,3015.5,3013.2,3015.5,0
2025-06-16T10:15:00+05:30,3015.43,3015.79,3014.96,3015.74,0
2025-06-16T11:15:00+05:30,3015.79,3015.79,3015.37,3015.5,0
2025-06-16T12:15:00+05:30,3015.63,3017.44,3015.63,3016.68,0
2025-06-16T13:15:00+05:30,3016.65,3017.13,3016.62,3016.9,0
2025-06-16T14:15:00+05:30,3016.95,3018.41,3016.83,3018.23,0
2025-06-16T15:15:00+05:30,3018.25,3018.83,3018.12,3018.71,0
2025-06-17T09:15:00+05:30,3021.41,3025.52,3012.95,3024.12,0
2025-06-17T10:15:00+05:30,3024.16,3024.16,3023.37,3023.57,0
2025-06-17T11:15:00+05:30,3023.63,3023.64,3020.45,3020.65,0
2025-06-17T12:15:00+05:30,3020.62,3021.83,3020.62,3021.28,0
2025-06-17T13:15:00+05:30,3021.18,3021.28,3020.29,3020.74,0
2025-06-17T14:15:00+05:30,3020.81,3020.82,3020.45,3020.61,0
2025-06-17T15:15:00+05:30,3020.7,3020.86,3020.59,3020.64,0
2025-06-18T09:15:00+05:30,3022.53,3022.53,3019.95,3020.74,0
2025-06-18T10:15:00+05:30,3020.73,3021.11,3020.06,3020.42,0
2025-06-18T11:15:00+05:30,3020.39,3020.57,3020.23,3020.29,0
2025-06-18T12:15:00+05:30,3020.21,3020.42,3019.74,3019.92,0
2025-06-18T13:15:00+05:30,3019.89,3020.25,3019.89,3020.03,0
2025-06-18T14:15:00+05:30,3019.96,3020.07,3019.83,3020.0,0
2025-06-18T15:15:00+05:30,3019.95,3019.95,3019.91,3019.91,0
2025-06-19T09:15:00+05:30,3021.48,3021.48,3017.52,3017.71,0
2025-06-19T10:15:00+05:30,3017.6,3017.8,3015.28,3015.28,0
2025-06-19T11:15:00+05:30,3015.42,3016.0,3014.95,3015.15,0
2025-06-19T12:15:00+05:30,3015.2,3015.42,3013.84,3013.84,0
2025-06-19T13:15:00+05:30,3013.74,3013.88,3012.47,3012.79,0
2025-06-19T14:15:00+05:30,3012.7,3013.17,3012.7,3012.91,0
2025-06-19T15:15:00+05:30,3012.86,3012.96,3012.86,3012.92,0
2025-06-20T09:15:00+05:30,3011.99,3013.96,3011.99,3013.63,0
2025-06-20T10:15:00+05:30,3013.62,3013.83,3012.3,3012.77,0
2025-06-20T11:15:00+05:30,3012.67,3013.43,3012.67,3013.21,0
2025-06-20T12:15:00+05:30,3013.19,3013.19,3012.27,3012.36,0
2025-06-20T13:15:00+05:30,3012.35,3014.39,3011.8,3012.32,0
2025-06-20T14:15:00+05:30,3012.41,3013.13,3012.19,3012.97,0
2025-06-20T15:15:00+05:30,3013.04,3013.04,3012.76,3012.76,0
