timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,484.95,491.5,479.35,485.05,4658326
2025-06-16T10:15:00+05:30,485.05,487.5,483.5,484.0,1497838
2025-06-16T11:15:00+05:30,484.0,485.8,483.8,485.0,539372
2025-06-16T12:15:00+05:30,484.85,485.25,481.15,484.1,847146
2025-06-16T13:15:00+05:30,484.1,485.5,481.7,482.25,844983
2025-06-16T14:15:00+05:30,482.05,482.75,480.35,481.15,927868
2025-06-16T15:15:00+05:30,481.5,482.0,478.5,478.95,815758
2025-06-17T09:15:00+05:30,482.9,483.4,472.7,476.55,1094484
2025-06-17T10:15:00+05:30,476.8,483.5,476.5,481.5,1418922
2025-06-17T11:15:00+05:30,481.7,484.45,480.15,481.0,865755
2025-06-17T12:15:00+05:30,481.0,483.4,478.7,481.55,588817
2025-06-17T13:15:00+05:30,481.65,482.25,478.0,478.3,864787
2025-06-17T14:15:00+05:30,478.3,479.5,476.3,478.75,608874
2025-06-17T15:15:00+05:30,478.7,479.1,477.5,479.1,183196
2025-06-18T09:15:00+05:30,481.2,485.95,477.45,478.3,1349512
2025-06-18T10:15:00+05:30,478.3,478.5,471.25,472.0,844467
2025-06-18T11:15:00+05:30,472.25,472.3,468.8,469.55,446925
2025-06-18T12:15:00+05:30,469.35,470.2,466.2,467.9,409859
2025-06-18T13:15:00+05:30,467.7,468.85,465.3,467.65,398526
2025-06-18T14:15:00+05:30,467.95,470.75,466.75,469.6,604640
2025-06-18T15:15:00+05:30,469.6,470.4,468.75,470.35,390100
2025-06-19T09:15:00+05:30,470.5,471.45,464.0,465.35,526541
2025-06-19T10:15:00+05:30,465.45,469.4,463.25,466.75,364531
2025-06-19T11:15:00+05:30,466.75,469.85,465.1,469.4,199322
2025-06-19T12:15:00+05:30,469.15,472.5,467.25,470.25,853130
2025-06-19T13:15:00+05:30,469.65,472.95,468.1,472.4,451846
2025-06-19T14:15:00+05:30,472.4,474.55,469.3,469.7,627712
2025-06-19T15:15:00+05:30,469.7,470.95,468.85,470.0,452102
2025-06-20T09:15:00+05:30,471.9,471.9,461.15,463.6,679775
2025-06-20T10:15:00+05:30,463.55,466.95,463.1,465.3,301282
2025-06-20T11:15:00+05:30,465.5,470.35,464.7,466.35,538917
2025-06-20T12:15:00+05:30,466.2,466.4,462.05,465.15,464067
2025-06-20T13:15:00+05:30,465.35,465.65,462.4,463.45,371362
2025-06-20T14:15:00+05:30,463.45,468.4,463.1,463.8,725785
2025-06-20T15:15:00+05:30,463.9,465.0,463.0,463.9,434015
2025-06-23T09:15:00+05:30,472.0,474.25,459.4,462.05,2073975
2025-06-23T10:15:00+05:30,462.25,465.35,460.35,464.95,710542
2025-06-23T11:15:00+05:30,464.95,470.2,462.7,470.0,1076961
2025-06-23T12:15:00+05:30,470.0,475.75,468.6,474.15,1282375
2025-06-23T13:15:00+05:30,474.25,476.95,472.85,473.15,986563
2025-06-23T14:15:00+05:30,473.05,474.55,470.15,472.45,729049
2025-06-23T15:15:00+05:30,472.3,473.95,471.95,472.7,278699
2025-06-24T09:15:00+05:30,464.0,465.75,451.8,453.6,2510675
2025-06-24T10:15:00+05:30,453.6,455.7,451.05,452.05,983405
2025-06-24T11:15:00+05:30,452.05,452.95,450.15,450.4,812774
2025-06-24T12:15:00+05:30,450.4,452.0,449.15,450.65,702105
2025-06-24T13:15:00+05:30,450.9,451.65,447.1,448.3,1217371
2025-06-24T14:15:00+05:30,448.2,449.9,444.6,446.0,1612948
2025-06-24T15:15:00+05:30,446.1,447.0,444.5,446.8,812907
2025-06-25T09:15:00+05:30,447.5,449.75,443.95,444.5,1053688
2025-06-25T10:15:00+05:30,444.7,447.3,443.7,444.65,538121
