timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,253.99,256.32,252.19,255.11,10010330
2025-06-16T10:15:00+05:30,255.14,256.89,255.09,256.2,4819609
2025-06-16T11:15:00+05:30,256.24,257.3,254.37,255.16,6264628
2025-06-16T12:15:00+05:30,255.2,255.48,254.15,254.52,2207945
2025-06-16T13:15:00+05:30,254.52,255.4,254.15,254.72,2210205
2025-06-16T14:15:00+05:30,254.77,257.37,254.3,257.21,13271754
2025-06-16T15:15:00+05:30,257.34,257.5,255.48,256.24,2408869
2025-06-17T09:15:00+05:30,256.94,257.09,251.55,252.77,7454365
2025-06-17T10:15:00+05:30,252.75,253.99,252.28,252.4,2056454
2025-06-17T11:15:00+05:30,252.4,253.38,252.2,252.69,2770468
2025-06-17T12:15:00+05:30,252.69,253.07,251.6,252.31,1816318
2025-06-17T13:15:00+05:30,252.34,253.28,252.0,252.37,1313595
2025-06-17T14:15:00+05:30,252.46,252.89,252.1,252.46,1773010
2025-06-17T15:15:00+05:30,252.43,252.48,251.61,251.98,1470958
2025-06-18T09:15:00+05:30,254.05,255.89,253.03,253.63,4720840
2025-06-18T10:15:00+05:30,253.63,253.75,251.8,252.05,1629260
2025-06-18T11:15:00+05:30,252.05,252.2,251.32,251.8,1114185
2025-06-18T12:15:00+05:30,251.8,252.05,250.11,250.68,1166683
2025-06-18T13:15:00+05:30,250.65,251.18,250.35,250.54,779278
2025-06-18T14:15:00+05:30,250.54,251.52,249.82,250.46,2036792
2025-06-18T15:15:00+05:30,250.46,250.52,249.77,249.85,1165200
2025-06-19T09:15:00+05:30,250.51,250.79,248.65,249.13,1571312
2025-06-19T10:15:00+05:30,249.13,249.5,248.2,248.7,804840
2025-06-19T11:15:00+05:30,248.71,251.25,248.5,251.21,1281910
2025-06-19T12:15:00+05:30,251.22,251.5,249.25,250.17,1398834
2025-06-19T13:15:00+05:30,250.17,252.35,249.28,252.07,1719882
2025-06-19T14:15:00+05:30,252.07,253.0,251.35,251.76,2915355
2025-06-19T15:15:00+05:30,251.76,251.8,251.0,251.0,1049368
2025-06-20T09:15:00+05:30,252.26,252.45,249.35,251.49,1901099
2025-06-20T10:15:00+05:30,251.49,253.02,251.1,252.63,1563109
2025-06-20T11:15:00+05:30,252.63,253.25,252.18,252.47,1307271
2025-06-20T12:15:00+05:30,252.47,252.5,250.2,251.49,836272
2025-06-20T13:15:00+05:30,251.42,252.09,250.6,250.75,994697
2025-06-20T14:15:00+05:30,250.84,252.8,250.72,252.01,5397012
2025-06-20T15:15:00+05:30,252.01,252.07,250.3,251.2,3823041
2025-06-23T09:15:00+05:30,253.04,255.49,251.34,251.9,6519767
2025-06-23T10:15:00+05:30,251.9,251.96,250.33,251.32,2130143
2025-06-23T11:15:00+05:30,251.32,251.8,250.87,251.0,1259456
2025-06-23T12:15:00+05:30,251.0,251.85,250.65,251.85,1381266
2025-06-23T13:15:00+05:30,251.82,252.39,250.77,251.01,1854733
2025-06-23T14:15:00+05:30,250.96,251.75,250.91,251.37,2012542
2025-06-23T15:15:00+05:30,251.36,251.6,251.04,251.1,1319035
2025-06-24T09:15:00+05:30,247.55,248.0,245.0,246.65,6180194
2025-06-24T10:15:00+05:30,246.74,246.86,243.7,244.03,4428699
2025-06-24T11:15:00+05:30,244.1,245.3,244.0,245.02,3305931
2025-06-24T12:15:00+05:30,245.02,245.05,244.25,244.66,1828828
2025-06-24T13:15:00+05:30,244.66,244.76,243.49,243.62,2311159
2025-06-24T14:15:00+05:30,243.63,244.2,243.55,243.96,2404443
2025-06-24T15:15:00+05:30,243.96,244.26,243.78,244.09,1442869
2025-06-25T09:15:00+05:30,244.09,245.3,243.71,244.09,2396770
2025-06-25T10:15:00+05:30,244.09,244.21,242.8,243.3,1593713
2025-06-25T11:15:00+05:30,243.31,243.75,242.91,243.08,701125
2025-06-25T12:15:00+05:30,243.08,244.47,243.04,244.23,1287931
2025-06-25T13:15:00+05:30,244.16,244.22,242.9,243.0,2324349
2025-06-25T14:15:00+05:30,243.01,243.2,241.53,241.84,3128746
2025-06-25T15:15:00+05:30,241.84,242.09,241.5,241.8,1536249
2025-06-26T09:15:00+05:30,242.09,243.66,242.08,242.75,2699089
2025-06-26T10:15:00+05:30,242.75,243.1,241.56,242.2,3097909
2025-06-26T11:15:00+05:30,242.2,242.66,241.54,242.44,2077296
2025-06-26T12:15:00+05:30,242.39,243.6,242.24,243.07,1718376
2025-06-26T13:15:00+05:30,243.1,244.1,243.07,243.69,1723149
2025-06-26T14:15:00+05:30,243.69,245.0,243.5,244.67,2903068
2025-06-26T15:15:00+05:30,244.66,245.37,244.46,245.01,1508694
2025-06-27T09:15:00+05:30,245.01,246.22,243.6,244.29,1799410
2025-06-27T10:15:00+05:30,244.29,244.65,242.88,244.19,1568932
2025-06-27T11:15:00+05:30,244.19,244.99,243.91,244.53,997542
2025-06-27T12:15:00+05:30,244.59,245.24,244.1,244.11,1376120
2025-06-27T13:15:00+05:30,244.11,244.26,243.5,243.55,982466
2025-06-27T14:15:00+05:30,243.5,243.98,242.0,242.72,9387535
2025-06-27T15:15:00+05:30,242.72,244.5,242.68,244.4,5543911
2025-06-30T09:15:00+05:30,243.9,245.7,243.51,244.53,1816477
2025-06-30T10:15:00+05:30,244.53,245.2,243.35,243.56,1118864
2025-06-30T11:15:00+05:30,243.6,243.85,243.26,243.53,859845
2025-06-30T12:15:00+05:30,243.63,243.69,243.0,243.44,904072
2025-06-30T13:15:00+05:30,243.43,243.78,243.05,243.2,769215
2025-06-30T14:15:00+05:30,243.2,244.7,243.0,244.31,2014296
2025-06-30T15:15:00+05:30,244.33,244.45,243.0,244.0,1222216
2025-07-01T09:15:00+05:30,245.3,245.3,243.22,243.27,1552478
2025-07-01T10:15:00+05:30,243.27,243.29,241.3,241.87,1833749
2025-07-01T11:15:00+05:30,241.87,242.39,241.75,242.0,562264
2025-07-01T12:15:00+05:30,242.07,243.25,241.9,243.09,1254415
2025-07-01T13:15:00+05:30,243.09,243.49,242.53,243.4,817652
2025-07-01T14:15:00+05:30,243.45,243.9,242.61,243.57,1395719
2025-07-01T15:15:00+05:30,243.66,243.79,243.0,243.19,889434
2025-07-02T09:15:00+05:30,242.97,243.75,242.21,242.47,1691314
2025-07-02T10:15:00+05:30,242.49,243.15,242.1,242.84,1037636
2025-07-02T11:15:00+05:30,242.78,243.5,241.41,242.15,2024565
2025-07-02T12:15:00+05:30,242.1,242.52,241.1,241.16,1615830
2025-07-02T13:15:00+05:30,241.15,241.17,240.2,240.96,1110197
2025-07-02T14:15:00+05:30,240.96,241.4,240.4,241.0,1895455
2025-07-02T15:15:00+05:30,241.01,241.2,240.98,241.1,993572
2025-07-03T09:15:00+05:30,242.0,244.75,241.8,244.54,3500473
2025-07-03T10:15:00+05:30,244.6,246.2,244.46,245.94,3843128
2025-07-03T11:15:00+05:30,245.97,246.06,244.28,244.66,1358860
2025-07-03T12:15:00+05:30,244.66,244.73,243.81,243.95,951751
2025-07-03T13:15:00+05:30,243.95,245.0,243.55,244.15,868575
2025-07-03T14:15:00+05:30,244.15,244.51,243.35,244.17,2228036
2025-07-03T15:15:00+05:30,244.17,244.21,243.57,243.95,1101387
2025-07-04T09:15:00+05:30,245.19,245.2,242.51,243.65,1525657
2025-07-04T10:15:00+05:30,243.64,244.08,243.22,243.98,657835
2025-07-04T11:15:00+05:30,243.95,245.03,243.41,244.43,1422378
2025-07-04T12:15:00+05:30,244.46,245.1,244.42,244.83,1072126
2025-07-04T13:15:00+05:30,244.81,245.12,244.1,244.83,939889
2025-07-04T14:15:00+05:30,244.81,245.33,244.72,245.25,1229121
2025-07-04T15:15:00+05:30,245.29,245.45,244.85,245.2,807163
2025-07-07T09:15:00+05:30,245.5,245.5,243.83,243.96,807607
2025-07-07T10:15:00+05:30,243.96,244.79,243.96,244.18,446240
2025-07-07T11:15:00+05:30,244.12,244.12,242.9,243.0,631235
2025-07-07T12:15:00+05:30,243.01,243.1,242.13,243.03,1047798
2025-07-07T13:15:00+05:30,243.02,243.2,241.73,241.99,1691881
2025-07-07T14:15:00+05:30,241.98,242.13,241.5,241.8,2699089
2025-07-07T15:15:00+05:30,241.83,241.94,240.83,241.4,1839506
2025-07-08T09:15:00+05:30,242.5,243.7,241.6,241.91,1517752
2025-07-08T10:15:00+05:30,241.9,242.36,241.6,242.17,624029
2025-07-08T11:15:00+05:30,242.2,242.3,240.85,240.85,721666
2025-07-08T12:15:00+05:30,240.85,242.44,240.65,241.87,1255418
2025-07-08T13:15:00+05:30,241.8,242.53,241.7,242.29,952259
2025-07-08T14:15:00+05:30,242.3,243.48,242.04,243.43,1488368
2025-07-08T15:15:00+05:30,243.43,243.5,242.83,243.35,936589
2025-07-09T09:15:00+05:30,243.4,244.08,242.27,243.9,1243890
2025-07-09T10:15:00+05:30,243.9,244.08,242.62,243.49,2034498
2025-07-09T11:15:00+05:30,243.5,244.17,243.5,243.93,1773121
2025-07-09T12:15:00+05:30,243.98,244.17,243.6,243.83,1230025
2025-07-09T13:15:00+05:30,243.87,244.59,243.72,244.01,1197667
2025-07-09T14:15:00+05:30,244.01,244.12,243.15,243.31,1471011
2025-07-09T15:15:00+05:30,243.32,243.39,243.0,243.16,596723
2025-07-10T09:15:00+05:30,243.6,244.69,243.0,243.08,1185356
2025-07-10T10:15:00+05:30,243.05,243.39,242.33,243.25,830569
2025-07-10T11:15:00+05:30,243.25,244.25,243.11,244.08,1990254
2025-07-10T12:15:00+05:30,244.08,244.26,242.81,242.96,994278
2025-07-10T13:15:00+05:30,242.96,243.69,242.5,242.92,661865
2025-07-10T14:15:00+05:30,242.92,243.74,242.4,243.26,1441691
2025-07-10T15:15:00+05:30,243.27,243.31,242.55,243.0,871929
2025-07-11T09:15:00+05:30,243.08,243.09,241.5,241.55,971118
2025-07-11T10:15:00+05:30,241.55,241.88,240.8,241.2,780936
2025-07-11T11:15:00+05:30,241.28,242.49,241.01,242.24,1024163
2025-07-11T12:15:00+05:30,242.24,242.54,241.9,242.01,992764
2025-07-11T13:15:00+05:30,242.0,242.29,241.56,241.67,441131
2025-07-11T14:15:00+05:30,241.67,242.14,241.25,241.99,857027
2025-07-11T15:15:00+05:30,241.99,242.0,241.5,241.7,516702
2025-07-14T09:15:00+05:30,242.9,243.78,241.14,242.44,1426414
2025-07-14T10:15:00+05:30,242.44,243.12,242.26,242.59,620966
2025-07-14T11:15:00+05:30,242.55,243.69,241.82,243.49,690481
2025-07-14T12:15:00+05:30,243.49,243.65,242.0,243.1,855674
2025-07-14T13:15:00+05:30,243.09,244.65,242.93,244.23,1565074
2025-07-14T14:15:00+05:30,244.23,244.5,244.0,244.14,200522
