timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,886.65,888.95,857.15,871.75,1722192
2025-06-16T10:15:00+05:30,871.45,878.85,870.6,877.15,596919
2025-06-16T11:15:00+05:30,877.25,882.6,874.55,882.0,424159
2025-06-16T12:15:00+05:30,882.0,883.0,875.7,877.0,313972
2025-06-16T13:15:00+05:30,877.05,881.95,874.3,881.95,351228
2025-06-16T14:15:00+05:30,881.95,882.85,874.55,876.7,641576
2025-06-16T15:15:00+05:30,876.7,879.7,876.1,877.3,393477
2025-06-17T09:15:00+05:30,882.0,882.55,867.1,869.55,966016
2025-06-17T10:15:00+05:30,869.55,870.25,865.2,866.9,315334
2025-06-17T11:15:00+05:30,866.9,867.0,861.0,862.1,286650
2025-06-17T12:15:00+05:30,862.1,867.0,857.15,864.4,489995
2025-06-17T13:15:00+05:30,864.4,870.3,861.0,869.95,523206
2025-06-17T14:15:00+05:30,869.95,871.0,862.8,866.1,548627
2025-06-17T15:15:00+05:30,866.15,866.45,862.7,864.0,389590
2025-06-18T09:15:00+05:30,871.2,889.9,859.0,886.75,1477273
2025-06-18T10:15:00+05:30,886.75,889.4,879.4,885.0,1028769
2025-06-18T11:15:00+05:30,885.0,893.75,880.85,888.9,1160302
2025-06-18T12:15:00+05:30,888.9,893.0,887.2,890.7,516532
2025-06-18T13:15:00+05:30,891.0,891.75,885.5,886.2,581524
2025-06-18T14:15:00+05:30,886.2,895.0,884.2,890.05,812436
2025-06-18T15:15:00+05:30,890.45,893.0,889.7,891.0,433492
2025-06-19T09:15:00+05:30,893.0,896.5,886.15,889.95,895573
2025-06-19T10:15:00+05:30,889.85,891.0,884.55,887.75,517188
2025-06-19T11:15:00+05:30,887.45,888.0,879.0,879.9,846002
2025-06-19T12:15:00+05:30,879.6,880.0,869.25,870.6,572981
2025-06-19T13:15:00+05:30,870.95,876.8,868.2,875.15,701062
2025-06-19T14:15:00+05:30,875.0,878.0,865.05,869.45,1544113
2025-06-19T15:15:00+05:30,869.45,870.4,865.05,865.9,399600
2025-06-20T09:15:00+05:30,872.55,872.95,859.15,867.6,1000527
2025-06-20T10:15:00+05:30,867.7,871.75,864.1,865.65,448432
2025-06-20T11:15:00+05:30,865.65,866.9,863.6,864.95,275845
2025-06-20T12:15:00+05:30,864.95,878.7,860.15,876.05,781566
2025-06-20T13:15:00+05:30,875.95,879.35,870.1,870.95,324665
2025-06-20T14:15:00+05:30,870.9,874.6,868.55,873.9,1209011
2025-06-20T15:15:00+05:30,873.5,874.0,868.75,870.75,1177665
2025-06-23T09:15:00+05:30,864.85,875.0,862.0,874.7,749353
2025-06-23T10:15:00+05:30,874.7,882.9,873.25,881.1,596282
2025-06-23T11:15:00+05:30,881.2,882.7,878.2,879.8,172172
2025-06-23T12:15:00+05:30,879.55,893.95,878.6,889.85,998740
2025-06-23T13:15:00+05:30,889.5,892.0,882.4,883.75,610988
2025-06-23T14:15:00+05:30,884.0,886.0,882.3,884.1,343750
2025-06-23T15:15:00+05:30,884.45,884.7,881.0,882.0,275584
2025-06-24T09:15:00+05:30,894.8,900.0,886.45,891.5,782992
2025-06-24T10:15:00+05:30,891.55,901.7,888.5,897.4,1191433
