timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,5911.0,5935.0,5841.0,5905.5,70515
2025-06-16T10:15:00+05:30,5907.0,5949.5,5899.0,5943.0,44903
2025-06-16T11:15:00+05:30,5943.0,5985.0,5941.0,5980.5,57008
2025-06-16T12:15:00+05:30,5981.0,6035.0,5978.0,6033.0,171230
2025-06-16T13:15:00+05:30,6033.0,6041.5,6013.0,6019.0,69564
2025-06-16T14:15:00+05:30,6017.5,6038.0,6012.5,6021.5,82175
2025-06-16T15:15:00+05:30,6020.0,6023.5,6004.5,6015.0,43416
2025-06-17T09:15:00+05:30,6045.0,6076.0,6004.0,6062.5,156769
2025-06-17T10:15:00+05:30,6063.0,6140.0,6046.0,6092.0,174815
2025-06-17T11:15:00+05:30,6092.0,6145.0,6071.5,6123.0,103069
2025-06-17T12:15:00+05:30,6123.0,6129.5,6074.0,6097.0,103165
2025-06-17T13:15:00+05:30,6099.0,6114.0,6085.0,6099.5,33869
2025-06-17T14:15:00+05:30,6100.0,6105.0,6053.5,6075.0,67102
2025-06-17T15:15:00+05:30,6075.0,6076.0,6061.0,6061.0,31138
2025-06-18T09:15:00+05:30,6065.0,6128.0,6052.5,6078.0,89198
2025-06-18T10:15:00+05:30,6080.0,6090.0,6018.0,6032.5,40266
2025-06-18T11:15:00+05:30,6032.0,6047.0,6010.0,6039.5,34566
2025-06-18T12:15:00+05:30,6040.0,6046.0,6010.0,6036.0,16699
2025-06-18T13:15:00+05:30,6036.0,6040.0,6022.0,6031.0,23780
2025-06-18T14:15:00+05:30,6031.0,6045.0,6015.0,6022.0,34261
2025-06-18T15:15:00+05:30,6022.0,6039.0,6019.0,6039.0,25830
2025-06-19T09:15:00+05:30,6038.5,6041.5,5917.5,5950.0,81627
2025-06-19T10:15:00+05:30,5950.0,5969.0,5867.5,5877.0,110455
2025-06-19T11:15:00+05:30,5877.0,5944.0,5870.5,5912.5,54965
2025-06-19T12:15:00+05:30,5912.0,5945.0,5898.5,5926.0,50019
2025-06-19T13:15:00+05:30,5926.0,5936.5,5891.5,5909.0,47766
2025-06-19T14:15:00+05:30,5909.0,5918.5,5877.0,5892.5,44364
2025-06-19T15:15:00+05:30,5893.0,5906.0,5893.0,5900.0,29040
2025-06-20T09:15:00+05:30,5905.0,5967.0,5895.5,5934.0,83442
2025-06-20T10:15:00+05:30,5935.5,5998.5,5935.0,5987.5,55126
2025-06-20T11:15:00+05:30,5989.5,6045.0,5982.0,6043.0,59118
2025-06-20T12:15:00+05:30,6041.5,6057.0,6001.0,6035.0,48595
2025-06-20T13:15:00+05:30,6038.5,6054.0,6028.0,6034.0,23077
2025-06-20T14:15:00+05:30,6035.0,6110.0,6033.5,6104.5,237971
2025-06-20T15:15:00+05:30,6105.5,6130.0,6090.5,6104.0,154748
2025-06-23T09:15:00+05:30,6060.5,6149.0,6044.5,6093.0,164492
2025-06-23T10:15:00+05:30,6092.0,6141.5,6088.5,6101.5,56218
2025-06-23T11:15:00+05:30,6101.0,6134.0,6099.5,6124.5,44555
2025-06-23T12:15:00+05:30,6124.5,6132.0,6103.0,6128.0,33119
2025-06-23T13:15:00+05:30,6128.0,6155.0,6112.5,6114.5,58046
2025-06-23T14:15:00+05:30,6114.5,6118.0,6072.5,6081.0,54212
2025-06-23T15:15:00+05:30,6081.0,6085.5,6064.0,6080.0,29473
2025-06-24T09:15:00+05:30,6160.0,6175.5,6067.5,6126.5,94848
2025-06-24T10:15:00+05:30,6126.5,6156.5,6097.5,6098.5,36257
2025-06-24T11:15:00+05:30,6099.0,6155.0,6092.0,6148.0,49708
2025-06-24T12:15:00+05:30,6147.0,6159.0,6115.0,6137.0,39259
2025-06-24T13:15:00+05:30,6137.5,6141.0,6084.0,6090.0,26508
2025-06-24T14:15:00+05:30,6089.5,6099.5,6060.0,6078.5,75335
2025-06-24T15:15:00+05:30,6076.0,6104.0,6075.0,6080.0,34125
2025-06-25T09:15:00+05:30,6138.0,6176.5,6112.0,6141.5,113292
2025-06-25T10:15:00+05:30,6142.5,6153.0,6122.0,6127.5,21523
2025-06-25T11:15:00+05:30,6125.0,6133.5,6091.5,6095.0,16375
2025-06-25T12:15:00+05:30,6092.5,6138.5,6090.0,6134.0,28871
2025-06-25T13:15:00+05:30,6133.0,6138.5,6102.0,6109.5,31078
2025-06-25T14:15:00+05:30,6109.5,6127.5,6100.0,6110.0,58951
2025-06-25T15:15:00+05:30,6110.0,6112.0,6100.5,6108.0,21425
2025-06-26T09:15:00+05:30,6139.5,6139.5,6041.0,6043.5,86088
2025-06-26T10:15:00+05:30,6043.5,6070.0,6006.0,6063.0,105860
2025-06-26T11:15:00+05:30,6060.0,6063.0,6034.0,6044.5,53848
2025-06-26T12:15:00+05:30,6047.0,6082.0,6006.5,6046.5,90895
2025-06-26T13:15:00+05:30,6048.5,6095.0,6046.5,6059.5,56056
2025-06-26T14:15:00+05:30,6059.5,6088.0,6042.5,6054.0,114349
2025-06-26T15:15:00+05:30,6053.5,6063.0,6043.0,6063.0,47067
2025-06-27T09:15:00+05:30,6065.0,6133.0,6060.5,6103.5,140230
2025-06-27T10:15:00+05:30,6103.0,6124.5,6062.0,6073.5,40860
2025-06-27T11:15:00+05:30,6074.0,6095.0,6052.5,6077.0,37232
2025-06-27T12:15:00+05:30,6077.0,6080.0,6033.5,6037.5,37651
2025-06-27T13:15:00+05:30,6036.0,6048.0,6024.5,6031.5,76648
2025-06-27T14:15:00+05:30,6030.5,6034.0,5984.5,6012.5,467254
2025-06-27T15:15:00+05:30,6013.0,6045.0,6008.5,6034.0,273380
2025-06-30T09:15:00+05:30,6025.5,6056.5,5989.0,5999.5,39529
2025-06-30T10:15:00+05:30,5998.0,6037.5,5985.0,6008.5,44568
2025-06-30T11:15:00+05:30,6008.5,6040.0,6007.0,6032.5,39714
2025-06-30T12:15:00+05:30,6033.0,6049.0,6018.5,6036.5,33032
2025-06-30T13:15:00+05:30,6037.0,6084.0,6036.0,6070.0,53791
2025-06-30T14:15:00+05:30,6071.0,6082.5,6032.0,6040.0,99003
2025-06-30T15:15:00+05:30,6040.0,6060.0,6035.5,6050.0,51435
2025-07-01T09:15:00+05:30,6059.5,6097.5,6025.0,6042.0,89363
2025-07-01T10:15:00+05:30,6042.0,6092.0,6031.0,6046.0,189248
2025-07-01T11:15:00+05:30,6047.0,6055.0,6021.5,6029.5,20395
2025-07-01T12:15:00+05:30,6028.5,6042.5,5996.0,5998.0,20377
2025-07-01T13:15:00+05:30,5999.0,6022.5,5987.0,6021.0,29367
2025-07-01T14:15:00+05:30,6022.0,6047.0,6012.0,6035.0,37400
2025-07-01T15:15:00+05:30,6035.0,6044.0,6026.0,6028.0,24718
2025-07-02T09:15:00+05:30,6040.0,6113.0,6014.5,6076.5,107088
2025-07-02T10:15:00+05:30,6076.5,6078.5,5996.5,6014.5,61712
2025-07-02T11:15:00+05:30,6014.0,6056.5,6014.0,6050.5,29762
2025-07-02T12:15:00+05:30,6050.0,6054.5,6015.0,6016.0,24606
2025-07-02T13:15:00+05:30,6016.0,6021.5,5975.5,6016.0,24889
2025-07-02T14:15:00+05:30,6016.0,6022.5,6000.0,6016.0,42652
2025-07-02T15:15:00+05:30,6016.0,6025.0,6008.0,6019.0,28013
2025-07-03T09:15:00+05:30,6034.5,6088.0,6000.5,6016.5,74618
2025-07-03T10:15:00+05:30,6016.0,6024.5,6005.5,6011.5,14326
2025-07-03T11:15:00+05:30,6011.5,6014.0,5981.5,5986.5,25628
2025-07-03T12:15:00+05:30,5985.0,5990.5,5976.5,5981.5,15843
2025-07-03T13:15:00+05:30,5980.0,5985.5,5952.0,5969.5,28802
2025-07-03T14:15:00+05:30,5969.5,5972.5,5941.0,5952.5,39619
2025-07-03T15:15:00+05:30,5952.5,5954.5,5921.0,5935.5,22684
2025-07-04T09:15:00+05:30,5971.0,5975.0,5920.5,5930.0,30009
2025-07-04T10:15:00+05:30,5930.0,5932.5,5886.0,5908.0,30981
2025-07-04T11:15:00+05:30,5907.0,5908.0,5838.5,5873.0,28878
