timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,301.1,303.0,296.1,297.85,298851
2025-06-16T10:15:00+05:30,297.9,298.8,296.6,296.65,233736
2025-06-16T11:15:00+05:30,296.55,297.8,296.1,297.1,172817
2025-06-16T12:15:00+05:30,297.25,300.35,297.15,300.1,328595
2025-06-16T13:15:00+05:30,300.1,301.35,299.25,300.9,216536
2025-06-16T14:15:00+05:30,300.95,301.0,299.85,300.35,249637
2025-06-16T15:15:00+05:30,300.35,301.5,300.25,301.0,196112
2025-06-17T09:15:00+05:30,300.6,301.3,299.0,299.7,202995
2025-06-17T10:15:00+05:30,299.7,300.45,299.0,299.2,103517
2025-06-17T11:15:00+05:30,299.1,299.7,297.2,297.7,175145
2025-06-17T12:15:00+05:30,297.7,298.2,296.4,297.3,100314
2025-06-17T13:15:00+05:30,297.3,298.65,297.1,297.25,128093
2025-06-17T14:15:00+05:30,297.25,298.0,296.95,297.5,371446
2025-06-17T15:15:00+05:30,297.45,297.5,295.6,296.7,213864
2025-06-18T09:15:00+05:30,297.1,299.3,295.4,298.95,188242
2025-06-18T10:15:00+05:30,299.0,299.3,297.0,297.9,104121
2025-06-18T11:15:00+05:30,297.9,298.75,297.1,298.1,82176
2025-06-18T12:15:00+05:30,298.1,298.1,296.25,297.0,89925
2025-06-18T13:15:00+05:30,297.0,297.75,296.65,297.25,54244
2025-06-18T14:15:00+05:30,297.05,297.85,296.4,297.35,143682
2025-06-18T15:15:00+05:30,297.3,297.45,296.1,297.2,77663
2025-06-19T09:15:00+05:30,297.15,297.95,294.55,295.3,182811
2025-06-19T10:15:00+05:30,295.0,295.85,294.05,295.6,107919
2025-06-19T11:15:00+05:30,295.55,295.6,294.0,295.0,89811
2025-06-19T12:15:00+05:30,295.0,295.0,291.1,292.0,364307
2025-06-19T13:15:00+05:30,291.9,292.4,290.3,292.2,217590
2025-06-19T14:15:00+05:30,292.4,293.45,291.15,291.3,211235
2025-06-19T15:15:00+05:30,291.4,291.4,290.1,290.75,152424
