timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,747.8,761.75,738.0,742.4,375422
2025-06-16T10:15:00+05:30,742.75,749.95,742.15,747.0,78777
2025-06-16T11:15:00+05:30,747.05,749.0,745.5,748.9,39510
2025-06-16T12:15:00+05:30,748.75,748.75,744.7,746.55,34429
2025-06-16T13:15:00+05:30,746.55,755.0,745.0,753.75,51640
2025-06-16T14:15:00+05:30,753.55,766.0,752.2,762.0,214282
2025-06-16T15:15:00+05:30,761.95,763.85,755.0,756.3,88148
2025-06-17T09:15:00+05:30,761.8,774.4,758.05,771.0,378916
2025-06-17T10:15:00+05:30,771.0,774.0,768.1,769.4,178798
2025-06-17T11:15:00+05:30,769.4,772.7,764.4,770.15,196406
2025-06-17T12:15:00+05:30,770.35,771.7,767.5,770.25,72254
2025-06-17T13:15:00+05:30,770.05,770.9,768.0,769.45,129745
2025-06-17T14:15:00+05:30,769.6,769.6,763.55,766.0,157865
2025-06-17T15:15:00+05:30,766.0,766.0,761.05,765.25,69062
2025-06-18T09:15:00+05:30,762.55,774.7,759.9,772.35,234032
2025-06-18T10:15:00+05:30,772.3,772.8,765.25,766.3,146741
2025-06-18T11:15:00+05:30,766.35,772.0,765.0,770.75,75879
2025-06-18T12:15:00+05:30,770.65,771.3,763.8,765.5,76527
2025-06-18T13:15:00+05:30,765.45,765.95,763.5,764.45,52354
2025-06-18T14:15:00+05:30,764.45,769.95,760.3,762.95,228474
2025-06-18T15:15:00+05:30,762.95,764.45,761.05,763.15,56099
2025-06-19T09:15:00+05:30,764.95,789.0,764.0,771.15,718119
2025-06-19T10:15:00+05:30,771.15,772.3,762.0,763.85,271434
2025-06-19T11:15:00+05:30,763.8,764.4,760.05,761.4,117131
2025-06-19T12:15:00+05:30,761.4,761.5,751.0,752.0,125529
2025-06-19T13:15:00+05:30,752.0,754.0,746.5,752.05,136293
2025-06-19T14:15:00+05:30,752.05,753.55,746.5,749.0,151061
2025-06-19T15:15:00+05:30,748.9,750.2,741.0,746.0,97579
2025-06-20T09:15:00+05:30,747.05,751.45,738.1,744.2,222989
2025-06-20T10:15:00+05:30,744.55,747.6,742.35,745.0,107697
2025-06-20T11:15:00+05:30,745.0,748.25,741.05,747.5,118480
2025-06-20T12:15:00+05:30,747.05,747.5,740.15,740.8,101705
2025-06-20T13:15:00+05:30,740.5,742.25,740.15,740.8,52616
2025-06-20T14:15:00+05:30,741.0,742.95,738.1,738.95,225375
2025-06-20T15:15:00+05:30,738.95,740.7,737.0,739.0,137584
2025-06-23T09:15:00+05:30,730.9,735.0,716.0,729.3,610288
2025-06-23T10:15:00+05:30,729.05,738.8,728.2,738.5,184533
2025-06-23T11:15:00+05:30,738.25,738.8,733.25,734.3,110982
2025-06-23T12:15:00+05:30,734.15,735.85,731.55,735.05,74882
2025-06-23T13:15:00+05:30,735.0,738.0,733.0,733.95,95360
2025-06-23T14:15:00+05:30,734.25,743.55,733.2,735.2,182069
2025-06-23T15:15:00+05:30,735.1,738.6,732.3,738.6,90669
2025-06-24T09:15:00+05:30,745.35,762.1,745.35,758.8,458622
2025-06-24T10:15:00+05:30,758.8,768.75,755.05,762.45,845952
2025-06-24T11:15:00+05:30,762.5,765.0,761.3,762.45,292008
2025-06-24T12:15:00+05:30,762.4,772.9,760.8,770.7,258981
2025-06-24T13:15:00+05:30,770.2,772.9,761.95,764.95,252453
2025-06-24T14:15:00+05:30,764.95,769.0,763.65,764.95,194941
2025-06-24T15:15:00+05:30,764.75,765.5,763.0,763.7,90130
2025-06-25T09:15:00+05:30,769.85,780.0,763.5,763.5,492610
2025-06-25T10:15:00+05:30,763.4,769.75,761.25,765.75,340069
2025-06-25T11:15:00+05:30,765.75,768.9,764.5,766.95,76577
2025-06-25T12:15:00+05:30,766.95,769.5,765.65,768.5,94519
2025-06-25T13:15:00+05:30,768.5,769.0,766.7,767.0,78111
2025-06-25T14:15:00+05:30,767.0,768.3,761.45,761.6,247366
2025-06-25T15:15:00+05:30,761.6,762.9,758.4,760.0,134763
2025-06-26T09:15:00+05:30,763.95,765.0,750.55,751.15,233710
2025-06-26T10:15:00+05:30,751.15,761.9,750.65,761.4,120930
2025-06-26T11:15:00+05:30,761.25,766.3,757.8,760.2,182603
2025-06-26T12:15:00+05:30,760.2,761.9,756.5,760.25,68428
2025-06-26T13:15:00+05:30,760.05,761.05,759.0,760.0,61765
2025-06-26T14:15:00+05:30,760.0,761.25,753.6,754.75,181226
2025-06-26T15:15:00+05:30,754.8,754.9,750.4,752.0,196923
2025-06-27T09:15:00+05:30,754.0,774.8,753.35,768.35,1448016
2025-06-27T10:15:00+05:30,768.05,768.5,756.3,756.9,392343
2025-06-27T11:15:00+05:30,756.9,758.0,751.3,755.65,446699
2025-06-27T12:15:00+05:30,755.7,764.0,754.9,757.5,385298
2025-06-27T13:15:00+05:30,757.75,757.8,752.9,756.5,275951
2025-06-27T14:15:00+05:30,756.3,763.5,754.25,761.4,724100
2025-06-27T15:15:00+05:30,761.2,762.5,758.75,760.0,337443
2025-06-30T09:15:00+05:30,763.0,768.6,757.05,758.2,335662
2025-06-30T10:15:00+05:30,757.95,758.5,745.0,746.25,568464
2025-06-30T11:15:00+05:30,746.05,749.3,745.75,747.0,249789
2025-06-30T12:15:00+05:30,747.45,749.45,746.5,746.5,213631
2025-06-30T13:15:00+05:30,746.65,765.5,745.2,753.65,690228
2025-06-30T14:15:00+05:30,753.65,759.4,749.6,758.9,575155
2025-06-30T15:15:00+05:30,759.25,759.25,750.0,753.95,274166
2025-07-01T09:15:00+05:30,754.55,755.6,740.1,740.2,669829
2025-07-01T10:15:00+05:30,740.2,743.35,725.0,726.2,684338
2025-07-01T11:15:00+05:30,726.25,732.85,723.15,725.25,580004
2025-07-01T12:15:00+05:30,725.2,725.85,720.8,724.4,358004
2025-07-01T13:15:00+05:30,724.5,724.75,719.25,722.2,373605
2025-07-01T14:15:00+05:30,722.45,725.0,720.75,722.55,519604
2025-07-01T15:15:00+05:30,722.6,726.4,721.0,726.0,415977
2025-07-02T09:15:00+05:30,726.3,749.7,723.5,733.2,1583611
2025-07-02T10:15:00+05:30,733.2,739.75,727.2,728.0,385186
2025-07-02T11:15:00+05:30,728.1,735.85,727.5,734.5,221706
