timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1060.0,1068.0,1048.9,1061.0,84910
2025-06-16T10:15:00+05:30,1061.0,1071.6,1059.8,1067.5,39559
2025-06-16T11:15:00+05:30,1067.4,1069.5,1062.3,1068.5,34294
2025-06-16T12:15:00+05:30,1068.0,1069.8,1063.3,1065.7,168522
2025-06-16T13:15:00+05:30,1065.4,1067.3,1064.2,1067.1,130848
2025-06-16T14:15:00+05:30,1067.1,1069.4,1061.9,1063.0,190083
2025-06-16T15:15:00+05:30,1063.0,1065.0,1057.6,1065.0,105358
2025-06-17T09:15:00+05:30,1063.9,1081.0,1063.0,1074.7,153864
2025-06-17T10:15:00+05:30,1074.7,1080.0,1072.1,1072.8,54304
2025-06-17T11:15:00+05:30,1072.9,1074.9,1067.8,1068.6,60016
2025-06-17T12:15:00+05:30,1068.7,1070.0,1062.9,1065.9,35047
2025-06-17T13:15:00+05:30,1065.9,1069.3,1063.0,1064.7,32750
2025-06-17T14:15:00+05:30,1064.7,1066.5,1058.5,1059.1,163298
2025-06-17T15:15:00+05:30,1059.1,1063.0,1057.8,1063.0,53415
2025-06-18T09:15:00+05:30,1060.1,1071.7,1057.0,1065.2,57158
2025-06-18T10:15:00+05:30,1065.2,1068.0,1060.0,1066.1,47555
2025-06-18T11:15:00+05:30,1066.1,1066.3,1055.2,1063.8,87405
2025-06-18T12:15:00+05:30,1064.5,1068.0,1060.0,1061.0,94413
2025-06-18T13:15:00+05:30,1061.1,1065.9,1057.2,1058.7,97801
2025-06-18T14:15:00+05:30,1058.6,1060.0,1055.6,1056.4,116867
2025-06-18T15:15:00+05:30,1056.4,1058.3,1056.1,1057.9,32821
2025-06-19T09:15:00+05:30,1057.0,1061.3,1048.2,1050.3,66639
2025-06-19T10:15:00+05:30,1050.1,1050.9,1040.4,1043.3,24368
2025-06-19T11:15:00+05:30,1043.5,1043.5,1035.7,1036.9,46825
2025-06-19T12:15:00+05:30,1036.9,1037.1,1027.4,1029.3,63216
2025-06-19T13:15:00+05:30,1028.9,1040.8,1026.3,1038.7,55536
2025-06-19T14:15:00+05:30,1038.1,1043.9,1035.4,1037.1,63303
2025-06-19T15:15:00+05:30,1036.7,1039.0,1032.2,1032.2,30623
2025-06-20T09:15:00+05:30,1034.2,1046.3,1031.9,1039.2,89962
2025-06-20T10:15:00+05:30,1039.1,1046.8,1038.1,1045.8,41394
2025-06-20T11:15:00+05:30,1045.8,1048.5,1041.7,1046.6,53556
2025-06-20T12:15:00+05:30,1046.1,1046.7,1035.7,1040.3,28854
2025-06-20T13:15:00+05:30,1040.3,1042.7,1038.1,1039.1,17892
2025-06-20T14:15:00+05:30,1039.1,1051.8,1039.1,1050.8,180756
2025-06-20T15:15:00+05:30,1050.9,1055.0,1047.0,1048.4,191314
2025-06-23T09:15:00+05:30,1041.5,1046.0,1032.0,1043.5,118539
2025-06-23T10:15:00+05:30,1044.0,1054.6,1043.0,1053.2,111998
2025-06-23T11:15:00+05:30,1052.8,1053.4,1043.4,1045.6,58584
2025-06-23T12:15:00+05:30,1045.5,1053.4,1044.1,1050.8,54558
2025-06-23T13:15:00+05:30,1051.4,1057.8,1048.2,1056.7,110492
2025-06-23T14:15:00+05:30,1056.2,1065.4,1054.7,1059.5,220305
2025-06-23T15:15:00+05:30,1059.5,1063.7,1057.1,1057.2,35967
2025-06-24T09:15:00+05:30,1072.0,1080.6,1066.3,1070.4,156608
2025-06-24T10:15:00+05:30,1070.6,1078.1,1070.0,1075.8,60344
2025-06-24T11:15:00+05:30,1075.7,1077.5,1065.9,1066.8,72190
2025-06-24T12:15:00+05:30,1067.1,1071.0,1064.0,1069.9,102090
2025-06-24T13:15:00+05:30,1069.7,1070.9,1061.1,1067.2,90880
2025-06-24T14:15:00+05:30,1067.2,1072.6,1064.1,1065.6,210385
2025-06-24T15:15:00+05:30,1065.3,1068.7,1064.3,1064.6,77684
2025-06-25T09:15:00+05:30,1072.2,1077.9,1055.5,1067.3,132845
2025-06-25T10:15:00+05:30,1067.2,1069.1,1057.5,1057.8,75338
2025-06-25T11:15:00+05:30,1057.6,1074.4,1057.2,1065.1,84694
2025-06-25T12:15:00+05:30,1065.0,1086.5,1062.3,1079.0,195059
2025-06-25T13:15:00+05:30,1079.0,1097.0,1078.1,1086.0,341427
2025-06-25T14:15:00+05:30,1085.9,1089.7,1081.3,1082.8,267197
2025-06-25T15:15:00+05:30,1082.8,1090.3,1080.4,1088.3,110165
2025-06-26T09:15:00+05:30,1089.0,1105.7,1080.2,1094.7,413801
2025-06-26T10:15:00+05:30,1094.5,1096.1,1086.4,1088.0,91388
2025-06-26T11:15:00+05:30,1088.0,1095.2,1085.5,1092.0,171972
2025-06-26T12:15:00+05:30,1092.0,1098.5,1086.3,1096.0,340871
2025-06-26T13:15:00+05:30,1096.0,1105.3,1095.1,1100.2,280803
2025-06-26T14:15:00+05:30,1100.3,1117.8,1100.2,1108.4,486278
2025-06-26T15:15:00+05:30,1108.4,1115.0,1108.0,1112.0,154026
2025-06-27T09:15:00+05:30,1136.0,1136.0,1110.0,1112.9,1054189
2025-06-27T10:15:00+05:30,1112.2,1117.9,1106.9,1114.6,336606
2025-06-27T11:15:00+05:30,1114.5,1117.9,1111.3,1117.1,221281
2025-06-27T12:15:00+05:30,1117.1,1121.5,1114.4,1115.7,207418
2025-06-27T13:15:00+05:30,1115.6,1115.9,1111.4,1112.2,216696
2025-06-27T14:15:00+05:30,1112.2,1112.7,1103.1,1106.5,373230
2025-06-27T15:15:00+05:30,1105.6,1112.0,1104.0,1104.0,334330
