timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,414.55,419.3,409.2,411.75,150631
2025-06-16T10:15:00+05:30,411.75,418.3,411.75,417.7,91870
2025-06-16T11:15:00+05:30,418.0,418.9,416.65,418.6,65417
2025-06-16T12:15:00+05:30,418.5,418.9,416.85,417.2,35375
2025-06-16T13:15:00+05:30,417.15,418.45,416.85,418.3,27909
2025-06-16T14:15:00+05:30,418.1,420.0,418.1,419.75,102009
2025-06-16T15:15:00+05:30,419.75,421.9,418.2,421.85,69838
2025-06-17T09:15:00+05:30,419.95,424.15,418.0,421.5,155775
2025-06-17T10:15:00+05:30,421.55,423.25,419.5,419.9,54898
2025-06-17T11:15:00+05:30,420.3,421.5,419.55,420.5,34485
2025-06-17T12:15:00+05:30,420.4,420.5,418.35,420.05,148493
2025-06-17T13:15:00+05:30,420.05,422.2,419.75,420.35,67676
2025-06-17T14:15:00+05:30,420.45,421.4,418.05,421.2,109487
2025-06-17T15:15:00+05:30,421.1,422.15,418.3,419.0,129289
2025-06-18T09:15:00+05:30,419.9,425.95,417.25,422.5,143190
2025-06-18T10:15:00+05:30,422.5,422.55,419.7,420.8,59891
2025-06-18T11:15:00+05:30,420.85,421.3,418.55,420.75,49345
2025-06-18T12:15:00+05:30,421.0,422.5,419.15,419.6,38268
2025-06-18T13:15:00+05:30,419.85,421.5,418.85,418.85,52613
2025-06-18T14:15:00+05:30,419.0,421.15,417.4,419.8,78450
2025-06-18T15:15:00+05:30,419.75,419.75,417.1,418.55,69884
2025-06-19T09:15:00+05:30,418.95,421.9,416.2,421.3,187421
2025-06-19T10:15:00+05:30,421.3,421.45,417.65,419.5,140658
2025-06-19T11:15:00+05:30,419.8,419.8,416.1,417.3,74821
2025-06-19T12:15:00+05:30,417.35,417.35,412.65,413.85,129420
2025-06-19T13:15:00+05:30,414.25,416.5,410.75,414.5,279180
2025-06-19T14:15:00+05:30,414.5,416.65,411.5,412.8,137724
2025-06-19T15:15:00+05:30,412.85,413.95,410.55,413.95,151171
2025-06-20T09:15:00+05:30,412.0,418.25,407.7,416.0,192356
2025-06-20T10:15:00+05:30,416.05,420.8,416.0,419.0,130845
2025-06-20T11:15:00+05:30,419.05,419.5,416.1,416.6,71736
2025-06-20T12:15:00+05:30,416.85,416.85,413.6,413.7,83980
2025-06-20T13:15:00+05:30,413.95,415.1,412.8,414.3,99840
2025-06-20T14:15:00+05:30,414.3,416.85,412.5,414.25,738728
2025-06-20T15:15:00+05:30,414.4,415.7,413.65,415.05,666395
2025-06-23T09:15:00+05:30,410.95,420.9,409.1,419.5,287716
2025-06-23T10:15:00+05:30,419.4,424.3,417.5,424.15,248563
2025-06-23T11:15:00+05:30,424.15,430.35,422.6,430.0,729802
2025-06-23T12:15:00+05:30,429.95,432.1,429.35,431.3,669814
2025-06-23T13:15:00+05:30,431.3,439.5,430.9,438.0,1256640
2025-06-23T14:15:00+05:30,438.25,439.05,435.0,437.65,1185401
2025-06-23T15:15:00+05:30,437.7,439.0,436.95,439.0,461107
2025-06-24T09:15:00+05:30,437.1,448.45,434.35,446.4,2538240
2025-06-24T10:15:00+05:30,446.4,451.5,445.25,450.6,1001913
2025-06-24T11:15:00+05:30,450.6,452.0,448.6,450.0,618639
2025-06-24T12:15:00+05:30,450.0,454.35,448.6,452.4,899025
2025-06-24T13:15:00+05:30,452.55,453.95,445.7,448.65,800989
2025-06-24T14:15:00+05:30,448.9,449.45,442.65,443.5,768679
2025-06-24T15:15:00+05:30,443.5,444.3,442.55,444.2,226153
2025-06-25T09:15:00+05:30,444.65,447.5,443.1,443.5,493446
2025-06-25T10:15:00+05:30,443.45,443.9,440.45,440.75,234671
2025-06-25T11:15:00+05:30,440.5,442.0,435.4,435.7,459206
2025-06-25T12:15:00+05:30,435.6,436.15,433.5,434.0,308939
2025-06-25T13:15:00+05:30,434.0,435.65,433.2,435.5,275543
2025-06-25T14:15:00+05:30,435.55,441.2,435.55,438.95,590183
2025-06-25T15:15:00+05:30,438.8,440.0,437.6,440.0,230690
2025-06-26T09:15:00+05:30,442.65,442.95,437.6,438.4,329049
2025-06-26T10:15:00+05:30,438.4,439.5,437.7,437.9,74049
2025-06-26T11:15:00+05:30,437.9,443.4,436.1,442.8,201893
2025-06-26T12:15:00+05:30,442.8,446.45,439.3,444.7,273471
2025-06-26T13:15:00+05:30,444.8,450.4,444.7,448.0,684251
2025-06-26T14:15:00+05:30,448.15,451.5,446.6,451.5,655509
2025-06-26T15:15:00+05:30,451.2,451.5,447.1,449.2,254121
2025-06-27T09:15:00+05:30,449.2,454.9,446.8,450.65,439613
2025-06-27T10:15:00+05:30,450.65,454.6,450.0,451.85,219973
2025-06-27T11:15:00+05:30,451.65,453.95,450.15,450.5,121909
2025-06-27T12:15:00+05:30,450.5,451.0,448.55,449.0,111811
2025-06-27T13:15:00+05:30,449.25,456.6,448.9,456.3,506210
2025-06-27T14:15:00+05:30,456.3,458.05,454.85,454.95,466904
2025-06-27T15:15:00+05:30,454.85,456.0,454.15,455.1,201140
2025-06-30T09:15:00+05:30,452.0,464.9,451.8,460.0,618100
2025-06-30T10:15:00+05:30,460.0,460.25,457.25,459.0,122196
2025-06-30T11:15:00+05:30,459.0,465.6,457.9,463.3,357093
2025-06-30T12:15:00+05:30,463.25,467.55,462.7,466.0,386781
2025-06-30T13:15:00+05:30,465.7,466.0,461.35,464.55,302306
2025-06-30T14:15:00+05:30,464.55,467.5,463.95,465.25,543532
2025-06-30T15:15:00+05:30,465.5,467.0,465.15,467.0,245877
2025-07-01T09:15:00+05:30,464.35,469.0,461.5,462.2,549046
2025-07-01T10:15:00+05:30,462.1,464.25,461.2,463.3,323592
2025-07-01T11:15:00+05:30,463.2,463.95,461.55,463.45,182405
2025-07-01T12:15:00+05:30,463.2,465.0,462.5,462.65,160404
2025-07-01T13:15:00+05:30,462.7,463.2,460.35,462.15,261356
2025-07-01T14:15:00+05:30,462.05,464.85,461.5,463.15,301455
2025-07-01T15:15:00+05:30,463.2,466.85,461.9,466.0,167806
2025-07-02T09:15:00+05:30,464.1,467.4,460.4,462.95,362478
2025-07-02T10:15:00+05:30,462.8,463.7,460.55,461.85,110650
2025-07-02T11:15:00+05:30,461.85,464.0,460.3,462.35,75973
2025-07-02T12:15:00+05:30,462.35,462.35,460.25,460.25,57741
2025-07-02T13:15:00+05:30,460.25,463.9,458.35,463.4,149688
2025-07-02T14:15:00+05:30,463.4,465.0,462.2,464.6,103821
2025-07-02T15:15:00+05:30,464.8,465.5,463.65,464.7,81247
2025-07-03T09:15:00+05:30,462.05,468.65,462.0,466.5,294505
2025-07-03T10:15:00+05:30,466.5,468.6,465.55,467.95,139069
2025-07-03T11:15:00+05:30,467.95,468.65,465.8,466.75,70916
2025-07-03T12:15:00+05:30,466.7,466.85,465.1,466.4,50285
2025-07-03T13:15:00+05:30,466.5,467.9,466.35,466.7,73416
2025-07-03T14:15:00+05:30,466.7,467.0,465.05,466.3,95196
2025-07-03T15:15:00+05:30,466.25,467.15,465.9,466.95,77338
2025-07-04T09:15:00+05:30,468.0,476.5,467.0,475.2,1060704
2025-07-04T10:15:00+05:30,475.15,483.4,475.1,480.35,1458024
2025-07-04T11:15:00+05:30,480.35,480.75,475.55,479.1,484647
2025-07-04T12:15:00+05:30,479.2,480.2,478.0,478.55,285844
2025-07-04T13:15:00+05:30,478.55,478.75,474.15,474.55,247926
2025-07-04T14:15:00+05:30,474.8,475.9,473.3,474.6,273446
2025-07-04T15:15:00+05:30,474.5,474.9,467.1,470.35,362263
2025-07-07T09:15:00+05:30,472.4,472.4,462.7,467.9,334380
2025-07-07T10:15:00+05:30,467.9,470.65,466.05,466.75,165975
2025-07-07T11:15:00+05:30,466.85,466.85,463.2,464.8,118346
2025-07-07T12:15:00+05:30,464.75,466.75,463.65,466.5,59215
2025-07-07T13:15:00+05:30,466.5,467.9,466.25,467.0,36075
2025-07-07T14:15:00+05:30,467.0,469.4,466.15,468.35,198982
2025-07-07T15:15:00+05:30,467.95,468.5,467.0,467.0,89858
2025-07-08T09:15:00+05:30,466.1,472.3,466.1,467.6,267431
2025-07-08T10:15:00+05:30,467.95,470.5,466.1,466.85,179692
2025-07-08T11:15:00+05:30,466.85,469.95,466.6,469.6,118631
2025-07-08T12:15:00+05:30,469.6,472.75,468.15,469.2,184506
2025-07-08T13:15:00+05:30,469.25,470.2,466.9,467.65,819751
2025-07-08T14:15:00+05:30,467.7,471.0,467.35,470.55,218708
2025-07-08T15:15:00+05:30,470.7,471.0,468.95,469.05,119998
2025-07-09T09:15:00+05:30,471.55,473.2,469.0,469.75,211343
2025-07-09T10:15:00+05:30,469.85,471.15,468.0,468.9,173214
2025-07-09T11:15:00+05:30,468.95,469.2,466.2,468.35,224879
2025-07-09T12:15:00+05:30,468.55,470.5,467.6,469.55,176907
2025-07-09T13:15:00+05:30,469.85,470.45,468.85,469.55,156519
2025-07-09T14:15:00+05:30,469.55,470.1,468.0,468.65,237602
2025-07-09T15:15:00+05:30,468.6,469.45,467.7,467.7,108540
2025-07-10T09:15:00+05:30,469.25,471.9,467.9,470.15,163519
2025-07-10T10:15:00+05:30,470.2,471.75,468.25,468.95,77676
2025-07-10T11:15:00+05:30,468.9,469.1,466.1,466.7,56239
