timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,402.75,403.45,393.55,396.3,1956340
2025-06-16T10:15:00+05:30,396.35,399.6,396.15,398.4,892085
2025-06-16T11:15:00+05:30,398.4,400.5,397.65,400.35,620092
2025-06-16T12:15:00+05:30,400.35,402.8,399.75,401.8,884508
2025-06-16T13:15:00+05:30,401.9,403.75,401.45,403.3,583319
2025-06-16T14:15:00+05:30,403.4,403.4,401.4,402.0,877118
2025-06-16T15:15:00+05:30,402.05,402.05,400.8,401.3,541183
2025-06-17T09:15:00+05:30,401.65,403.95,399.7,401.4,1062419
2025-06-17T10:15:00+05:30,401.45,404.0,400.7,401.7,492268
2025-06-17T11:15:00+05:30,401.65,402.2,398.4,399.45,590841
2025-06-17T12:15:00+05:30,399.35,399.95,397.2,399.2,457711
2025-06-17T13:15:00+05:30,399.2,400.95,398.6,400.8,663171
2025-06-17T14:15:00+05:30,400.85,401.25,398.4,399.65,1116953
2025-06-17T15:15:00+05:30,399.65,399.7,398.5,398.8,476428
2025-06-18T09:15:00+05:30,396.5,399.9,395.35,398.3,1793339
2025-06-18T10:15:00+05:30,398.15,398.4,394.15,395.35,909080
2025-06-18T11:15:00+05:30,395.35,395.55,393.25,394.9,760557
2025-06-18T12:15:00+05:30,394.9,395.7,392.05,393.15,1882323
2025-06-18T13:15:00+05:30,393.15,394.0,391.65,391.85,943039
2025-06-18T14:15:00+05:30,391.9,393.5,390.35,392.65,1458289
2025-06-18T15:15:00+05:30,392.55,393.1,391.85,392.3,624475
2025-06-19T09:15:00+05:30,391.25,392.65,386.15,387.5,3212503
2025-06-19T10:15:00+05:30,387.5,387.75,384.5,385.9,1629469
2025-06-19T11:15:00+05:30,385.9,386.45,384.0,384.2,1209450
2025-06-19T12:15:00+05:30,384.3,384.8,381.0,382.4,1702029
2025-06-19T13:15:00+05:30,382.35,384.9,381.6,384.5,1237836
2025-06-19T14:15:00+05:30,384.5,386.05,383.45,384.05,1360667
2025-06-19T15:15:00+05:30,384.05,384.05,382.1,382.85,799662
2025-06-20T09:15:00+05:30,391.5,399.75,389.25,398.55,8550773
2025-06-20T10:15:00+05:30,398.7,400.85,395.5,396.75,3615185
2025-06-20T11:15:00+05:30,396.8,399.15,395.25,395.45,2182932
2025-06-20T12:15:00+05:30,395.45,395.55,393.15,394.75,1615968
2025-06-20T13:15:00+05:30,394.65,396.4,394.2,395.7,1908323
2025-06-20T14:15:00+05:30,395.65,396.3,393.5,394.3,2502279
2025-06-20T15:15:00+05:30,394.3,395.05,394.0,394.05,1521957
2025-06-23T09:15:00+05:30,390.2,393.45,388.35,392.15,1850632
2025-06-23T10:15:00+05:30,392.2,394.45,391.8,393.85,832779
2025-06-23T11:15:00+05:30,393.75,395.95,393.05,394.95,569732
2025-06-23T12:15:00+05:30,394.95,396.9,394.4,396.45,424758
2025-06-23T13:15:00+05:30,396.4,397.9,396.05,397.7,485544
2025-06-23T14:15:00+05:30,397.7,399.3,396.2,397.15,852928
2025-06-23T15:15:00+05:30,397.2,398.0,396.5,397.0,326499
2025-06-24T09:15:00+05:30,402.95,404.5,400.25,403.05,1939896
2025-06-24T10:15:00+05:30,403.0,404.8,403.0,404.1,888922
2025-06-24T11:15:00+05:30,404.1,405.5,403.7,404.5,752515
2025-06-24T12:15:00+05:30,404.4,404.5,401.55,401.9,742582
2025-06-24T13:15:00+05:30,402.0,402.2,398.25,399.0,894513
2025-06-24T14:15:00+05:30,398.9,399.65,398.0,398.5,725027
2025-06-24T15:15:00+05:30,398.45,399.25,398.0,398.65,502271
2025-06-25T09:15:00+05:30,401.65,402.45,399.35,399.7,1127914
2025-06-25T10:15:00+05:30,399.7,400.85,398.15,398.8,710897
2025-06-25T11:15:00+05:30,398.8,399.7,398.0,398.05,546673
2025-06-25T12:15:00+05:30,398.05,400.45,397.45,399.9,1415623
2025-06-25T13:15:00+05:30,399.95,400.0,397.15,399.1,1142317
2025-06-25T14:15:00+05:30,399.1,399.25,397.35,398.7,1168062
2025-06-25T15:15:00+05:30,398.7,399.45,398.0,398.8,811310
2025-06-26T09:15:00+05:30,400.45,401.5,398.6,399.95,1401043
2025-06-26T10:15:00+05:30,399.95,400.9,397.8,398.6,1020987
2025-06-26T11:15:00+05:30,398.75,400.95,397.05,400.75,911642
2025-06-26T12:15:00+05:30,400.75,401.2,399.5,400.0,1057811
2025-06-26T13:15:00+05:30,400.0,401.1,399.2,401.1,728553
2025-06-26T14:15:00+05:30,401.1,404.1,400.65,403.3,1609542
2025-06-26T15:15:00+05:30,403.25,404.8,403.15,403.5,886053
2025-06-27T09:15:00+05:30,406.5,409.8,404.6,408.1,2119973
2025-06-27T10:15:00+05:30,408.15,408.9,406.4,407.2,810858
2025-06-27T11:15:00+05:30,407.3,407.3,405.2,405.3,411245
2025-06-27T12:15:00+05:30,405.3,405.4,402.0,402.1,660315
