timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,128.99,129.83,126.81,127.55,1747178
2025-06-16T10:15:00+05:30,127.59,128.75,127.55,128.38,758336
2025-06-16T11:15:00+05:30,128.38,128.69,128.07,128.55,399344
2025-06-16T12:15:00+05:30,128.59,129.35,128.4,128.94,608310
2025-06-16T13:15:00+05:30,128.94,129.75,128.88,129.65,596534
2025-06-16T14:15:00+05:30,129.65,129.75,128.71,128.99,1356972
2025-06-16T15:15:00+05:30,128.99,129.18,128.75,128.84,460646
2025-06-17T09:15:00+05:30,128.91,129.9,128.55,129.01,1859167
2025-06-17T10:15:00+05:30,129.04,129.39,128.33,128.82,1009893
2025-06-17T11:15:00+05:30,128.83,128.89,127.74,127.91,992886
2025-06-17T12:15:00+05:30,127.91,127.91,126.71,127.08,1327069
2025-06-17T13:15:00+05:30,127.08,127.4,126.7,127.28,613375
2025-06-17T14:15:00+05:30,127.31,127.39,126.75,127.08,1437545
2025-06-17T15:15:00+05:30,127.03,127.13,126.3,126.61,607394
2025-06-18T09:15:00+05:30,126.74,127.34,126.35,127.06,3033109
2025-06-18T10:15:00+05:30,127.07,127.28,126.15,126.88,2154173
2025-06-18T11:15:00+05:30,126.89,126.99,125.85,126.4,1599105
2025-06-18T12:15:00+05:30,126.37,126.37,125.41,125.86,935354
2025-06-18T13:15:00+05:30,125.86,126.6,125.62,126.24,1145843
2025-06-18T14:15:00+05:30,126.25,127.28,125.93,126.94,1930220
2025-06-18T15:15:00+05:30,126.94,127.2,126.92,127.2,912108
2025-06-19T09:15:00+05:30,126.97,127.32,125.23,125.67,3671541
2025-06-19T10:15:00+05:30,125.65,125.86,124.9,125.69,974927
2025-06-19T11:15:00+05:30,125.65,125.7,124.98,125.13,502184
2025-06-19T12:15:00+05:30,125.13,125.13,124.11,124.43,1198116
2025-06-19T13:15:00+05:30,124.45,125.27,123.85,125.17,1042449
2025-06-19T14:15:00+05:30,125.18,126.26,124.9,125.19,2448130
2025-06-19T15:15:00+05:30,125.18,125.41,124.61,124.7,1048416
2025-06-20T09:15:00+05:30,124.89,126.74,124.76,126.05,1653099
2025-06-20T10:15:00+05:30,126.05,127.21,125.8,127.19,1299614
2025-06-20T11:15:00+05:30,127.19,127.59,126.8,127.11,990068
2025-06-20T12:15:00+05:30,127.11,127.14,125.84,126.45,1173587
2025-06-20T13:15:00+05:30,126.45,126.85,126.24,126.55,534196
2025-06-20T14:15:00+05:30,126.56,127.75,126.33,127.52,3043342
2025-06-20T15:15:00+05:30,127.52,127.89,126.8,127.27,2354529
2025-06-23T09:15:00+05:30,126.19,127.37,125.87,126.69,1687702
2025-06-23T10:15:00+05:30,126.63,126.75,125.9,126.63,650640
2025-06-23T11:15:00+05:30,126.6,127.19,126.11,126.94,830972
2025-06-23T12:15:00+05:30,126.94,128.25,126.94,128.22,1057922
2025-06-23T13:15:00+05:30,128.22,128.38,127.35,127.59,853120
2025-06-23T14:15:00+05:30,127.59,127.67,126.3,126.71,1416391
2025-06-23T15:15:00+05:30,126.67,126.74,126.31,126.54,535219
2025-06-24T09:15:00+05:30,128.2,130.3,128.1,129.68,3651705
2025-06-24T10:15:00+05:30,129.67,131.75,129.54,131.74,3406130
2025-06-24T11:15:00+05:30,131.74,132.85,131.7,132.18,5166890
2025-06-24T12:15:00+05:30,132.15,132.2,131.63,131.75,2161004
2025-06-24T13:15:00+05:30,131.75,131.79,130.52,130.7,2877032
2025-06-24T14:15:00+05:30,130.7,130.96,130.31,130.77,2251483
2025-06-24T15:15:00+05:30,130.77,130.88,130.47,130.65,1037572
2025-06-25T09:15:00+05:30,131.39,131.64,129.2,129.21,3229166
2025-06-25T10:15:00+05:30,129.22,130.13,129.07,129.39,1734185
