timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,792.55,794.6,786.15,786.35,1353771
2025-06-16T10:15:00+05:30,786.5,790.65,786.15,789.2,1130888
2025-06-16T11:15:00+05:30,789.2,792.4,787.65,792.3,1219079
2025-06-16T12:15:00+05:30,792.25,793.9,790.3,792.25,1013366
2025-06-16T13:15:00+05:30,792.3,795.3,791.85,795.05,917258
2025-06-16T14:15:00+05:30,795.1,795.4,792.2,793.15,1174301
2025-06-16T15:15:00+05:30,793.2,793.5,791.1,793.0,1207620
2025-06-17T09:15:00+05:30,794.3,798.85,792.5,795.65,1883351
2025-06-17T10:15:00+05:30,795.65,796.6,793.5,795.0,1049267
2025-06-17T11:15:00+05:30,795.0,796.05,794.3,795.05,1200486
2025-06-17T12:15:00+05:30,795.0,795.5,790.55,792.05,967288
2025-06-17T13:15:00+05:30,792.05,794.25,792.0,793.85,569488
2025-06-17T14:15:00+05:30,793.9,793.95,791.05,792.55,1514314
2025-06-17T15:15:00+05:30,792.5,792.85,791.7,792.05,532204
2025-06-18T09:15:00+05:30,792.9,795.5,791.0,793.8,977657
2025-06-18T10:15:00+05:30,793.8,794.2,790.0,791.3,799895
2025-06-18T11:15:00+05:30,791.3,792.3,789.35,791.6,504329
2025-06-18T12:15:00+05:30,791.35,792.15,788.35,789.8,690273
2025-06-18T13:15:00+05:30,789.5,790.9,788.5,788.8,567002
2025-06-18T14:15:00+05:30,789.0,792.25,788.4,792.0,1449172
2025-06-18T15:15:00+05:30,792.0,792.7,789.5,790.4,704590
2025-06-19T09:15:00+05:30,792.35,793.25,781.8,782.1,3807109
2025-06-19T10:15:00+05:30,782.0,784.9,781.7,784.45,1262397
2025-06-19T11:15:00+05:30,784.5,786.75,783.85,785.5,1625478
2025-06-19T12:15:00+05:30,785.5,786.6,784.25,785.6,995911
2025-06-19T13:15:00+05:30,785.6,787.45,784.2,787.15,998653
2025-06-19T14:15:00+05:30,787.2,787.65,784.95,785.25,2174608
2025-06-19T15:15:00+05:30,785.2,785.65,782.25,782.6,919153
