timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,669.0,677.0,668.6,672.85,1175093
2025-06-16T10:15:00+05:30,672.85,681.25,672.65,677.3,1642670
2025-06-16T11:15:00+05:30,677.05,678.8,673.7,676.2,1279228
2025-06-16T12:15:00+05:30,676.2,677.0,673.8,675.5,530982
2025-06-16T13:15:00+05:30,675.5,676.05,673.2,675.35,465066
2025-06-16T14:15:00+05:30,675.25,677.25,673.45,676.65,1184937
2025-06-16T15:15:00+05:30,676.7,678.2,675.55,676.4,593881
2025-06-17T09:15:00+05:30,679.8,679.8,670.25,670.5,605669
2025-06-17T10:15:00+05:30,670.5,672.9,669.2,670.65,234430
2025-06-17T11:15:00+05:30,670.7,671.25,665.55,667.15,271679
2025-06-17T12:15:00+05:30,667.15,667.25,662.0,662.65,272805
2025-06-17T13:15:00+05:30,662.75,666.35,662.4,665.85,298969
2025-06-17T14:15:00+05:30,665.85,667.0,664.05,664.85,440260
2025-06-17T15:15:00+05:30,664.8,666.1,663.1,663.9,250166
2025-06-18T09:15:00+05:30,663.1,673.5,662.15,669.6,546930
2025-06-18T10:15:00+05:30,669.6,670.0,663.25,663.9,403083
2025-06-18T11:15:00+05:30,663.8,664.45,659.15,662.7,522394
2025-06-18T12:15:00+05:30,662.8,663.5,660.5,661.5,508784
2025-06-18T13:15:00+05:30,661.6,664.0,660.55,661.75,310815
2025-06-18T14:15:00+05:30,661.75,664.35,660.45,662.2,671364
2025-06-18T15:15:00+05:30,662.2,662.7,660.0,660.75,385772
2025-06-19T09:15:00+05:30,660.75,669.0,658.2,662.65,641160
2025-06-19T10:15:00+05:30,662.55,664.6,659.55,663.55,387621
2025-06-19T11:15:00+05:30,663.65,663.65,657.6,659.3,449242
2025-06-19T12:15:00+05:30,659.3,659.5,652.0,654.9,406785
2025-06-19T13:15:00+05:30,654.65,656.5,653.3,656.0,345686
2025-06-19T14:15:00+05:30,656.05,656.95,651.55,651.65,715846
2025-06-19T15:15:00+05:30,651.7,652.8,648.0,648.3,373401
2025-06-20T09:15:00+05:30,652.0,660.8,650.5,659.5,589204
2025-06-20T10:15:00+05:30,659.4,668.7,659.3,666.0,708434
2025-06-20T11:15:00+05:30,665.85,670.9,661.0,662.9,876774
2025-06-20T12:15:00+05:30,662.65,663.95,658.9,663.15,968303
2025-06-20T13:15:00+05:30,663.4,665.4,662.55,664.0,775931
2025-06-20T14:15:00+05:30,664.0,667.9,663.95,665.95,2109439
2025-06-20T15:15:00+05:30,666.05,667.0,663.0,663.95,1405302
2025-06-23T09:15:00+05:30,661.8,662.35,648.3,651.4,1075875
2025-06-23T10:15:00+05:30,651.45,661.0,650.55,660.7,767424
2025-06-23T11:15:00+05:30,660.7,661.45,655.0,655.85,411116
2025-06-23T12:15:00+05:30,655.85,659.25,653.75,659.0,558912
2025-06-23T13:15:00+05:30,659.05,663.8,658.8,660.85,573725
2025-06-23T14:15:00+05:30,660.95,662.4,659.7,661.7,542952
2025-06-23T15:15:00+05:30,661.7,666.2,660.45,663.3,304428
2025-06-24T09:15:00+05:30,674.0,682.0,674.0,676.3,1595327
2025-06-24T10:15:00+05:30,676.25,678.0,674.15,675.4,505964
2025-06-24T11:15:00+05:30,675.4,677.5,673.4,676.7,666053
2025-06-24T12:15:00+05:30,676.7,681.0,675.5,680.0,788161
2025-06-24T13:15:00+05:30,680.0,680.55,675.2,677.25,363953
2025-06-24T14:15:00+05:30,677.25,678.9,674.75,675.3,573857
2025-06-24T15:15:00+05:30,675.25,677.75,675.0,675.5,269495
2025-06-25T09:15:00+05:30,676.05,678.0,674.0,675.35,701607
2025-06-25T10:15:00+05:30,675.5,677.0,671.2,673.5,620206
2025-06-25T11:15:00+05:30,673.7,676.9,673.3,674.4,197968
2025-06-25T12:15:00+05:30,674.5,676.7,673.6,675.8,439923
2025-06-25T13:15:00+05:30,675.8,676.8,672.0,672.85,413367
2025-06-25T14:15:00+05:30,672.85,675.3,671.0,675.25,537610
2025-06-25T15:15:00+05:30,675.3,676.25,674.1,674.75,277297
2025-06-26T09:15:00+05:30,676.0,687.65,674.25,681.35,2387528
2025-06-26T10:15:00+05:30,681.35,683.8,676.0,677.35,929688
2025-06-26T11:15:00+05:30,677.55,686.5,675.6,685.5,1021684
2025-06-26T12:15:00+05:30,685.8,689.35,683.45,687.2,1557704
