timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,98.42,99.12,96.13,97.0,1404792
2025-06-16T10:15:00+05:30,97.04,98.12,97.04,97.79,593785
2025-06-16T11:15:00+05:30,97.79,98.07,97.53,97.87,272748
2025-06-16T12:15:00+05:30,97.87,98.8,97.64,98.79,552859
2025-06-16T13:15:00+05:30,98.79,98.95,98.5,98.85,752524
2025-06-16T14:15:00+05:30,98.89,99.2,98.69,99.14,816954
2025-06-16T15:15:00+05:30,99.17,99.5,99.08,99.2,457970
2025-06-17T09:15:00+05:30,99.2,99.5,98.32,98.95,1204318
2025-06-17T10:15:00+05:30,98.95,99.19,98.3,98.76,420037
2025-06-17T11:15:00+05:30,98.8,98.85,97.88,98.02,363896
2025-06-17T12:15:00+05:30,98.0,98.1,97.4,97.61,395424
2025-06-17T13:15:00+05:30,97.57,97.97,97.45,97.83,273847
2025-06-17T14:15:00+05:30,97.83,97.86,97.36,97.63,461587
2025-06-17T15:15:00+05:30,97.68,97.73,97.25,97.27,450338
2025-06-18T09:15:00+05:30,97.44,97.92,96.43,97.74,872247
2025-06-18T10:15:00+05:30,97.74,97.74,96.62,97.12,450463
2025-06-18T11:15:00+05:30,97.09,97.16,96.44,96.79,412198
2025-06-18T12:15:00+05:30,96.84,96.84,96.0,96.08,534793
2025-06-18T13:15:00+05:30,96.08,96.3,95.7,95.84,438673
2025-06-18T14:15:00+05:30,95.84,96.44,95.6,96.15,688582
2025-06-18T15:15:00+05:30,96.14,96.16,95.85,95.88,360203
2025-06-19T09:15:00+05:30,95.99,96.41,95.55,95.73,1253834
2025-06-19T10:15:00+05:30,95.7,95.7,95.0,95.08,682620
2025-06-19T11:15:00+05:30,95.08,95.08,94.32,94.52,584541
2025-06-19T12:15:00+05:30,94.52,94.55,93.3,93.47,812793
2025-06-19T13:15:00+05:30,93.49,93.89,92.88,93.88,775856
2025-06-19T14:15:00+05:30,93.88,94.21,93.37,93.61,958903
2025-06-19T15:15:00+05:30,93.56,93.63,92.95,93.06,632972
2025-06-20T09:15:00+05:30,93.73,96.0,93.36,95.76,3054357
2025-06-20T10:15:00+05:30,95.75,96.32,95.2,95.69,1192381
2025-06-20T11:15:00+05:30,95.69,95.85,95.51,95.7,445223
2025-06-20T12:15:00+05:30,95.65,95.72,94.91,95.22,705655
2025-06-20T13:15:00+05:30,95.2,96.1,95.19,96.05,622113
2025-06-20T14:15:00+05:30,96.05,96.85,95.7,96.85,1627054
