timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,16889.0,16998.0,16760.0,16920.0,38045
2025-06-16T10:15:00+05:30,16921.0,16959.0,16812.0,16914.0,16932
2025-06-16T11:15:00+05:30,16915.0,16972.0,16843.0,16972.0,14237
2025-06-16T12:15:00+05:30,16971.0,17026.0,16930.0,16932.0,16641
2025-06-16T13:15:00+05:30,16932.0,17015.0,16921.0,17003.0,6273
2025-06-16T14:15:00+05:30,17007.0,17030.0,16967.0,17029.0,16980
2025-06-16T15:15:00+05:30,17029.0,17030.0,16960.0,16982.0,14744
2025-06-17T09:15:00+05:30,17025.0,17161.0,16975.0,17118.0,53677
2025-06-17T10:15:00+05:30,17120.0,17273.0,17103.0,17262.0,32632
2025-06-17T11:15:00+05:30,17266.0,17279.0,17151.0,17221.0,27685
2025-06-17T12:15:00+05:30,17221.0,17300.0,17121.0,17137.0,35012
2025-06-17T13:15:00+05:30,17143.0,17202.0,17102.0,17154.0,11647
2025-06-17T14:15:00+05:30,17153.0,17189.0,17120.0,17173.0,14840
2025-06-17T15:15:00+05:30,17170.0,17174.0,17121.0,17148.0,11907
2025-06-18T09:15:00+05:30,17229.0,17238.0,17085.0,17145.0,32036
2025-06-18T10:15:00+05:30,17150.0,17164.0,17033.0,17136.0,19095
2025-06-18T11:15:00+05:30,17136.0,17140.0,17030.0,17063.0,6215
2025-06-18T12:15:00+05:30,17072.0,17077.0,16984.0,17061.0,10014
2025-06-18T13:15:00+05:30,17061.0,17133.0,17029.0,17100.0,7170
2025-06-18T14:15:00+05:30,17101.0,17150.0,17076.0,17100.0,15536
2025-06-18T15:15:00+05:30,17100.0,17115.0,17058.0,17072.0,8309
2025-06-19T09:15:00+05:30,17080.0,17258.0,17050.0,17183.0,25261
2025-06-19T10:15:00+05:30,17180.0,17180.0,16979.0,17042.0,17400
2025-06-19T11:15:00+05:30,17042.0,17071.0,16928.0,16945.0,7495
2025-06-19T12:15:00+05:30,16944.0,16949.0,16801.0,16820.0,10883
2025-06-19T13:15:00+05:30,16819.0,16900.0,16778.0,16881.0,11536
2025-06-19T14:15:00+05:30,16881.0,16949.0,16844.0,16892.0,14673
2025-06-19T15:15:00+05:30,16890.0,16917.0,16819.0,16845.0,8865
2025-06-20T09:15:00+05:30,16965.0,16965.0,16602.0,16798.0,54697
2025-06-20T10:15:00+05:30,16798.0,16999.0,16789.0,16929.0,26114
2025-06-20T11:15:00+05:30,16927.0,17000.0,16858.0,16958.0,17242
2025-06-20T12:15:00+05:30,16958.0,16958.0,16860.0,16902.0,11279
2025-06-20T13:15:00+05:30,16910.0,16979.0,16896.0,16913.0,11535
2025-06-20T14:15:00+05:30,16920.0,17023.0,16914.0,16970.0,39280
2025-06-20T15:15:00+05:30,16971.0,17016.0,16938.0,16968.0,33123
2025-06-23T09:15:00+05:30,17051.0,17164.0,16910.0,16977.0,34617
2025-06-23T10:15:00+05:30,16977.0,17049.0,16922.0,17043.0,15131
2025-06-23T11:15:00+05:30,17043.0,17122.0,16957.0,17098.0,24802
2025-06-23T12:15:00+05:30,17098.0,17119.0,17066.0,17091.0,16170
2025-06-23T13:15:00+05:30,17091.0,17105.0,17044.0,17078.0,12502
2025-06-23T14:15:00+05:30,17079.0,17104.0,17011.0,17078.0,17038
2025-06-23T15:15:00+05:30,17078.0,17080.0,17008.0,17070.0,12937
2025-06-24T09:15:00+05:30,17155.0,17188.0,16889.0,17007.0,36159
2025-06-24T10:15:00+05:30,17007.0,17089.0,16981.0,17013.0,15180
2025-06-24T11:15:00+05:30,17010.0,17122.0,17002.0,17089.0,13725
2025-06-24T12:15:00+05:30,17090.0,17107.0,17062.0,17098.0,9201
2025-06-24T13:15:00+05:30,17093.0,17104.0,17045.0,17094.0,8880
2025-06-24T14:15:00+05:30,17095.0,17139.0,17080.0,17099.0,20818
2025-06-24T15:15:00+05:30,17098.0,17111.0,17060.0,17066.0,13241
2025-06-25T09:15:00+05:30,17080.0,17215.0,16863.0,16863.0,33435
2025-06-25T10:15:00+05:30,16863.0,16909.0,16789.0,16876.0,25960
2025-06-25T11:15:00+05:30,16879.0,16988.0,16866.0,16947.0,11891
2025-06-25T12:15:00+05:30,16944.0,17025.0,16944.0,17005.0,9502
