timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,499.0,501.75,495.05,500.0,405293
2025-06-16T10:15:00+05:30,500.0,501.2,499.05,500.0,102944
2025-06-16T11:15:00+05:30,500.0,503.95,499.7,503.5,171861
2025-06-16T12:15:00+05:30,503.5,503.95,502.05,502.8,95290
2025-06-16T13:15:00+05:30,502.75,504.5,500.5,500.85,271420
2025-06-16T14:15:00+05:30,500.85,501.45,499.55,500.25,202879
2025-06-16T15:15:00+05:30,500.2,501.35,499.25,500.0,103821
2025-06-17T09:15:00+05:30,502.0,503.95,493.05,493.45,708828
2025-06-17T10:15:00+05:30,493.45,494.85,488.8,493.05,429338
2025-06-17T11:15:00+05:30,493.05,493.4,485.4,487.2,801353
2025-06-17T12:15:00+05:30,487.0,488.2,484.25,486.0,225615
2025-06-17T13:15:00+05:30,485.95,486.1,483.1,483.9,654085
2025-06-17T14:15:00+05:30,483.9,484.35,479.25,480.1,679919
2025-06-17T15:15:00+05:30,480.0,480.3,478.1,480.0,450753
2025-06-18T09:15:00+05:30,480.0,482.8,473.9,480.1,694125
2025-06-18T10:15:00+05:30,480.35,483.9,475.35,476.8,667704
2025-06-18T11:15:00+05:30,477.0,479.15,474.55,478.0,272449
2025-06-18T12:15:00+05:30,478.2,479.75,477.0,478.15,159751
2025-06-18T13:15:00+05:30,478.35,478.65,476.25,477.25,214465
2025-06-18T14:15:00+05:30,477.5,479.05,476.1,478.25,314115
2025-06-18T15:15:00+05:30,478.25,479.8,477.1,479.8,201182
2025-06-19T09:15:00+05:30,479.7,484.95,476.5,477.75,250211
2025-06-19T10:15:00+05:30,477.55,483.35,475.95,480.55,453206
2025-06-19T11:15:00+05:30,480.85,481.15,478.2,478.9,183191
2025-06-19T12:15:00+05:30,478.9,478.95,476.85,477.0,173330
2025-06-19T13:15:00+05:30,476.95,478.65,474.8,477.55,665375
2025-06-19T14:15:00+05:30,477.85,479.9,476.7,478.25,211300
2025-06-19T15:15:00+05:30,478.25,479.5,476.15,478.65,143540
2025-06-20T09:15:00+05:30,478.25,482.25,474.8,479.0,210695
2025-06-20T10:15:00+05:30,479.0,480.5,477.85,479.6,160036
2025-06-20T11:15:00+05:30,479.6,481.3,479.1,481.0,148032
2025-06-20T12:15:00+05:30,480.95,483.45,478.1,481.0,803248
2025-06-20T13:15:00+05:30,481.0,483.6,480.7,481.8,186809
2025-06-20T14:15:00+05:30,481.85,491.85,481.85,487.3,2382311
2025-06-20T15:15:00+05:30,487.4,488.2,483.0,483.05,1508267
2025-06-23T09:15:00+05:30,478.8,486.1,475.3,480.3,1025981
2025-06-23T10:15:00+05:30,480.45,484.65,479.0,481.15,830444
2025-06-23T11:15:00+05:30,481.15,482.75,479.15,479.7,538256
2025-06-23T12:15:00+05:30,479.75,481.95,478.15,478.6,587914
2025-06-23T13:15:00+05:30,478.6,480.9,477.55,480.4,915959
2025-06-23T14:15:00+05:30,480.0,481.0,477.0,477.15,465266
2025-06-23T15:15:00+05:30,477.05,479.4,476.0,479.0,248455
2025-06-24T09:15:00+05:30,483.5,488.9,480.25,484.1,667822
2025-06-24T10:15:00+05:30,484.15,485.05,481.0,481.5,145709
2025-06-24T11:15:00+05:30,481.55,485.0,481.3,483.75,139649
2025-06-24T12:15:00+05:30,483.65,486.15,483.25,485.05,104158
2025-06-24T13:15:00+05:30,485.0,485.55,480.0,480.45,269832
2025-06-24T14:15:00+05:30,480.6,483.95,480.0,483.1,451036
2025-06-24T15:15:00+05:30,483.1,483.8,480.1,481.7,269753
2025-06-25T09:15:00+05:30,484.4,486.45,482.45,483.75,138897
2025-06-25T10:15:00+05:30,483.65,484.9,480.45,480.65,137268
2025-06-25T11:15:00+05:30,480.45,482.55,480.15,481.1,131058
2025-06-25T12:15:00+05:30,480.9,481.2,478.5,479.5,126879
2025-06-25T13:15:00+05:30,479.5,480.0,477.8,478.5,136903
2025-06-25T14:15:00+05:30,478.8,481.9,477.7,481.2,225766
2025-06-25T15:15:00+05:30,481.2,481.65,479.4,480.35,128338
2025-06-26T09:15:00+05:30,482.8,483.9,476.35,477.1,559106
2025-06-26T10:15:00+05:30,477.1,478.55,475.3,477.15,263152
2025-06-26T11:15:00+05:30,477.1,479.1,475.25,478.8,313170
2025-06-26T12:15:00+05:30,478.8,480.5,475.05,476.25,1164027
2025-06-26T13:15:00+05:30,476.25,480.5,476.25,479.15,504588
2025-06-26T14:15:00+05:30,479.0,483.0,478.45,481.4,513114
2025-06-26T15:15:00+05:30,481.4,482.45,479.1,482.0,181076
2025-06-27T09:15:00+05:30,484.7,485.8,481.5,481.75,164896
2025-06-27T10:15:00+05:30,481.55,483.9,481.2,482.8,182884
2025-06-27T11:15:00+05:30,482.95,483.55,481.0,481.1,156361
2025-06-27T12:15:00+05:30,481.1,483.3,480.6,480.9,178298
2025-06-27T13:15:00+05:30,480.7,481.05,479.0,480.0,140429
2025-06-27T14:15:00+05:30,480.0,480.35,478.2,479.0,237390
2025-06-27T15:15:00+05:30,479.2,480.0,478.7,480.0,133223
2025-06-30T09:15:00+05:30,481.4,481.5,478.0,478.5,122454
2025-06-30T10:15:00+05:30,478.55,479.5,477.05,479.05,73810
2025-06-30T11:15:00+05:30,478.9,480.9,478.0,478.75,62177
2025-06-30T12:15:00+05:30,478.75,479.25,477.65,478.15,37685
2025-06-30T13:15:00+05:30,478.2,478.4,476.55,477.5,59040
2025-06-30T14:15:00+05:30,477.5,482.7,476.55,481.7,497051
2025-06-30T15:15:00+05:30,481.7,482.3,480.6,482.3,204639
2025-07-01T09:15:00+05:30,486.2,489.0,478.05,478.6,618999
2025-07-01T10:15:00+05:30,478.35,479.25,474.3,476.25,416221
2025-07-01T11:15:00+05:30,476.15,477.0,474.2,474.2,303685
2025-07-01T12:15:00+05:30,474.5,476.9,474.15,475.9,469005
2025-07-01T13:15:00+05:30,475.75,476.55,474.55,475.6,314996
2025-07-01T14:15:00+05:30,475.6,476.65,475.05,475.95,314997
2025-07-01T15:15:00+05:30,475.95,476.25,475.25,476.15,155205
2025-07-02T09:15:00+05:30,477.95,481.35,476.1,476.6,311519
2025-07-02T10:15:00+05:30,476.6,476.6,471.15,472.6,262605
2025-07-02T11:15:00+05:30,472.6,478.35,471.9,477.8,169492
2025-07-02T12:15:00+05:30,477.6,478.0,475.55,475.55,39380
2025-07-02T13:15:00+05:30,475.55,475.9,474.0,475.0,89847
2025-07-02T14:15:00+05:30,474.95,475.85,473.8,475.65,239976
2025-07-02T15:15:00+05:30,475.65,478.5,474.35,478.1,211014
2025-07-03T09:15:00+05:30,478.5,482.65,475.0,478.6,499298
2025-07-03T10:15:00+05:30,478.6,481.6,477.95,480.8,104202
2025-07-03T11:15:00+05:30,480.8,481.0,478.15,480.25,96924
2025-07-03T12:15:00+05:30,480.25,481.3,479.45,481.05,81184
2025-07-03T13:15:00+05:30,481.15,481.35,479.0,479.85,78586
2025-07-03T14:15:00+05:30,479.75,480.25,478.8,479.05,240272
2025-07-03T15:15:00+05:30,479.05,480.15,478.75,479.45,221501
2025-07-04T09:15:00+05:30,480.0,480.6,476.0,477.95,144471
2025-07-04T10:15:00+05:30,477.9,478.4,477.15,478.35,26759
2025-07-04T11:15:00+05:30,478.35,478.4,474.0,476.0,189590
2025-07-04T12:15:00+05:30,475.95,478.7,475.45,477.7,93504
2025-07-04T13:15:00+05:30,477.7,478.45,476.8,477.35,39199
2025-07-04T14:15:00+05:30,477.3,479.3,476.25,478.4,112166
2025-07-04T15:15:00+05:30,478.6,479.0,477.0,478.25,55469
2025-07-07T09:15:00+05:30,478.4,480.5,474.55,475.15,197703
2025-07-07T10:15:00+05:30,475.1,476.2,473.15,473.5,138970
2025-07-07T11:15:00+05:30,473.5,474.75,471.15,471.8,182462
2025-07-07T12:15:00+05:30,471.8,472.0,469.6,470.35,182284
2025-07-07T13:15:00+05:30,470.1,471.8,468.95,469.45,145952
2025-07-07T14:15:00+05:30,469.45,469.95,466.1,468.55,439869
2025-07-07T15:15:00+05:30,468.4,470.0,467.15,468.4,345630
2025-07-08T09:15:00+05:30,469.6,471.55,467.0,467.85,288014
2025-07-08T10:15:00+05:30,467.85,469.65,464.0,465.35,418639
2025-07-08T11:15:00+05:30,465.45,468.1,465.45,466.75,135145
2025-07-08T12:15:00+05:30,466.6,468.5,463.7,464.0,235745
2025-07-08T13:15:00+05:30,464.0,464.1,461.4,462.0,215223
2025-07-08T14:15:00+05:30,461.9,462.75,461.1,461.75,431155
2025-07-08T15:15:00+05:30,461.8,462.5,460.0,460.8,277981
2025-07-09T09:15:00+05:30,463.0,463.1,455.55,457.1,531205
2025-07-09T10:15:00+05:30,457.1,457.8,453.8,454.0,437161
2025-07-09T11:15:00+05:30,454.0,455.8,451.0,451.25,783608
2025-07-09T12:15:00+05:30,451.45,454.6,447.3,451.0,1174615
2025-07-09T13:15:00+05:30,450.95,452.3,450.0,452.0,1870032
2025-07-09T14:15:00+05:30,452.3,455.45,452.3,455.0,840396
2025-07-09T15:15:00+05:30,455.0,458.8,454.5,458.0,747333
2025-07-10T09:15:00+05:30,457.7,461.25,454.0,456.65,334917
2025-07-10T10:15:00+05:30,456.65,456.65,453.0,453.55,250705
2025-07-10T11:15:00+05:30,453.4,454.9,452.5,454.65,245478
2025-07-10T12:15:00+05:30,454.8,455.75,452.7,452.95,257791
2025-07-10T13:15:00+05:30,453.0,453.45,452.0,452.9,106600
2025-07-10T14:15:00+05:30,453.0,455.4,452.75,454.5,486903
2025-07-10T15:15:00+05:30,454.55,454.95,453.9,454.5,123029
2025-07-11T09:15:00+05:30,455.0,455.8,450.55,451.9,370137
2025-07-11T10:15:00+05:30,451.9,451.9,449.3,450.0,224910
2025-07-11T11:15:00+05:30,450.0,451.5,447.35,449.9,301496
2025-07-11T12:15:00+05:30,449.9,453.35,449.35,452.9,924228
2025-07-11T13:15:00+05:30,452.9,452.95,449.75,451.55,509398
2025-07-11T14:15:00+05:30,451.35,451.55,447.0,447.1,463122
2025-07-11T15:15:00+05:30,447.05,447.5,446.15,447.0,227456
2025-07-14T09:15:00+05:30,456.5,460.35,446.55,450.85,1614407
2025-07-14T10:15:00+05:30,450.9,451.3,446.2,446.95,169145
2025-07-14T11:15:00+05:30,446.95,452.0,445.5,448.65,565033
2025-07-14T12:15:00+05:30,448.5,449.2,447.05,448.0,82184
2025-07-14T13:15:00+05:30,448.0,450.5,448.0,448.7,186582
2025-07-14T14:15:00+05:30,448.7,449.65,448.15,449.0,33159
