timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,3082.6,3130.0,3082.6,3092.8,53991
2025-06-16T10:15:00+05:30,3093.0,3107.9,3086.8,3101.9,21320
2025-06-16T11:15:00+05:30,3102.0,3105.3,3088.4,3089.0,23606
2025-06-16T12:15:00+05:30,3089.9,3092.6,3076.0,3081.0,53736
2025-06-16T13:15:00+05:30,3081.0,3107.3,3078.0,3101.4,51346
2025-06-16T14:15:00+05:30,3102.1,3104.7,3094.0,3096.9,53900
2025-06-16T15:15:00+05:30,3096.9,3104.7,3094.1,3104.7,20847
2025-06-17T09:15:00+05:30,3118.4,3132.2,3088.7,3097.7,266354
2025-06-17T10:15:00+05:30,3097.7,3113.3,3094.4,3102.7,57601
2025-06-17T11:15:00+05:30,3102.9,3119.6,3102.2,3109.2,118758
2025-06-17T12:15:00+05:30,3110.0,3111.4,3093.4,3108.9,62478
2025-06-17T13:15:00+05:30,3108.8,3110.7,3099.7,3103.7,74945
2025-06-17T14:15:00+05:30,3104.7,3106.0,3089.7,3095.9,99539
2025-06-17T15:15:00+05:30,3095.9,3105.5,3088.9,3088.9,51819
2025-06-18T09:15:00+05:30,3096.5,3141.8,3070.0,3114.6,79967
2025-06-18T10:15:00+05:30,3113.6,3116.2,3077.5,3088.7,30468
2025-06-18T11:15:00+05:30,3088.7,3089.5,3067.6,3084.5,123498
2025-06-18T12:15:00+05:30,3084.5,3094.0,3083.9,3091.8,30333
2025-06-18T13:15:00+05:30,3091.7,3091.7,3082.8,3084.0,136380
2025-06-18T14:15:00+05:30,3084.0,3085.0,3073.1,3075.1,94386
2025-06-18T15:15:00+05:30,3075.1,3075.4,3065.7,3065.7,65286
2025-06-19T09:15:00+05:30,3074.5,3092.4,3065.1,3067.1,24163
2025-06-19T10:15:00+05:30,3067.1,3071.9,3048.0,3050.5,26684
2025-06-19T11:15:00+05:30,3050.5,3051.7,3031.1,3037.7,25701
2025-06-19T12:15:00+05:30,3036.7,3040.3,3002.0,3006.4,70924
2025-06-19T13:15:00+05:30,3005.1,3030.3,2998.5,3030.0,65765
2025-06-19T14:15:00+05:30,3030.0,3035.0,3010.1,3015.9,61075
2025-06-19T15:15:00+05:30,3015.8,3015.9,3001.9,3001.9,61838
2025-06-20T09:15:00+05:30,3013.2,3040.6,3008.5,3035.8,44447
2025-06-20T10:15:00+05:30,3035.9,3050.7,3031.1,3031.1,24195
2025-06-20T11:15:00+05:30,3031.5,3034.2,3016.5,3023.0,47781
2025-06-20T12:15:00+05:30,3023.1,3026.0,3014.4,3021.0,35490
2025-06-20T13:15:00+05:30,3021.6,3027.2,3004.5,3006.4,62696
2025-06-20T14:15:00+05:30,3006.3,3039.8,3003.6,3025.2,293127
2025-06-20T15:15:00+05:30,3025.1,3049.0,3013.1,3013.1,246621
2025-06-23T09:15:00+05:30,3005.5,3046.2,3001.1,3031.2,50311
2025-06-23T10:15:00+05:30,3032.9,3047.6,3025.0,3037.5,33575
2025-06-23T11:15:00+05:30,3037.6,3050.0,3033.4,3036.0,42539
2025-06-23T12:15:00+05:30,3036.3,3039.0,3022.3,3037.3,20193
2025-06-23T13:15:00+05:30,3037.2,3043.0,3029.0,3036.1,70085
2025-06-23T14:15:00+05:30,3036.6,3038.9,3028.5,3031.8,158227
2025-06-23T15:15:00+05:30,3031.5,3037.0,3029.0,3037.0,31654
2025-06-24T09:15:00+05:30,3049.9,3074.0,3037.0,3041.0,70996
2025-06-24T10:15:00+05:30,3040.0,3059.0,3036.0,3051.9,59746
2025-06-24T11:15:00+05:30,3053.0,3088.8,3048.2,3078.3,68662
2025-06-24T12:15:00+05:30,3078.3,3082.0,3065.0,3073.2,42162
2025-06-24T13:15:00+05:30,3073.2,3077.6,3045.5,3051.0,47480
2025-06-24T14:15:00+05:30,3051.0,3059.3,3048.6,3050.5,59708
2025-06-24T15:15:00+05:30,3051.8,3069.9,3043.8,3056.0,75061
2025-06-25T09:15:00+05:30,3053.7,3078.0,3025.0,3053.4,84678
2025-06-25T10:15:00+05:30,3053.4,3104.9,3050.4,3091.4,153229
2025-06-25T11:15:00+05:30,3091.4,3102.0,3075.0,3079.3,71528
2025-06-25T12:15:00+05:30,3079.3,3092.0,3073.0,3082.6,52816
2025-06-25T13:15:00+05:30,3084.0,3087.6,3077.1,3084.8,83369
2025-06-25T14:15:00+05:30,3083.9,3086.0,3072.6,3079.4,307042
2025-06-25T15:15:00+05:30,3079.4,3085.0,3073.0,3079.0,88185
