timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,4348.8,4349.8,4252.8,4286.1,25071
2025-06-16T10:15:00+05:30,4287.3,4338.0,4282.2,4338.0,11897
2025-06-16T11:15:00+05:30,4335.0,4390.0,4333.0,4376.4,28200
2025-06-16T12:15:00+05:30,4375.9,4402.0,4363.3,4400.0,47338
2025-06-16T13:15:00+05:30,4400.0,4470.0,4384.0,4457.0,73057
2025-06-16T14:15:00+05:30,4457.0,4554.1,4442.6,4551.0,211541
2025-06-16T15:15:00+05:30,4551.0,4617.9,4538.2,4615.0,70881
2025-06-17T09:15:00+05:30,4557.1,4644.0,4550.0,4617.3,80971
2025-06-17T10:15:00+05:30,4618.9,4683.4,4611.1,4676.7,464274
2025-06-17T11:15:00+05:30,4676.6,4689.9,4650.0,4663.6,168430
2025-06-17T12:15:00+05:30,4661.4,4730.0,4656.1,4730.0,134532
2025-06-17T13:15:00+05:30,4729.9,4739.0,4684.4,4691.6,95776
2025-06-17T14:15:00+05:30,4689.0,4698.0,4631.5,4650.7,113313
2025-06-17T15:15:00+05:30,4650.5,4652.1,4630.0,4630.0,30792
2025-06-18T09:15:00+05:30,4620.0,4723.3,4590.0,4712.8,84504
2025-06-18T10:15:00+05:30,4714.5,4716.8,4661.5,4675.4,20602
2025-06-18T11:15:00+05:30,4675.0,4676.2,4644.5,4666.0,17524
2025-06-18T12:15:00+05:30,4666.0,4668.2,4643.9,4650.7,15407
2025-06-18T13:15:00+05:30,4650.5,4653.2,4619.0,4622.9,23446
2025-06-18T14:15:00+05:30,4622.9,4637.2,4613.2,4621.0,83379
2025-06-18T15:15:00+05:30,4621.0,4621.1,4581.0,4582.0,33136
2025-06-19T09:15:00+05:30,4604.9,4609.5,4490.5,4490.5,59000
2025-06-19T10:15:00+05:30,4490.5,4531.0,4475.0,4489.0,35669
2025-06-19T11:15:00+05:30,4487.6,4488.1,4455.0,4476.6,19341
2025-06-19T12:15:00+05:30,4476.4,4476.4,4430.0,4455.0,26519
2025-06-19T13:15:00+05:30,4452.7,4453.0,4419.6,4443.1,18282
