timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,922.8,928.25,911.5,924.6,165547
2025-06-16T10:15:00+05:30,924.6,931.35,920.4,924.75,83448
2025-06-16T11:15:00+05:30,924.75,938.0,921.35,936.35,87371
2025-06-16T12:15:00+05:30,936.15,937.05,931.55,935.85,75236
2025-06-16T13:15:00+05:30,935.75,939.9,933.9,939.05,45170
2025-06-16T14:15:00+05:30,939.45,939.5,935.3,937.0,51804
2025-06-16T15:15:00+05:30,937.0,937.1,933.0,933.65,29542
2025-06-17T09:15:00+05:30,934.1,943.75,931.0,939.45,68906
2025-06-17T10:15:00+05:30,939.3,945.45,938.9,945.0,92767
2025-06-17T11:15:00+05:30,945.0,945.25,938.1,940.75,69336
2025-06-17T12:15:00+05:30,940.5,943.65,936.05,939.0,48957
2025-06-17T13:15:00+05:30,938.65,939.95,935.55,937.3,28889
2025-06-17T14:15:00+05:30,937.3,937.5,933.05,936.15,42869
2025-06-17T15:15:00+05:30,936.15,936.95,933.8,935.8,20189
2025-06-18T09:15:00+05:30,936.0,941.1,929.3,938.55,83678
2025-06-18T10:15:00+05:30,938.95,940.0,932.1,934.0,32424
2025-06-18T11:15:00+05:30,933.65,935.4,931.35,934.45,50452
2025-06-18T12:15:00+05:30,934.45,934.8,927.05,929.85,27126
2025-06-18T13:15:00+05:30,929.45,931.2,926.2,927.2,34553
2025-06-18T14:15:00+05:30,927.2,930.0,925.05,928.55,52619
2025-06-18T15:15:00+05:30,928.55,928.8,924.45,925.0,19688
2025-06-19T09:15:00+05:30,926.05,929.1,920.35,925.2,63559
2025-06-19T10:15:00+05:30,924.45,924.45,918.0,918.8,51759
2025-06-19T11:15:00+05:30,918.7,920.0,915.55,918.5,56826
2025-06-19T12:15:00+05:30,918.0,918.7,909.35,914.05,76098
2025-06-19T13:15:00+05:30,914.1,914.4,908.35,912.5,36126
2025-06-19T14:15:00+05:30,912.85,914.6,908.05,910.5,66014
2025-06-19T15:15:00+05:30,910.45,910.65,905.05,908.5,48305
2025-06-20T09:15:00+05:30,907.6,914.2,905.3,910.4,295676
2025-06-20T10:15:00+05:30,910.4,916.75,908.85,915.1,315184
2025-06-20T11:15:00+05:30,914.85,919.6,914.5,917.1,119203
2025-06-20T12:15:00+05:30,916.6,917.3,909.0,910.2,68397
2025-06-20T13:15:00+05:30,910.0,913.45,909.7,911.7,23615
2025-06-20T14:15:00+05:30,911.75,915.55,911.3,912.8,107401
2025-06-20T15:15:00+05:30,913.2,915.0,911.4,913.0,85049
2025-06-23T09:15:00+05:30,913.85,913.85,900.2,904.1,151082
2025-06-23T10:15:00+05:30,903.7,910.25,901.35,909.8,74539
2025-06-23T11:15:00+05:30,909.4,913.0,906.0,911.3,192670
2025-06-23T12:15:00+05:30,911.5,914.4,910.15,913.5,75721
2025-06-23T13:15:00+05:30,913.5,915.4,912.5,913.0,37229
2025-06-23T14:15:00+05:30,913.1,913.1,903.05,905.2,74980
2025-06-23T15:15:00+05:30,905.15,907.8,904.05,906.0,35578
2025-06-24T09:15:00+05:30,913.05,916.9,908.0,908.35,141953
2025-06-24T10:15:00+05:30,908.35,920.7,907.8,917.75,183128
2025-06-24T11:15:00+05:30,917.75,924.65,916.75,920.4,121094
2025-06-24T12:15:00+05:30,920.4,922.9,915.0,917.45,84382
2025-06-24T13:15:00+05:30,917.15,917.5,909.1,912.4,59019
2025-06-24T14:15:00+05:30,912.45,915.75,911.15,912.0,33400
2025-06-24T15:15:00+05:30,912.2,913.95,910.6,912.0,36417
2025-06-25T09:15:00+05:30,918.85,928.9,910.15,925.8,377454
2025-06-25T10:15:00+05:30,925.5,931.7,920.8,923.5,369238
2025-06-25T11:15:00+05:30,923.55,923.55,918.15,920.05,131412
2025-06-25T12:15:00+05:30,920.5,931.0,920.0,930.0,214012
2025-06-25T13:15:00+05:30,929.85,932.0,925.05,931.35,178898
2025-06-25T14:15:00+05:30,931.25,941.5,931.2,941.5,266882
2025-06-25T15:15:00+05:30,941.25,942.0,939.35,941.5,121041
2025-06-26T09:15:00+05:30,946.0,946.95,927.9,930.9,362066
2025-06-26T10:15:00+05:30,931.15,931.85,926.75,928.9,134352
2025-06-26T11:15:00+05:30,928.6,930.1,924.0,927.7,90905
2025-06-26T12:15:00+05:30,927.2,929.85,926.2,927.9,48671
2025-06-26T13:15:00+05:30,927.5,931.3,925.9,930.8,87375
2025-06-26T14:15:00+05:30,930.4,935.85,930.4,934.65,177688
2025-06-26T15:15:00+05:30,934.8,936.85,933.75,935.45,77355
2025-06-27T09:15:00+05:30,937.15,942.1,935.55,939.55,146175
2025-06-27T10:15:00+05:30,939.55,940.2,936.55,937.7,48003
2025-06-27T11:15:00+05:30,937.5,942.6,936.75,940.3,50098
2025-06-27T12:15:00+05:30,940.3,942.2,939.0,939.5,56725
2025-06-27T13:15:00+05:30,939.5,939.5,936.0,938.5,27882
2025-06-27T14:15:00+05:30,938.5,938.5,933.55,934.2,74207
2025-06-27T15:15:00+05:30,934.1,934.75,931.6,933.7,51343
2025-06-30T09:15:00+05:30,936.0,943.9,935.1,938.2,130072
2025-06-30T10:15:00+05:30,938.6,940.0,935.45,939.2,36974
2025-06-30T11:15:00+05:30,939.2,941.45,937.65,939.5,79385
2025-06-30T12:15:00+05:30,939.55,939.9,934.4,935.15,43793
2025-06-30T13:15:00+05:30,935.15,935.5,933.0,935.15,27720
2025-06-30T14:15:00+05:30,935.5,939.2,932.55,936.95,105218
2025-06-30T15:15:00+05:30,936.8,938.0,934.0,938.0,24896
2025-07-01T09:15:00+05:30,937.9,942.0,931.05,931.35,79013
2025-07-01T10:15:00+05:30,931.5,933.8,925.85,929.9,65991
2025-07-01T11:15:00+05:30,929.9,930.0,925.6,929.15,38877
2025-07-01T12:15:00+05:30,929.15,932.95,928.3,929.35,41158
2025-07-01T13:15:00+05:30,929.4,929.9,927.5,929.0,20727
2025-07-01T14:15:00+05:30,928.9,931.0,927.6,930.7,22241
2025-07-01T15:15:00+05:30,930.9,934.0,929.2,933.0,26689
2025-07-02T09:15:00+05:30,931.05,934.0,926.05,926.05,46442
2025-07-02T10:15:00+05:30,926.0,930.35,924.1,928.5,77868
2025-07-02T11:15:00+05:30,928.7,941.2,927.3,938.1,137796
2025-07-02T12:15:00+05:30,938.0,943.0,935.75,938.85,49728
2025-07-02T13:15:00+05:30,939.05,939.05,932.55,935.75,162192
2025-07-02T14:15:00+05:30,936.55,937.15,930.7,933.95,106221
2025-07-02T15:15:00+05:30,933.55,935.0,933.0,935.0,25420
2025-07-03T09:15:00+05:30,938.8,949.8,933.15,946.65,349037
2025-07-03T10:15:00+05:30,947.0,949.2,942.4,944.85,154181
2025-07-03T11:15:00+05:30,945.0,945.15,938.9,941.85,96936
2025-07-03T12:15:00+05:30,941.5,944.95,940.1,943.45,58760
2025-07-03T13:15:00+05:30,943.5,947.25,941.6,946.95,109397
2025-07-03T14:15:00+05:30,946.95,950.4,944.05,945.0,318869
2025-07-03T15:15:00+05:30,944.7,946.0,943.25,945.9,112620
2025-07-04T09:15:00+05:30,949.0,949.5,940.5,947.25,127341
2025-07-04T10:15:00+05:30,947.25,956.15,946.0,952.1,350844
2025-07-04T11:15:00+05:30,951.85,952.05,939.0,942.65,149963
2025-07-04T12:15:00+05:30,942.3,942.5,938.6,941.85,74641
2025-07-04T13:15:00+05:30,942.0,942.0,938.7,938.8,71799
2025-07-04T14:15:00+05:30,938.8,941.15,936.4,938.8,158761
2025-07-04T15:15:00+05:30,938.75,940.0,938.0,939.35,83287
2025-07-07T09:15:00+05:30,939.35,941.9,934.75,936.0,83127
2025-07-07T10:15:00+05:30,935.9,937.7,932.8,933.0,38893
2025-07-07T11:15:00+05:30,933.05,933.85,927.2,930.05,87852
2025-07-07T12:15:00+05:30,930.0,932.5,928.65,929.4,25531
2025-07-07T13:15:00+05:30,929.45,930.55,927.8,929.9,20672
2025-07-07T14:15:00+05:30,929.9,930.1,928.1,929.25,67796
2025-07-07T15:15:00+05:30,928.8,930.65,928.15,930.65,40590
2025-07-08T09:15:00+05:30,931.0,934.5,926.0,926.4,54471
2025-07-08T10:15:00+05:30,926.95,926.95,921.0,923.45,67322
2025-07-08T11:15:00+05:30,923.8,924.35,921.0,921.8,37795
