timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1705.0,1717.0,1687.6,1697.6,24187
2025-06-16T10:15:00+05:30,1697.1,1704.9,1695.5,1698.7,11390
2025-06-16T11:15:00+05:30,1698.7,1702.0,1696.8,1701.3,8865
2025-06-16T12:15:00+05:30,1701.4,1704.8,1698.0,1704.8,9793
2025-06-16T13:15:00+05:30,1704.2,1709.2,1703.7,1709.1,8896
2025-06-16T14:15:00+05:30,1708.4,1714.4,1708.4,1710.3,30125
2025-06-16T15:15:00+05:30,1710.5,1716.4,1710.0,1715.0,24023
2025-06-17T09:15:00+05:30,1711.1,1722.9,1706.3,1712.0,24379
2025-06-17T10:15:00+05:30,1712.0,1720.6,1710.3,1717.5,13337
2025-06-17T11:15:00+05:30,1717.2,1717.5,1710.0,1712.5,23524
2025-06-17T12:15:00+05:30,1712.0,1714.0,1704.0,1712.9,115129
2025-06-17T13:15:00+05:30,1712.5,1713.8,1710.1,1711.2,10903
2025-06-17T14:15:00+05:30,1711.1,1721.0,1703.0,1709.6,112822
2025-06-17T15:15:00+05:30,1708.4,1715.9,1701.0,1703.0,32797
2025-06-18T09:15:00+05:30,1714.7,1716.3,1700.1,1710.0,23101
2025-06-18T10:15:00+05:30,1711.2,1711.9,1702.2,1705.0,11630
2025-06-18T11:15:00+05:30,1703.9,1706.1,1697.4,1704.0,35597
2025-06-18T12:15:00+05:30,1704.9,1705.5,1694.1,1700.9,7662
2025-06-18T13:15:00+05:30,1699.9,1704.4,1698.2,1701.0,7582
2025-06-18T14:15:00+05:30,1700.2,1702.6,1690.7,1698.6,44195
2025-06-18T15:15:00+05:30,1698.9,1719.0,1695.0,1705.4,23662
2025-06-19T09:15:00+05:30,1678.0,1683.0,1665.6,1665.6,47618
2025-06-19T10:15:00+05:30,1666.5,1666.9,1656.7,1664.1,23761
2025-06-19T11:15:00+05:30,1663.5,1665.0,1649.0,1650.3,30889
2025-06-19T12:15:00+05:30,1650.5,1651.3,1637.5,1645.0,53201
2025-06-19T13:15:00+05:30,1645.0,1649.5,1642.3,1648.5,60432
2025-06-19T14:15:00+05:30,1649.0,1655.0,1644.4,1648.4,29964
2025-06-19T15:15:00+05:30,1648.3,1655.1,1642.0,1642.0,68251
2025-06-20T09:15:00+05:30,1648.5,1663.7,1644.0,1650.7,31608
2025-06-20T10:15:00+05:30,1651.6,1655.3,1645.3,1650.3,12889
2025-06-20T11:15:00+05:30,1651.2,1652.4,1639.4,1643.5,19931
2025-06-20T12:15:00+05:30,1643.6,1644.3,1631.4,1632.1,22697
2025-06-20T13:15:00+05:30,1632.1,1655.1,1630.0,1651.2,45598
2025-06-20T14:15:00+05:30,1651.2,1655.3,1650.1,1654.0,59491
2025-06-20T15:15:00+05:30,1654.0,1657.9,1650.0,1650.0,49570
2025-06-23T09:15:00+05:30,1649.6,1668.5,1638.2,1646.6,71097
2025-06-23T10:15:00+05:30,1646.6,1656.0,1643.1,1655.1,66656
2025-06-23T11:15:00+05:30,1655.3,1658.3,1645.0,1645.0,61022
2025-06-23T12:15:00+05:30,1645.1,1650.0,1641.7,1642.0,45460
2025-06-23T13:15:00+05:30,1641.8,1649.9,1638.4,1647.5,40106
2025-06-23T14:15:00+05:30,1647.2,1649.5,1638.0,1643.5,42423
2025-06-23T15:15:00+05:30,1643.2,1647.3,1640.1,1645.7,17613
