timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,710.6,714.0,672.95,681.0,14317197
2025-06-16T10:15:00+05:30,681.15,685.5,678.3,684.4,5361053
2025-06-16T11:15:00+05:30,684.4,687.2,682.0,684.85,2873862
2025-06-16T12:15:00+05:30,684.85,685.85,682.5,685.45,1754829
2025-06-16T13:15:00+05:30,685.4,690.0,684.35,689.75,1853086
2025-06-16T14:15:00+05:30,689.75,690.4,686.35,687.75,3147200
2025-06-16T15:15:00+05:30,687.65,688.4,685.0,685.3,1895380
2025-06-17T09:15:00+05:30,686.1,686.15,677.0,678.2,5373766
2025-06-17T10:15:00+05:30,678.3,682.0,678.0,681.0,2748916
2025-06-17T11:15:00+05:30,681.0,683.0,678.8,679.2,2046850
2025-06-17T12:15:00+05:30,679.2,679.75,676.0,677.35,1979352
2025-06-17T13:15:00+05:30,677.35,678.45,677.0,677.5,908705
2025-06-17T14:15:00+05:30,677.25,677.75,675.1,675.65,2388492
2025-06-17T15:15:00+05:30,675.65,675.75,672.0,673.0,1525826
2025-06-18T09:15:00+05:30,671.85,679.35,670.0,677.95,4262731
2025-06-18T10:15:00+05:30,677.95,679.0,673.0,674.45,2367740
2025-06-18T11:15:00+05:30,674.45,674.8,671.5,672.75,833231
2025-06-18T12:15:00+05:30,672.9,673.0,668.7,670.2,1161295
2025-06-18T13:15:00+05:30,670.1,670.45,668.0,668.7,966221
2025-06-18T14:15:00+05:30,668.75,671.5,668.0,670.3,2024095
2025-06-18T15:15:00+05:30,670.4,670.6,669.0,669.95,832815
2025-06-19T09:15:00+05:30,670.25,675.9,670.25,671.25,2587156
2025-06-19T10:15:00+05:30,671.2,671.25,667.0,669.4,1733108
2025-06-19T11:15:00+05:30,669.4,671.9,668.65,671.2,896673
2025-06-19T12:15:00+05:30,671.1,672.5,666.65,669.75,1430196
2025-06-19T13:15:00+05:30,669.75,672.95,668.5,672.9,1093686
2025-06-19T14:15:00+05:30,672.75,676.3,671.8,672.0,2231167
2025-06-19T15:15:00+05:30,672.05,672.8,670.65,671.4,865431
2025-06-20T09:15:00+05:30,673.3,678.0,670.1,672.0,2123707
2025-06-20T10:15:00+05:30,672.0,677.4,671.9,676.25,1520912
2025-06-20T11:15:00+05:30,676.25,678.5,675.4,677.65,845725
2025-06-20T12:15:00+05:30,677.65,678.8,675.05,676.85,990016
2025-06-20T13:15:00+05:30,676.85,677.85,675.25,675.85,645665
2025-06-20T14:15:00+05:30,675.85,676.9,675.25,676.3,2853422
2025-06-20T15:15:00+05:30,676.3,676.85,675.5,675.5,2368533
2025-06-23T09:15:00+05:30,670.0,676.0,666.1,669.0,2827726
2025-06-23T10:15:00+05:30,669.0,673.5,668.7,671.1,1594446
2025-06-23T11:15:00+05:30,671.0,673.7,670.25,672.5,1059621
2025-06-23T12:15:00+05:30,672.35,672.8,669.65,670.6,1497316
2025-06-23T13:15:00+05:30,670.5,674.9,670.35,672.8,1208020
2025-06-23T14:15:00+05:30,672.8,674.0,670.6,671.05,1265588
2025-06-23T15:15:00+05:30,671.05,672.15,670.7,671.8,715396
2025-06-24T09:15:00+05:30,678.0,682.4,675.1,682.0,3431360
2025-06-24T10:15:00+05:30,682.0,686.5,681.95,684.7,2426537
2025-06-24T11:15:00+05:30,684.9,685.45,683.1,684.35,1190267
2025-06-24T12:15:00+05:30,684.2,684.4,679.65,680.2,2111762
2025-06-24T13:15:00+05:30,680.2,680.9,672.0,674.6,2419700
2025-06-24T14:15:00+05:30,674.6,676.25,672.8,673.7,2522122
2025-06-24T15:15:00+05:30,673.6,674.75,672.8,674.3,1200416
2025-06-25T09:15:00+05:30,675.95,679.0,673.45,675.1,2457077
2025-06-25T10:15:00+05:30,675.1,677.2,674.1,674.45,841977
2025-06-25T11:15:00+05:30,674.45,677.45,674.45,676.3,1097974
2025-06-25T12:15:00+05:30,676.35,678.3,675.1,677.65,1182915
2025-06-25T13:15:00+05:30,677.6,677.85,674.65,675.0,1331528
2025-06-25T14:15:00+05:30,675.0,675.75,674.05,674.95,2374233
2025-06-25T15:15:00+05:30,675.0,675.1,673.55,674.45,1093058
2025-06-26T09:15:00+05:30,677.0,678.6,675.3,677.15,2186763
2025-06-26T10:15:00+05:30,677.1,680.2,674.45,678.6,1815108
2025-06-26T11:15:00+05:30,678.65,681.0,677.35,680.75,1137619
2025-06-26T12:15:00+05:30,680.75,682.5,679.35,680.4,1033741
2025-06-26T13:15:00+05:30,680.35,682.25,679.5,680.5,1304843
2025-06-26T14:15:00+05:30,680.5,682.85,680.1,682.6,1648653
2025-06-26T15:15:00+05:30,682.6,683.7,682.0,682.7,942134
2025-06-27T09:15:00+05:30,684.8,691.45,683.0,688.4,2420266
2025-06-27T10:15:00+05:30,688.5,690.2,686.85,689.75,1288539
2025-06-27T11:15:00+05:30,689.65,690.1,688.45,688.65,916056
2025-06-27T12:15:00+05:30,688.55,689.8,687.0,687.35,468127
2025-06-27T13:15:00+05:30,687.35,688.0,686.0,686.7,464072
2025-06-27T14:15:00+05:30,686.7,687.4,686.1,686.95,897446
2025-06-27T15:15:00+05:30,686.95,687.5,686.1,687.5,678777
2025-06-30T09:15:00+05:30,688.9,690.95,685.0,687.9,1912893
2025-06-30T10:15:00+05:30,687.8,689.5,686.5,688.95,629650
2025-06-30T11:15:00+05:30,688.85,690.4,688.0,690.25,683925
2025-06-30T12:15:00+05:30,690.05,691.9,688.5,690.3,859447
2025-06-30T13:15:00+05:30,690.25,690.3,687.15,687.9,711108
2025-06-30T14:15:00+05:30,687.9,689.25,687.0,687.85,1280907
2025-06-30T15:15:00+05:30,687.8,688.4,687.3,688.3,836965
2025-07-01T09:15:00+05:30,691.05,693.85,688.65,688.75,1758466
2025-07-01T10:15:00+05:30,688.85,689.75,683.05,683.6,1190222
2025-07-01T11:15:00+05:30,683.6,684.45,682.25,684.25,682617
2025-07-01T12:15:00+05:30,684.3,686.1,683.7,684.45,571733
2025-07-01T13:15:00+05:30,684.35,684.7,680.4,682.3,1081361
2025-07-01T14:15:00+05:30,682.2,684.65,681.5,683.8,961931
2025-07-01T15:15:00+05:30,683.85,684.4,682.85,683.8,547125
2025-07-02T09:15:00+05:30,683.8,691.35,681.1,684.0,1979913
2025-07-02T10:15:00+05:30,683.9,684.95,680.65,684.85,814943
2025-07-02T11:15:00+05:30,684.8,692.45,683.55,690.9,1380733
2025-07-02T12:15:00+05:30,690.8,692.0,688.05,691.05,1357416
2025-07-02T13:15:00+05:30,691.0,691.3,686.4,687.8,1034838
2025-07-02T14:15:00+05:30,687.85,689.3,685.25,688.95,821607
2025-07-02T15:15:00+05:30,689.0,689.25,687.0,687.8,583712
2025-07-03T09:15:00+05:30,693.85,693.85,688.5,690.6,2762788
2025-07-03T10:15:00+05:30,690.6,695.45,690.0,695.2,1822464
2025-07-03T11:15:00+05:30,695.3,695.5,692.35,694.45,1041532
2025-07-03T12:15:00+05:30,694.25,696.55,693.7,695.75,955099
2025-07-03T13:15:00+05:30,695.8,696.95,693.3,694.0,853488
2025-07-03T14:15:00+05:30,694.0,694.45,690.0,690.4,1658516
2025-07-03T15:15:00+05:30,690.15,690.55,689.7,690.3,510527
2025-07-04T09:15:00+05:30,691.0,692.85,687.5,689.9,1092992
2025-07-04T10:15:00+05:30,689.85,690.95,688.2,690.15,666008
2025-07-04T11:15:00+05:30,690.3,690.3,687.05,688.4,1173457
2025-07-04T12:15:00+05:30,688.3,689.5,687.5,688.25,246319
2025-07-04T13:15:00+05:30,688.2,689.0,686.35,687.2,384616
2025-07-04T14:15:00+05:30,687.25,690.1,687.0,689.25,934932
2025-07-04T15:15:00+05:30,689.25,689.65,687.7,688.0,413714
2025-07-07T09:15:00+05:30,689.05,691.95,683.35,685.8,1524110
2025-07-07T10:15:00+05:30,685.35,688.25,684.5,688.1,603754
2025-07-07T11:15:00+05:30,688.25,689.4,686.45,689.0,1014396
2025-07-07T12:15:00+05:30,689.0,690.45,688.25,688.8,513328
2025-07-07T13:15:00+05:30,688.75,690.9,688.0,688.3,390773
2025-07-07T14:15:00+05:30,688.1,689.25,687.2,689.25,799798
2025-07-07T15:15:00+05:30,689.35,689.8,688.05,688.5,544710
2025-07-08T09:15:00+05:30,693.0,696.95,688.05,688.6,2304275
2025-07-08T10:15:00+05:30,688.5,689.6,687.5,688.9,635919
2025-07-08T11:15:00+05:30,688.8,691.75,688.15,690.75,702953
2025-07-08T12:15:00+05:30,690.7,691.55,690.0,690.9,589948
2025-07-08T13:15:00+05:30,690.85,692.95,690.7,691.35,798415
2025-07-08T14:15:00+05:30,691.25,694.25,690.2,693.75,1631253
2025-07-08T15:15:00+05:30,693.75,693.85,692.3,692.9,839592
2025-07-09T09:15:00+05:30,688.9,693.2,688.5,691.75,1168039
2025-07-09T10:15:00+05:30,691.8,692.8,690.45,691.15,452975
2025-07-09T11:15:00+05:30,691.15,692.7,689.55,691.25,581858
2025-07-09T12:15:00+05:30,691.15,692.8,690.55,691.65,483180
2025-07-09T13:15:00+05:30,691.45,695.5,691.25,694.5,840020
2025-07-09T14:15:00+05:30,694.5,695.0,692.95,693.6,1149556
2025-07-09T15:15:00+05:30,693.75,694.0,691.3,692.3,747736
2025-07-10T09:15:00+05:30,691.8,692.0,685.0,689.7,2189982
2025-07-10T10:15:00+05:30,689.5,690.9,688.1,689.45,513072
2025-07-10T11:15:00+05:30,689.45,689.5,686.75,688.3,777842
2025-07-10T12:15:00+05:30,688.3,694.5,688.0,692.0,1276902
2025-07-10T13:15:00+05:30,692.2,695.8,691.1,694.7,968864
2025-07-10T14:15:00+05:30,694.7,696.35,694.2,695.5,1159122
2025-07-10T15:15:00+05:30,695.45,696.75,695.05,695.5,805855
2025-07-11T09:15:00+05:30,692.55,698.4,690.65,691.95,1451674
2025-07-11T10:15:00+05:30,691.85,692.0,687.0,688.75,1409812
2025-07-11T11:15:00+05:30,688.75,690.5,687.0,688.4,1034112
2025-07-11T12:15:00+05:30,688.3,688.4,683.5,685.1,1119940
2025-07-11T13:15:00+05:30,685.1,686.5,683.0,685.7,812211
2025-07-11T14:15:00+05:30,685.55,686.5,682.1,682.35,1345725
2025-07-11T15:15:00+05:30,682.35,682.5,677.05,679.0,1071635
2025-07-14T09:15:00+05:30,680.8,680.95,675.1,679.1,1854290
2025-07-14T10:15:00+05:30,679.1,680.75,678.25,678.65,652436
2025-07-14T11:15:00+05:30,678.6,678.75,676.1,677.05,1216747
2025-07-14T12:15:00+05:30,677.1,677.7,674.45,675.5,744325
2025-07-14T13:15:00+05:30,675.5,676.8,674.55,674.95,226681
