timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,397.0,398.6,391.25,393.9,1057581
2025-06-16T10:15:00+05:30,393.9,398.5,393.8,397.35,517444
2025-06-16T11:15:00+05:30,397.5,398.2,396.5,398.05,227296
2025-06-16T12:15:00+05:30,398.2,399.8,396.55,399.55,342354
2025-06-16T13:15:00+05:30,399.55,401.25,398.7,400.6,536830
2025-06-16T14:15:00+05:30,400.65,400.9,399.0,399.8,510854
2025-06-16T15:15:00+05:30,399.75,400.0,398.7,399.25,380260
2025-06-17T09:15:00+05:30,399.25,402.2,398.55,400.3,789793
2025-06-17T10:15:00+05:30,400.2,401.3,398.45,398.95,391279
2025-06-17T11:15:00+05:30,399.0,400.8,398.05,398.05,353968
2025-06-17T12:15:00+05:30,398.05,398.7,396.05,396.85,373540
2025-06-17T13:15:00+05:30,396.8,397.6,396.2,396.85,304226
2025-06-17T14:15:00+05:30,396.85,397.0,395.0,396.5,656036
2025-06-17T15:15:00+05:30,396.5,396.6,395.0,395.7,341847
2025-06-18T09:15:00+05:30,396.0,398.0,393.8,396.7,743476
2025-06-18T10:15:00+05:30,396.6,396.7,393.5,394.4,346074
2025-06-18T11:15:00+05:30,394.55,394.6,392.1,393.35,367620
2025-06-18T12:15:00+05:30,393.3,393.5,390.6,392.25,417672
2025-06-18T13:15:00+05:30,392.2,393.9,391.65,392.3,357450
2025-06-18T14:15:00+05:30,392.25,394.45,391.1,393.4,482244
2025-06-18T15:15:00+05:30,393.5,393.65,392.3,392.7,236765
2025-06-19T09:15:00+05:30,392.5,394.1,391.1,391.5,702493
2025-06-19T10:15:00+05:30,391.5,391.7,389.1,390.0,606040
2025-06-19T11:15:00+05:30,389.95,390.35,388.0,388.25,521119
2025-06-19T12:15:00+05:30,388.3,388.3,385.0,385.45,886760
2025-06-19T13:15:00+05:30,385.45,386.55,384.25,386.45,581856
2025-06-19T14:15:00+05:30,386.3,387.85,384.75,384.9,694853
2025-06-19T15:15:00+05:30,384.95,384.95,383.0,383.95,426326
2025-06-20T09:15:00+05:30,383.6,386.45,381.6,385.6,1396689
2025-06-20T10:15:00+05:30,385.5,391.0,385.5,390.95,1005445
2025-06-20T11:15:00+05:30,391.0,392.5,390.1,390.95,555687
2025-06-20T12:15:00+05:30,390.95,391.2,388.1,388.4,564806
2025-06-20T13:15:00+05:30,388.25,389.55,387.6,388.2,367013
2025-06-20T14:15:00+05:30,388.25,390.9,388.2,389.75,5840417
2025-06-20T15:15:00+05:30,389.75,391.9,388.0,388.4,5547534
2025-06-23T09:15:00+05:30,385.0,389.15,384.55,389.15,1207367
2025-06-23T10:15:00+05:30,389.15,391.3,388.1,390.35,776685
2025-06-23T11:15:00+05:30,390.3,392.4,390.0,391.15,757982
2025-06-23T12:15:00+05:30,391.15,391.8,390.0,390.45,370912
2025-06-23T13:15:00+05:30,390.5,394.55,390.5,393.95,836427
2025-06-23T14:15:00+05:30,393.85,394.4,392.35,393.2,936173
2025-06-23T15:15:00+05:30,393.05,393.65,392.5,392.5,270180
