timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,152.0,153.06,150.84,151.54,3419210
2025-06-16T10:15:00+05:30,151.54,153.4,151.5,153.11,3213768
2025-06-16T11:15:00+05:30,153.14,153.72,152.86,153.69,1978173
2025-06-16T12:15:00+05:30,153.69,154.2,153.4,153.86,1742155
2025-06-16T13:15:00+05:30,153.86,154.3,153.75,154.22,1206899
2025-06-16T14:15:00+05:30,154.22,154.4,153.85,154.11,2325530
2025-06-16T15:15:00+05:30,154.11,154.5,153.8,154.1,2216238
2025-06-17T09:15:00+05:30,153.89,154.89,153.17,153.39,4122452
2025-06-17T10:15:00+05:30,153.36,154.25,153.26,154.1,3224244
2025-06-17T11:15:00+05:30,154.1,154.23,153.2,153.34,1944224
2025-06-17T12:15:00+05:30,153.35,153.52,152.6,152.9,1808063
2025-06-17T13:15:00+05:30,152.89,153.06,152.56,152.81,1844035
2025-06-17T14:15:00+05:30,152.82,152.89,152.45,152.76,2345067
2025-06-17T15:15:00+05:30,152.76,152.81,152.35,152.58,1401188
2025-06-18T09:15:00+05:30,152.4,153.2,152.02,152.6,2389489
2025-06-18T10:15:00+05:30,152.65,152.73,151.57,151.88,1579353
2025-06-18T11:15:00+05:30,151.84,151.87,151.31,151.62,1163199
2025-06-18T12:15:00+05:30,151.64,151.75,150.8,151.66,1966960
2025-06-18T13:15:00+05:30,151.69,152.25,151.55,151.7,3054314
2025-06-18T14:15:00+05:30,151.7,152.5,151.4,151.95,3273387
2025-06-18T15:15:00+05:30,151.93,152.25,151.91,152.0,1405430
2025-06-19T09:15:00+05:30,151.99,152.0,150.9,151.19,4621127
2025-06-19T10:15:00+05:30,151.19,151.49,150.7,151.42,1335967
2025-06-19T11:15:00+05:30,151.42,151.45,150.71,150.96,1624993
2025-06-19T12:15:00+05:30,150.96,151.08,150.5,150.68,2269053
2025-06-19T13:15:00+05:30,150.69,151.9,150.5,151.57,2894224
2025-06-19T14:15:00+05:30,151.58,152.45,150.93,151.08,5609588
2025-06-19T15:15:00+05:30,151.08,151.1,150.51,150.51,1744442
2025-06-20T09:15:00+05:30,150.75,151.77,150.63,151.23,2188954
2025-06-20T10:15:00+05:30,151.22,153.16,151.22,153.05,2739020
2025-06-20T11:15:00+05:30,153.1,153.17,152.62,152.72,1469146
2025-06-20T12:15:00+05:30,152.75,152.75,151.57,152.26,1704813
2025-06-20T13:15:00+05:30,152.26,152.52,151.8,151.96,1984344
2025-06-20T14:15:00+05:30,151.97,152.28,151.56,152.11,12049893
2025-06-20T15:15:00+05:30,152.12,152.28,151.56,151.7,7748336
2025-06-23T09:15:00+05:30,150.58,151.7,150.48,151.15,4925482
