timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,744.8,750.6,723.0,732.25,1240945
2025-06-16T10:15:00+05:30,732.0,739.7,731.9,737.7,414057
2025-06-16T11:15:00+05:30,737.5,741.85,736.4,740.0,188055
2025-06-16T12:15:00+05:30,740.1,748.0,739.3,745.8,269650
2025-06-16T13:15:00+05:30,746.0,753.05,745.8,751.95,274582
2025-06-16T14:15:00+05:30,751.95,754.55,749.1,750.7,269012
2025-06-16T15:15:00+05:30,750.65,751.0,747.8,748.6,118485
2025-06-17T09:15:00+05:30,749.95,755.0,748.0,751.95,389695
2025-06-17T10:15:00+05:30,751.95,753.45,746.15,746.9,212656
2025-06-17T11:15:00+05:30,746.85,748.8,742.55,744.2,159244
2025-06-17T12:15:00+05:30,744.15,745.35,738.9,742.9,163730
2025-06-17T13:15:00+05:30,742.9,744.5,740.05,743.6,126330
2025-06-17T14:15:00+05:30,743.85,743.85,739.1,739.25,174888
2025-06-17T15:15:00+05:30,739.55,740.0,738.0,739.0,123364
2025-06-18T09:15:00+05:30,737.75,743.75,737.05,739.3,366227
2025-06-18T10:15:00+05:30,739.4,739.9,732.65,734.95,231123
2025-06-18T11:15:00+05:30,734.65,735.0,730.5,733.7,170295
2025-06-18T12:15:00+05:30,733.75,733.75,730.0,732.15,119804
2025-06-18T13:15:00+05:30,732.1,732.95,730.0,731.25,84691
2025-06-18T14:15:00+05:30,731.25,733.6,728.75,732.0,153245
2025-06-18T15:15:00+05:30,732.15,732.9,730.75,731.8,78564
2025-06-19T09:15:00+05:30,741.9,746.8,729.15,732.75,1044033
2025-06-19T10:15:00+05:30,732.7,735.75,727.0,729.15,300505
2025-06-19T11:15:00+05:30,729.45,729.8,725.6,726.75,189458
2025-06-19T12:15:00+05:30,726.75,726.75,721.15,722.1,212143
2025-06-19T13:15:00+05:30,722.4,724.9,719.0,724.9,207782
2025-06-19T14:15:00+05:30,724.7,725.4,718.3,718.85,264301
2025-06-19T15:15:00+05:30,718.85,718.95,711.55,712.0,235198
2025-06-20T09:15:00+05:30,718.0,718.65,701.05,705.0,1263273
2025-06-20T10:15:00+05:30,705.0,709.75,703.6,709.45,458582
2025-06-20T11:15:00+05:30,709.4,711.8,705.0,705.05,459694
2025-06-20T12:15:00+05:30,705.35,705.75,696.3,701.3,711201
2025-06-20T13:15:00+05:30,701.25,706.25,700.0,703.9,287754
2025-06-20T14:15:00+05:30,703.85,707.7,703.6,706.1,661530
2025-06-20T15:15:00+05:30,706.25,708.15,705.0,706.45,514885
2025-06-23T09:15:00+05:30,700.8,711.0,697.25,701.5,651668
2025-06-23T10:15:00+05:30,701.25,703.65,699.55,702.3,243344
2025-06-23T11:15:00+05:30,702.4,704.45,701.0,702.45,138823
2025-06-23T12:15:00+05:30,702.45,703.7,699.0,699.05,201867
2025-06-23T13:15:00+05:30,699.0,701.8,698.6,699.85,187704
2025-06-23T14:15:00+05:30,699.75,700.95,698.5,700.0,203489
2025-06-23T15:15:00+05:30,700.0,700.55,698.4,698.9,145533
2025-06-24T09:15:00+05:30,705.5,709.7,696.0,704.1,1041645
2025-06-24T10:15:00+05:30,704.35,706.65,703.05,703.9,268546
2025-06-24T11:15:00+05:30,703.8,707.2,703.55,705.05,218182
2025-06-24T12:15:00+05:30,705.05,705.65,701.25,701.8,143406
2025-06-24T13:15:00+05:30,701.8,703.8,698.0,699.45,179743
2025-06-24T14:15:00+05:30,699.25,700.25,697.3,698.45,219478
2025-06-24T15:15:00+05:30,698.45,698.85,697.25,697.6,116399
2025-06-25T09:15:00+05:30,703.0,707.5,701.2,701.9,534809
2025-06-25T10:15:00+05:30,701.9,703.0,701.1,702.0,140182
2025-06-25T11:15:00+05:30,702.05,702.9,699.0,699.15,176022
2025-06-25T12:15:00+05:30,699.15,701.5,698.3,699.4,151855
2025-06-25T13:15:00+05:30,699.2,701.25,698.6,699.5,113042
2025-06-25T14:15:00+05:30,699.5,701.0,698.5,700.45,227397
2025-06-25T15:15:00+05:30,700.45,700.65,699.0,700.25,121847
2025-06-26T09:15:00+05:30,701.95,705.1,700.7,701.4,400528
2025-06-26T10:15:00+05:30,701.4,705.4,700.0,705.1,237333
2025-06-26T11:15:00+05:30,705.15,705.2,700.2,700.6,169275
2025-06-26T12:15:00+05:30,700.4,702.3,699.6,701.85,148588
2025-06-26T13:15:00+05:30,701.85,702.05,700.0,700.6,106272
2025-06-26T14:15:00+05:30,700.4,704.2,700.3,703.45,390852
