timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1658.9,1673.4,1651.2,1666.4,392777
2025-06-16T10:15:00+05:30,1665.9,1679.1,1665.5,1677.1,209115
2025-06-16T11:15:00+05:30,1677.4,1688.3,1676.0,1681.7,289686
2025-06-16T12:15:00+05:30,1681.7,1702.4,1678.1,1701.5,485825
2025-06-16T13:15:00+05:30,1701.5,1706.0,1693.8,1696.3,308180
2025-06-16T14:15:00+05:30,1696.8,1697.0,1691.8,1694.2,313510
2025-06-16T15:15:00+05:30,1694.2,1696.9,1691.0,1693.3,153262
2025-06-17T09:15:00+05:30,1691.0,1702.3,1684.2,1694.9,312558
2025-06-17T10:15:00+05:30,1694.9,1709.4,1694.0,1707.0,257642
2025-06-17T11:15:00+05:30,1707.0,1717.0,1704.9,1714.9,247498
2025-06-17T12:15:00+05:30,1714.5,1718.5,1711.6,1717.9,348818
2025-06-17T13:15:00+05:30,1717.9,1724.5,1715.7,1724.5,258392
2025-06-17T14:15:00+05:30,1724.4,1725.0,1712.3,1718.2,400711
2025-06-17T15:15:00+05:30,1718.1,1722.7,1716.8,1722.0,274835
2025-06-18T09:15:00+05:30,1717.1,1732.8,1710.0,1721.3,544976
2025-06-18T10:15:00+05:30,1721.2,1725.0,1713.9,1719.7,159006
2025-06-18T11:15:00+05:30,1719.5,1720.0,1709.5,1718.9,137196
2025-06-18T12:15:00+05:30,1719.0,1719.9,1714.0,1718.6,92293
2025-06-18T13:15:00+05:30,1718.8,1718.8,1708.6,1712.1,106955
2025-06-18T14:15:00+05:30,1712.1,1713.8,1708.4,1710.5,176858
2025-06-18T15:15:00+05:30,1710.5,1712.0,1709.5,1711.9,76801
2025-06-19T09:15:00+05:30,1684.0,1694.0,1662.1,1665.5,953511
2025-06-19T10:15:00+05:30,1665.8,1670.1,1660.7,1669.8,375547
2025-06-19T11:15:00+05:30,1669.0,1689.8,1668.5,1687.8,382354
2025-06-19T12:15:00+05:30,1688.0,1691.9,1685.2,1689.4,387989
2025-06-19T13:15:00+05:30,1689.4,1689.5,1677.8,1687.5,273642
2025-06-19T14:15:00+05:30,1687.5,1689.8,1682.6,1685.3,463367
2025-06-19T15:15:00+05:30,1685.1,1685.9,1676.5,1678.0,188551
2025-06-20T09:15:00+05:30,1680.0,1689.3,1669.2,1673.5,163151
2025-06-20T10:15:00+05:30,1673.5,1684.0,1673.5,1682.3,124339
2025-06-20T11:15:00+05:30,1682.3,1697.1,1680.5,1695.7,116486
2025-06-20T12:15:00+05:30,1695.7,1697.5,1687.0,1694.7,141632
2025-06-20T13:15:00+05:30,1695.4,1698.4,1689.1,1690.6,82107
2025-06-20T14:15:00+05:30,1690.4,1706.0,1687.9,1692.0,1623491
2025-06-20T15:15:00+05:30,1692.1,1708.5,1691.8,1696.0,1170812
2025-06-23T09:15:00+05:30,1680.0,1687.6,1675.7,1678.1,130474
2025-06-23T10:15:00+05:30,1677.9,1691.3,1677.0,1687.4,100509
2025-06-23T11:15:00+05:30,1687.4,1689.6,1677.6,1680.9,104842
2025-06-23T12:15:00+05:30,1680.9,1685.7,1677.0,1684.9,105548
2025-06-23T13:15:00+05:30,1685.0,1692.0,1683.9,1686.8,125168
2025-06-23T14:15:00+05:30,1686.6,1687.4,1680.0,1682.8,97892
2025-06-23T15:15:00+05:30,1682.9,1686.0,1680.0,1680.0,57205
2025-06-24T09:15:00+05:30,1699.9,1708.5,1682.2,1700.8,253519
