timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,897.0,905.8,870.2,882.0,851557
2025-06-16T10:15:00+05:30,881.6,893.25,881.45,891.6,243637
2025-06-16T11:15:00+05:30,891.9,899.5,888.5,895.0,242706
2025-06-16T12:15:00+05:30,894.85,896.0,889.05,894.65,121940
2025-06-16T13:15:00+05:30,894.65,897.2,892.6,896.0,91179
2025-06-16T14:15:00+05:30,896.1,897.95,893.0,897.9,229639
2025-06-16T15:15:00+05:30,897.5,898.0,895.2,898.0,110142
2025-06-17T09:15:00+05:30,899.05,901.5,888.2,892.9,373534
2025-06-17T10:15:00+05:30,892.9,894.0,889.1,890.0,132349
2025-06-17T11:15:00+05:30,890.0,890.4,885.5,886.75,106641
2025-06-17T12:15:00+05:30,887.05,888.5,882.8,885.55,101393
2025-06-17T13:15:00+05:30,885.4,887.2,883.2,886.65,62406
2025-06-17T14:15:00+05:30,886.65,887.95,884.25,886.05,161278
2025-06-17T15:15:00+05:30,886.05,888.25,882.2,885.0,140140
2025-06-18T09:15:00+05:30,883.1,884.4,872.4,879.05,524648
2025-06-18T10:15:00+05:30,879.6,880.5,873.25,875.0,162612
2025-06-18T11:15:00+05:30,875.0,877.55,871.25,876.95,114718
2025-06-18T12:15:00+05:30,876.95,877.0,871.0,872.55,103222
2025-06-18T13:15:00+05:30,873.0,875.8,870.0,870.95,83291
2025-06-18T14:15:00+05:30,870.6,873.8,867.25,872.35,229913
2025-06-18T15:15:00+05:30,872.35,872.4,868.0,869.5,119641
2025-06-19T09:15:00+05:30,870.55,874.45,860.6,862.95,471596
2025-06-19T10:15:00+05:30,862.95,863.05,851.05,855.7,356194
2025-06-19T11:15:00+05:30,855.4,856.0,839.6,841.35,427801
2025-06-19T12:15:00+05:30,841.3,844.45,835.1,836.4,390758
2025-06-19T13:15:00+05:30,836.4,844.9,835.0,842.5,272070
2025-06-19T14:15:00+05:30,842.45,846.7,839.0,841.5,298714
2025-06-19T15:15:00+05:30,841.75,842.0,835.35,839.6,195187
2025-06-20T09:15:00+05:30,841.0,847.5,827.5,845.05,833645
2025-06-20T10:15:00+05:30,845.4,867.0,844.8,865.5,663638
2025-06-20T11:15:00+05:30,865.5,874.4,863.35,863.6,573717
2025-06-20T12:15:00+05:30,863.6,866.35,857.65,865.0,229429
2025-06-20T13:15:00+05:30,864.95,866.6,858.55,860.0,152724
2025-06-20T14:15:00+05:30,860.0,867.5,858.0,862.65,361326
2025-06-20T15:15:00+05:30,862.7,873.7,860.75,873.0,234977
2025-06-23T09:15:00+05:30,856.25,888.7,854.0,883.45,1210283
2025-06-23T10:15:00+05:30,883.3,887.95,870.1,885.1,889313
2025-06-23T11:15:00+05:30,885.0,889.95,883.0,888.5,270314
2025-06-23T12:15:00+05:30,888.5,889.1,876.25,878.0,312394
2025-06-23T13:15:00+05:30,877.8,880.6,874.95,876.0,231314
2025-06-23T14:15:00+05:30,875.7,880.0,875.0,875.4,187608
2025-06-23T15:15:00+05:30,875.1,879.0,872.15,879.0,185340
2025-06-24T09:15:00+05:30,893.5,916.0,890.0,906.4,3311569
2025-06-24T10:15:00+05:30,906.3,925.0,900.45,919.0,1937004
2025-06-24T11:15:00+05:30,919.5,926.85,911.0,914.85,1240489
2025-06-24T12:15:00+05:30,914.8,921.65,913.6,919.7,826123
2025-06-24T13:15:00+05:30,919.25,921.0,912.0,915.6,589227
2025-06-24T14:15:00+05:30,915.65,924.0,912.5,920.8,1106038
2025-06-24T15:15:00+05:30,920.55,929.0,919.0,927.85,659231
2025-06-25T09:15:00+05:30,925.8,936.0,921.0,924.05,1267276
2025-06-25T10:15:00+05:30,924.35,928.0,923.7,924.4,161772
2025-06-25T11:15:00+05:30,924.15,925.1,916.4,919.3,296997
2025-06-25T12:15:00+05:30,919.1,924.7,919.0,921.3,139299
2025-06-25T13:15:00+05:30,921.15,923.3,919.6,923.05,302116
2025-06-25T14:15:00+05:30,923.05,925.0,920.65,921.9,256738
2025-06-25T15:15:00+05:30,921.9,930.0,920.0,927.75,397351
2025-06-26T09:15:00+05:30,930.0,942.95,927.15,937.3,1158857
2025-06-26T10:15:00+05:30,937.35,939.9,933.7,937.5,330485
2025-06-26T11:15:00+05:30,937.35,939.4,932.05,936.3,293164
2025-06-26T12:15:00+05:30,936.2,941.65,935.3,937.95,277347
2025-06-26T13:15:00+05:30,938.2,940.65,936.2,938.3,194720
2025-06-26T14:15:00+05:30,938.2,941.0,936.35,940.5,346672
2025-06-26T15:15:00+05:30,940.55,940.9,935.1,939.1,265831
2025-06-27T09:15:00+05:30,943.0,969.8,940.05,957.7,2720256
2025-06-27T10:15:00+05:30,958.0,961.65,948.0,952.75,478855
2025-06-27T11:15:00+05:30,952.5,954.75,945.3,949.45,192635
2025-06-27T12:15:00+05:30,949.25,950.9,945.45,946.0,149406
2025-06-27T13:15:00+05:30,945.7,949.3,944.05,947.65,139059
2025-06-27T14:15:00+05:30,947.65,947.65,935.05,936.05,396770
2025-06-27T15:15:00+05:30,936.35,937.7,933.65,937.4,240093
2025-06-30T09:15:00+05:30,954.0,961.8,947.4,949.0,1124152
2025-06-30T10:15:00+05:30,948.95,950.0,942.0,944.9,339538
2025-06-30T11:15:00+05:30,944.95,946.5,942.3,943.4,200057
2025-06-30T12:15:00+05:30,943.2,944.95,940.5,943.0,209924
2025-06-30T13:15:00+05:30,943.0,943.9,938.0,940.6,201546
2025-06-30T14:15:00+05:30,940.75,944.4,939.5,941.0,239861
2025-06-30T15:15:00+05:30,941.4,946.0,940.55,944.8,349891
2025-07-01T09:15:00+05:30,947.0,956.95,942.4,950.6,833851
2025-07-01T10:15:00+05:30,950.6,960.75,948.0,952.35,770761
2025-07-01T11:15:00+05:30,952.35,959.9,951.1,956.55,532080
2025-07-01T12:15:00+05:30,956.8,957.0,953.1,954.6,130394
2025-07-01T13:15:00+05:30,954.45,956.7,952.2,956.5,148245
2025-07-01T14:15:00+05:30,956.45,965.0,956.25,963.25,886665
2025-07-01T15:15:00+05:30,963.25,965.0,963.0,964.5,391896
2025-07-02T09:15:00+05:30,967.75,970.0,956.15,956.5,955707
2025-07-02T10:15:00+05:30,956.5,959.1,951.0,954.0,305263
2025-07-02T11:15:00+05:30,953.85,957.5,952.5,953.4,106832
2025-07-02T12:15:00+05:30,953.75,954.0,947.45,948.0,217492
2025-07-02T13:15:00+05:30,948.05,949.8,940.45,949.3,356630
2025-07-02T14:15:00+05:30,949.3,951.95,946.1,950.9,207957
2025-07-02T15:15:00+05:30,951.05,952.85,948.45,950.5,170686
2025-07-03T09:15:00+05:30,950.6,954.7,941.0,948.2,476573
2025-07-03T10:15:00+05:30,948.6,951.0,943.0,946.5,180458
2025-07-03T11:15:00+05:30,947.0,947.0,941.0,944.1,109608
2025-07-03T12:15:00+05:30,943.85,944.4,941.55,943.6,72335
2025-07-03T13:15:00+05:30,943.85,943.95,941.0,941.25,89168
2025-07-03T14:15:00+05:30,941.25,943.1,940.0,940.05,172361
2025-07-03T15:15:00+05:30,940.6,940.75,937.0,939.9,152577
2025-07-04T09:15:00+05:30,940.0,946.1,936.0,942.6,306711
2025-07-04T10:15:00+05:30,943.0,945.0,936.2,937.5,141364
2025-07-04T11:15:00+05:30,937.5,938.9,925.0,931.8,292060
2025-07-04T12:15:00+05:30,931.9,933.45,927.0,932.45,86234
2025-07-04T13:15:00+05:30,932.4,934.4,930.3,931.7,76482
2025-07-04T14:15:00+05:30,931.75,944.0,930.8,944.0,220275
2025-07-04T15:15:00+05:30,944.0,945.0,940.5,941.5,142437
2025-07-07T09:15:00+05:30,941.2,946.6,935.15,939.05,277059
2025-07-07T10:15:00+05:30,938.5,945.4,938.5,943.9,109781
2025-07-07T11:15:00+05:30,944.15,952.5,940.6,949.3,349763
2025-07-07T12:15:00+05:30,948.85,950.9,943.4,949.0,161778
2025-07-07T13:15:00+05:30,949.05,953.85,947.5,948.5,132188
2025-07-07T14:15:00+05:30,948.5,952.5,946.1,946.1,182109
2025-07-07T15:15:00+05:30,946.85,948.0,945.0,946.05,101904
2025-07-08T09:15:00+05:30,944.1,950.0,939.25,946.55,312409
2025-07-08T10:15:00+05:30,946.85,947.0,939.0,941.5,151586
2025-07-08T11:15:00+05:30,941.15,941.5,936.3,938.1,96744
2025-07-08T12:15:00+05:30,938.1,942.85,935.4,942.2,85640
2025-07-08T13:15:00+05:30,942.2,944.8,937.6,937.95,73159
2025-07-08T14:15:00+05:30,937.65,945.2,937.65,943.5,176365
2025-07-08T15:15:00+05:30,943.95,944.1,942.4,943.05,70560
