timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,3411.0,3440.0,3396.2,3411.0,102255
2025-06-16T10:15:00+05:30,3410.9,3436.2,3410.0,3427.4,55439
2025-06-16T11:15:00+05:30,3427.8,3433.3,3420.8,3429.6,45647
2025-06-16T12:15:00+05:30,3429.5,3437.9,3425.3,3433.7,51132
2025-06-16T13:15:00+05:30,3433.7,3445.0,3431.3,3442.9,59807
2025-06-16T14:15:00+05:30,3441.9,3453.7,3432.7,3437.5,147491
2025-06-16T15:15:00+05:30,3437.6,3441.2,3434.8,3437.1,70266
2025-06-17T09:15:00+05:30,3429.0,3437.6,3395.4,3409.4,330220
2025-06-17T10:15:00+05:30,3409.4,3417.9,3406.0,3409.9,96396
2025-06-17T11:15:00+05:30,3409.9,3412.0,3401.0,3406.2,72886
2025-06-17T12:15:00+05:30,3406.2,3411.0,3402.0,3406.6,82794
2025-06-17T13:15:00+05:30,3406.6,3420.0,3406.0,3417.2,139815
2025-06-17T14:15:00+05:30,3417.3,3417.9,3403.8,3406.0,187515
2025-06-17T15:15:00+05:30,3406.0,3408.0,3402.5,3406.4,88738
2025-06-18T09:15:00+05:30,3405.7,3449.8,3390.0,3428.6,201321
2025-06-18T10:15:00+05:30,3429.4,3432.5,3412.1,3418.4,87094
2025-06-18T11:15:00+05:30,3418.4,3426.7,3401.0,3425.1,69203
2025-06-18T12:15:00+05:30,3425.1,3428.3,3416.2,3427.5,106027
2025-06-18T13:15:00+05:30,3427.9,3438.0,3420.0,3426.7,95043
2025-06-18T14:15:00+05:30,3426.9,3478.0,3425.0,3476.9,352035
2025-06-18T15:15:00+05:30,3477.1,3480.0,3467.6,3478.8,60586
2025-06-19T09:15:00+05:30,3478.8,3520.8,3467.8,3504.4,285431
2025-06-19T10:15:00+05:30,3504.2,3511.9,3490.0,3494.5,116986
2025-06-19T11:15:00+05:30,3494.5,3514.5,3488.0,3513.6,110364
2025-06-19T12:15:00+05:30,3513.6,3521.6,3501.0,3504.9,157138
2025-06-19T13:15:00+05:30,3505.5,3511.0,3500.0,3508.0,77232
2025-06-19T14:15:00+05:30,3507.9,3514.9,3502.1,3503.1,192390
2025-06-19T15:15:00+05:30,3503.1,3506.0,3495.1,3500.2,79859
2025-06-20T09:15:00+05:30,3498.0,3514.0,3489.0,3501.9,122993
2025-06-20T10:15:00+05:30,3501.9,3517.2,3501.3,3510.7,78624
2025-06-20T11:15:00+05:30,3510.7,3525.0,3509.0,3523.9,130061
2025-06-20T12:15:00+05:30,3523.9,3537.0,3519.9,3537.0,133708
2025-06-20T13:15:00+05:30,3537.0,3545.0,3525.5,3531.6,128222
2025-06-20T14:15:00+05:30,3531.6,3532.3,3510.7,3519.9,1319616
2025-06-20T15:15:00+05:30,3519.9,3523.7,3500.4,3510.4,1025780
2025-06-23T09:15:00+05:30,3498.8,3505.0,3473.0,3475.8,153607
2025-06-23T10:15:00+05:30,3475.5,3488.8,3474.5,3487.9,96102
2025-06-23T11:15:00+05:30,3487.9,3489.0,3475.0,3489.0,82648
2025-06-23T12:15:00+05:30,3489.0,3506.6,3487.0,3506.5,70028
2025-06-23T13:15:00+05:30,3506.6,3528.5,3505.5,3510.1,77783
2025-06-23T14:15:00+05:30,3510.4,3523.4,3500.0,3500.2,116456
2025-06-23T15:15:00+05:30,3500.3,3506.0,3497.2,3502.9,43077
2025-06-24T09:15:00+05:30,3522.0,3567.0,3512.4,3560.7,155424
2025-06-24T10:15:00+05:30,3560.7,3562.0,3535.5,3560.0,68672
