timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1421.0,1424.7,1392.3,1408.3,137329
2025-06-16T10:15:00+05:30,1408.3,1418.0,1408.0,1414.1,30406
2025-06-16T11:15:00+05:30,1413.9,1416.0,1408.9,1414.4,16131
2025-06-16T12:15:00+05:30,1414.4,1421.0,1411.5,1418.5,24900
2025-06-16T13:15:00+05:30,1418.5,1424.5,1417.2,1422.6,29099
2025-06-16T14:15:00+05:30,1422.7,1423.9,1420.2,1421.6,36600
2025-06-16T15:15:00+05:30,1421.6,1423.3,1417.1,1422.0,35937
2025-06-17T09:15:00+05:30,1419.0,1440.0,1415.4,1435.1,133325
2025-06-17T10:15:00+05:30,1435.1,1438.0,1414.3,1415.3,80154
2025-06-17T11:15:00+05:30,1415.3,1421.5,1413.2,1418.7,54011
2025-06-17T12:15:00+05:30,1418.6,1420.5,1412.8,1414.5,42887
2025-06-17T13:15:00+05:30,1414.5,1415.0,1410.0,1412.6,25844
2025-06-17T14:15:00+05:30,1412.6,1412.6,1402.8,1408.3,59332
2025-06-17T15:15:00+05:30,1408.2,1409.9,1405.3,1409.8,32828
2025-06-18T09:15:00+05:30,1409.9,1414.3,1403.6,1409.4,52618
2025-06-18T10:15:00+05:30,1409.4,1410.9,1396.0,1400.4,56208
2025-06-18T11:15:00+05:30,1400.4,1400.4,1391.1,1395.2,38940
2025-06-18T12:15:00+05:30,1395.2,1395.3,1385.9,1388.7,35955
2025-06-18T13:15:00+05:30,1389.1,1393.4,1386.2,1390.5,19226
2025-06-18T14:15:00+05:30,1390.9,1392.8,1384.0,1384.5,55078
2025-06-18T15:15:00+05:30,1385.0,1392.4,1383.1,1391.0,22825
2025-06-19T09:15:00+05:30,1388.2,1395.5,1385.1,1390.0,42920
2025-06-19T10:15:00+05:30,1389.2,1389.3,1378.6,1382.3,29255
2025-06-19T11:15:00+05:30,1382.4,1382.4,1372.8,1373.8,24370
2025-06-19T12:15:00+05:30,1374.1,1374.7,1362.0,1364.8,28483
2025-06-19T13:15:00+05:30,1364.8,1369.2,1358.2,1368.0,23927
2025-06-19T14:15:00+05:30,1368.0,1374.4,1366.5,1367.5,41948
2025-06-19T15:15:00+05:30,1367.2,1368.6,1363.0,1368.1,22557
2025-06-20T09:15:00+05:30,1366.0,1380.0,1360.6,1372.9,63074
2025-06-20T10:15:00+05:30,1373.0,1387.4,1373.0,1383.7,30050
2025-06-20T11:15:00+05:30,1384.4,1388.4,1382.5,1383.6,20524
2025-06-20T12:15:00+05:30,1383.5,1389.0,1375.6,1388.0,26893
2025-06-20T13:15:00+05:30,1387.9,1389.4,1383.9,1385.5,40414
2025-06-20T14:15:00+05:30,1385.5,1393.0,1384.6,1389.6,223566
2025-06-20T15:15:00+05:30,1389.4,1394.0,1380.0,1384.1,170773
2025-06-23T09:15:00+05:30,1380.0,1401.5,1377.7,1400.5,53482
2025-06-23T10:15:00+05:30,1400.5,1407.3,1395.2,1407.1,35173
2025-06-23T11:15:00+05:30,1407.1,1410.7,1403.1,1407.6,30835
2025-06-23T12:15:00+05:30,1408.0,1409.9,1406.6,1409.4,16787
2025-06-23T13:15:00+05:30,1409.8,1414.5,1407.6,1414.5,29243
2025-06-23T14:15:00+05:30,1414.5,1419.0,1411.3,1417.9,47942
2025-06-23T15:15:00+05:30,1418.0,1419.0,1414.4,1415.0,27438
2025-06-24T09:15:00+05:30,1428.9,1431.9,1419.4,1427.1,63034
2025-06-24T10:15:00+05:30,1426.3,1443.8,1424.1,1442.0,69162
2025-06-24T11:15:00+05:30,1441.5,1454.0,1439.9,1450.0,124742
2025-06-24T12:15:00+05:30,1449.6,1450.5,1445.1,1447.7,117729
2025-06-24T13:15:00+05:30,1447.7,1449.8,1443.2,1449.2,82686
2025-06-24T14:15:00+05:30,1449.0,1452.0,1447.5,1451.0,71292
2025-06-24T15:15:00+05:30,1451.3,1454.0,1449.9,1454.0,60224
2025-06-25T09:15:00+05:30,1454.1,1469.9,1449.6,1469.0,153269
2025-06-25T10:15:00+05:30,1469.0,1482.0,1467.2,1478.5,177387
2025-06-25T11:15:00+05:30,1478.5,1481.5,1466.4,1467.9,67300
2025-06-25T12:15:00+05:30,1467.3,1472.1,1458.3,1462.8,69693
2025-06-25T13:15:00+05:30,1462.1,1462.9,1458.0,1460.9,82764
2025-06-25T14:15:00+05:30,1460.2,1465.7,1458.3,1464.6,48171
2025-06-25T15:15:00+05:30,1464.6,1469.4,1459.4,1463.9,47995
2025-06-26T09:15:00+05:30,1464.5,1483.9,1464.4,1473.0,128727
2025-06-26T10:15:00+05:30,1473.0,1478.0,1468.7,1472.2,60531
2025-06-26T11:15:00+05:30,1472.2,1475.1,1465.8,1467.9,29393
2025-06-26T12:15:00+05:30,1467.8,1470.9,1464.8,1467.2,17812
2025-06-26T13:15:00+05:30,1467.7,1467.7,1458.0,1465.0,35319
2025-06-26T14:15:00+05:30,1465.2,1466.0,1456.8,1458.2,66919
2025-06-26T15:15:00+05:30,1458.2,1462.7,1457.2,1462.0,48941
2025-06-27T09:15:00+05:30,1468.1,1486.0,1459.1,1481.1,116269
2025-06-27T10:15:00+05:30,1481.0,1492.0,1479.0,1488.7,91942
2025-06-27T11:15:00+05:30,1488.0,1488.8,1479.0,1479.8,55232
2025-06-27T12:15:00+05:30,1479.7,1488.0,1475.8,1485.4,95283
2025-06-27T13:15:00+05:30,1485.3,1486.0,1480.0,1481.8,99094
2025-06-27T14:15:00+05:30,1480.9,1483.4,1469.1,1475.0,367514
2025-06-27T15:15:00+05:30,1474.2,1483.0,1470.0,1482.0,211695
