timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,5585.0,5665.0,5561.5,5610.0,150403
2025-06-16T10:15:00+05:30,5609.5,5689.0,5602.0,5659.0,122937
2025-06-16T11:15:00+05:30,5658.5,5686.5,5650.0,5682.0,62174
2025-06-16T12:15:00+05:30,5682.5,5695.0,5662.0,5665.0,49909
2025-06-16T13:15:00+05:30,5663.0,5681.0,5662.0,5680.0,29157
2025-06-16T14:15:00+05:30,5679.5,5690.5,5666.0,5683.0,127199
2025-06-16T15:15:00+05:30,5683.0,5690.0,5666.5,5671.5,62198
2025-06-17T09:15:00+05:30,5685.0,5686.5,5602.0,5638.0,110436
2025-06-17T10:15:00+05:30,5639.0,5699.0,5638.5,5692.5,74852
2025-06-17T11:15:00+05:30,5692.5,5702.0,5640.0,5646.5,66349
2025-06-17T12:15:00+05:30,5646.5,5659.5,5607.0,5623.0,62606
2025-06-17T13:15:00+05:30,5623.0,5639.5,5611.0,5631.5,60727
2025-06-17T14:15:00+05:30,5631.5,5639.0,5604.0,5627.5,90664
2025-06-17T15:15:00+05:30,5628.0,5640.0,5616.0,5624.5,61910
2025-06-18T09:15:00+05:30,5651.0,5727.0,5627.0,5724.0,212426
2025-06-18T10:15:00+05:30,5724.0,5740.5,5700.0,5731.5,145626
2025-06-18T11:15:00+05:30,5731.0,5740.0,5682.5,5722.0,95816
2025-06-18T12:15:00+05:30,5721.5,5723.5,5697.5,5712.5,55374
2025-06-18T13:15:00+05:30,5712.5,5715.0,5696.0,5705.0,46283
2025-06-18T14:15:00+05:30,5704.0,5759.0,5690.0,5735.5,229512
2025-06-18T15:15:00+05:30,5735.5,5751.5,5720.0,5728.0,75694
2025-06-19T09:15:00+05:30,5790.0,5799.5,5693.5,5707.5,335320
2025-06-19T10:15:00+05:30,5705.0,5739.5,5683.0,5716.0,110241
2025-06-19T11:15:00+05:30,5715.0,5727.5,5705.5,5714.0,40216
2025-06-19T12:15:00+05:30,5713.0,5714.0,5665.0,5681.0,91419
2025-06-19T13:15:00+05:30,5681.0,5727.5,5678.0,5726.5,92632
2025-06-19T14:15:00+05:30,5726.0,5745.0,5710.0,5718.0,137755
2025-06-19T15:15:00+05:30,5718.0,5739.5,5692.0,5700.0,69368
2025-06-20T09:15:00+05:30,5756.0,5795.0,5720.0,5782.5,229495
2025-06-20T10:15:00+05:30,5782.5,5804.5,5771.0,5793.5,115604
2025-06-20T11:15:00+05:30,5794.0,5813.0,5776.0,5789.0,85077
2025-06-20T12:15:00+05:30,5790.0,5791.5,5756.5,5771.0,95888
2025-06-20T13:15:00+05:30,5772.5,5784.0,5760.5,5777.0,48326
2025-06-20T14:15:00+05:30,5777.5,5959.5,5777.0,5892.0,5030951
2025-06-20T15:15:00+05:30,5890.0,6030.0,5837.0,5950.0,4815011
2025-06-23T09:15:00+05:30,5850.0,5930.0,5830.0,5922.0,291305
2025-06-23T10:15:00+05:30,5923.0,6009.5,5905.5,6004.0,278079
2025-06-23T11:15:00+05:30,6004.5,6078.0,5998.5,6029.0,463647
2025-06-23T12:15:00+05:30,6029.0,6143.0,6028.5,6110.0,361029
2025-06-23T13:15:00+05:30,6110.0,6210.0,6108.5,6163.5,413889
2025-06-23T14:15:00+05:30,6164.0,6185.0,6119.5,6123.0,331442
2025-06-23T15:15:00+05:30,6123.0,6124.0,6099.0,6108.0,106811
2025-06-24T09:15:00+05:30,6170.5,6205.0,6091.5,6131.0,372896
2025-06-24T10:15:00+05:30,6133.5,6150.0,6105.0,6134.0,117793
2025-06-24T11:15:00+05:30,6133.5,6156.5,6107.0,6143.5,187561
2025-06-24T12:15:00+05:30,6143.5,6144.0,6086.5,6101.0,118119
2025-06-24T13:15:00+05:30,6101.5,6110.0,6046.0,6063.5,210462
2025-06-24T14:15:00+05:30,6063.5,6070.0,6033.0,6040.0,238525
2025-06-24T15:15:00+05:30,6041.0,6103.0,6035.0,6071.0,209413
2025-06-25T09:15:00+05:30,6087.5,6151.0,6080.0,6104.5,184308
2025-06-25T10:15:00+05:30,6104.0,6134.5,6102.5,6114.0,56751
2025-06-25T11:15:00+05:30,6116.0,6130.0,6110.0,6112.5,39749
2025-06-25T12:15:00+05:30,6111.0,6121.0,6093.5,6099.0,77533
2025-06-25T13:15:00+05:30,6099.0,6134.0,6084.0,6104.0,204379
2025-06-25T14:15:00+05:30,6104.5,6122.0,6085.5,6121.0,131055
2025-06-25T15:15:00+05:30,6120.5,6156.0,6115.0,6126.0,115861
2025-06-26T09:15:00+05:30,6122.0,6135.0,6058.0,6085.5,146964
2025-06-26T10:15:00+05:30,6085.5,6096.0,6058.0,6091.0,56356
2025-06-26T11:15:00+05:30,6090.5,6100.0,6068.5,6088.0,57035
2025-06-26T12:15:00+05:30,6087.0,6117.0,6013.0,6070.0,173591
2025-06-26T13:15:00+05:30,6068.0,6114.0,6068.0,6102.5,95580
2025-06-26T14:15:00+05:30,6102.0,6120.0,6094.0,6097.0,190822
2025-06-26T15:15:00+05:30,6097.5,6121.0,6095.0,6106.0,129540
