timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,146.24,147.0,143.32,143.94,2055185
2025-06-16T10:15:00+05:30,143.94,146.41,143.91,146.14,1434084
2025-06-16T11:15:00+05:30,146.14,146.6,145.64,146.35,598600
2025-06-16T12:15:00+05:30,146.43,146.95,146.0,146.42,873815
2025-06-16T13:15:00+05:30,146.45,147.21,146.15,147.03,961554
2025-06-16T14:15:00+05:30,147.03,147.1,146.46,147.1,956725
2025-06-16T15:15:00+05:30,147.1,147.2,146.93,147.11,936557
2025-06-17T09:15:00+05:30,147.11,148.42,146.0,146.82,2214835
2025-06-17T10:15:00+05:30,146.8,147.21,145.54,145.86,772010
2025-06-17T11:15:00+05:30,145.85,145.87,145.21,145.32,594700
2025-06-17T12:15:00+05:30,145.32,145.75,145.0,145.15,549117
2025-06-17T13:15:00+05:30,145.15,145.34,144.7,144.97,425750
2025-06-17T14:15:00+05:30,144.94,145.49,144.5,145.33,991148
2025-06-17T15:15:00+05:30,145.38,145.41,144.55,144.67,469675
2025-06-18T09:15:00+05:30,144.99,145.95,144.1,145.68,3028276
2025-06-18T10:15:00+05:30,145.74,145.75,143.83,144.37,1228437
2025-06-18T11:15:00+05:30,144.39,144.52,143.33,144.4,616656
2025-06-18T12:15:00+05:30,144.37,144.65,143.81,144.65,377549
2025-06-18T13:15:00+05:30,144.65,144.85,143.81,143.95,377883
2025-06-18T14:15:00+05:30,143.95,144.63,143.61,144.17,547119
2025-06-18T15:15:00+05:30,144.21,144.24,143.92,144.02,638085
2025-06-19T09:15:00+05:30,143.18,143.89,141.5,142.0,2140063
2025-06-19T10:15:00+05:30,141.99,142.0,140.85,140.9,1143312
2025-06-19T11:15:00+05:30,140.94,140.97,139.75,139.92,1138147
2025-06-19T12:15:00+05:30,139.86,139.86,138.32,139.06,2055731
2025-06-19T13:15:00+05:30,139.03,140.6,138.78,140.58,2292653
2025-06-19T14:15:00+05:30,140.55,141.19,139.56,139.79,1450112
2025-06-19T15:15:00+05:30,139.79,139.88,139.1,139.3,882001
2025-06-20T09:15:00+05:30,139.56,142.7,139.56,141.52,2636250
2025-06-20T10:15:00+05:30,141.58,144.82,141.54,144.82,2095686
2025-06-20T11:15:00+05:30,144.83,145.3,142.8,142.89,2206920
2025-06-20T12:15:00+05:30,142.89,143.34,142.1,142.81,925840
2025-06-20T13:15:00+05:30,142.82,143.07,142.56,142.72,513777
2025-06-20T14:15:00+05:30,142.72,143.87,142.22,143.4,3110105
2025-06-20T15:15:00+05:30,143.4,144.2,142.99,142.99,2514464
2025-06-23T09:15:00+05:30,141.99,143.7,141.57,142.48,1608129
2025-06-23T10:15:00+05:30,142.48,143.25,142.34,143.2,686432
2025-06-23T11:15:00+05:30,143.2,144.0,142.91,143.14,665756
2025-06-23T12:15:00+05:30,143.14,143.64,142.85,143.38,348866
2025-06-23T13:15:00+05:30,143.37,144.36,143.31,143.74,666962
2025-06-23T14:15:00+05:30,143.74,143.87,142.37,142.4,922083
2025-06-23T15:15:00+05:30,142.4,143.26,142.27,143.24,799387
2025-06-24T09:15:00+05:30,144.99,148.78,144.94,146.44,4403284
2025-06-24T10:15:00+05:30,146.48,147.3,146.3,147.2,1227351
2025-06-24T11:15:00+05:30,147.22,148.55,147.1,148.3,2042536
2025-06-24T12:15:00+05:30,148.3,148.4,146.77,147.26,1172179
2025-06-24T13:15:00+05:30,147.24,147.66,145.75,145.85,1213522
2025-06-24T14:15:00+05:30,145.83,147.5,145.56,147.15,2266777
2025-06-24T15:15:00+05:30,147.15,147.5,146.5,146.5,1088310
2025-06-25T09:15:00+05:30,146.5,147.3,145.11,145.24,2367928
2025-06-25T10:15:00+05:30,145.25,145.81,144.16,145.17,2071693
2025-06-25T11:15:00+05:30,145.17,145.53,144.84,144.98,944585
2025-06-25T12:15:00+05:30,144.97,145.31,144.85,144.94,968424
2025-06-25T13:15:00+05:30,144.94,145.02,144.16,144.43,969135
2025-06-25T14:15:00+05:30,144.38,144.62,144.19,144.38,1369938
2025-06-25T15:15:00+05:30,144.4,144.59,143.92,144.59,1255671
2025-06-26T09:15:00+05:30,145.74,146.9,144.26,145.89,2381732
2025-06-26T10:15:00+05:30,145.93,146.0,145.12,145.28,931848
2025-06-26T11:15:00+05:30,145.28,146.69,144.53,146.39,1264603
2025-06-26T12:15:00+05:30,146.39,146.62,145.8,146.02,579881
2025-06-26T13:15:00+05:30,146.02,146.9,145.98,146.85,724240
2025-06-26T14:15:00+05:30,146.85,148.1,146.82,147.99,2478008
