timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1060.0,1067.7,1039.0,1054.1,98205
2025-06-16T10:15:00+05:30,1054.1,1058.0,1049.1,1050.0,34761
2025-06-16T11:15:00+05:30,1049.8,1056.0,1046.6,1051.4,17690
2025-06-16T12:15:00+05:30,1051.4,1054.9,1045.8,1052.1,25412
2025-06-16T13:15:00+05:30,1052.1,1057.0,1051.0,1056.5,11420
2025-06-16T14:15:00+05:30,1056.4,1059.0,1052.1,1056.0,41858
2025-06-16T15:15:00+05:30,1056.0,1059.7,1053.0,1055.7,28654
2025-06-17T09:15:00+05:30,1059.3,1060.9,1049.1,1050.2,43816
2025-06-17T10:15:00+05:30,1050.1,1057.7,1049.7,1053.9,27342
2025-06-17T11:15:00+05:30,1053.9,1057.0,1047.5,1049.4,38176
2025-06-17T12:15:00+05:30,1049.1,1054.0,1046.2,1048.0,127136
2025-06-17T13:15:00+05:30,1048.0,1053.9,1047.3,1053.6,25351
2025-06-17T14:15:00+05:30,1053.6,1056.2,1048.5,1049.9,28384
2025-06-17T15:15:00+05:30,1050.0,1053.9,1043.7,1053.9,106785
2025-06-18T09:15:00+05:30,1056.0,1085.0,1052.6,1081.4,401227
2025-06-18T10:15:00+05:30,1082.0,1082.8,1071.7,1077.2,190460
2025-06-18T11:15:00+05:30,1077.2,1080.0,1072.0,1077.1,109685
2025-06-18T12:15:00+05:30,1076.8,1077.1,1066.4,1069.6,128986
2025-06-18T13:15:00+05:30,1070.1,1070.8,1062.1,1063.9,71606
2025-06-18T14:15:00+05:30,1063.9,1068.4,1061.5,1063.4,91552
2025-06-18T15:15:00+05:30,1064.0,1066.5,1047.0,1048.6,61566
2025-06-19T09:15:00+05:30,1052.1,1063.6,1046.9,1050.0,87259
2025-06-19T10:15:00+05:30,1050.0,1050.3,1040.0,1044.1,32374
2025-06-19T11:15:00+05:30,1043.8,1045.0,1035.6,1037.1,32706
2025-06-19T12:15:00+05:30,1037.0,1043.0,1027.3,1029.0,36257
2025-06-19T13:15:00+05:30,1029.0,1043.8,1027.0,1038.3,83848
2025-06-19T14:15:00+05:30,1038.5,1044.0,1033.2,1039.3,102268
2025-06-19T15:15:00+05:30,1039.0,1040.0,1031.0,1031.0,40164
2025-06-20T09:15:00+05:30,1037.4,1060.0,1036.0,1057.6,153227
2025-06-20T10:15:00+05:30,1057.3,1060.6,1054.0,1058.0,51358
2025-06-20T11:15:00+05:30,1058.0,1067.0,1056.5,1060.0,65819
2025-06-20T12:15:00+05:30,1059.1,1064.3,1058.0,1061.7,40556
2025-06-20T13:15:00+05:30,1062.0,1064.4,1057.1,1060.2,49461
2025-06-20T14:15:00+05:30,1060.2,1064.2,1058.6,1060.2,300927
2025-06-20T15:15:00+05:30,1060.6,1067.0,1059.1,1059.5,261489
2025-06-23T09:15:00+05:30,1052.1,1063.5,1048.0,1049.4,46764
2025-06-23T10:15:00+05:30,1049.4,1054.4,1043.2,1053.0,62304
2025-06-23T11:15:00+05:30,1053.0,1053.7,1041.8,1042.0,79462
2025-06-23T12:15:00+05:30,1042.0,1050.0,1042.0,1047.9,104044
2025-06-23T13:15:00+05:30,1048.4,1051.9,1045.5,1049.1,112588
2025-06-23T14:15:00+05:30,1049.0,1053.7,1040.5,1049.9,122386
2025-06-23T15:15:00+05:30,1049.5,1065.0,1048.2,1065.0,74223
2025-06-24T09:15:00+05:30,1066.0,1078.7,1059.7,1063.9,72277
2025-06-24T10:15:00+05:30,1063.9,1064.6,1060.0,1060.5,35178
2025-06-24T11:15:00+05:30,1060.4,1067.4,1056.8,1063.8,41607
2025-06-24T12:15:00+05:30,1064.5,1066.3,1057.6,1060.4,22663
2025-06-24T13:15:00+05:30,1060.0,1062.0,1053.7,1056.9,41745
2025-06-24T14:15:00+05:30,1056.9,1057.8,1051.0,1051.0,59797
2025-06-24T15:15:00+05:30,1051.4,1053.7,1050.1,1051.0,22536
2025-06-25T09:15:00+05:30,1063.1,1076.0,1052.8,1065.2,95379
2025-06-25T10:15:00+05:30,1065.7,1069.0,1058.5,1059.8,36092
2025-06-25T11:15:00+05:30,1059.9,1065.3,1056.5,1062.1,29766
2025-06-25T12:15:00+05:30,1062.5,1071.8,1061.9,1069.7,43592
2025-06-25T13:15:00+05:30,1069.6,1078.0,1068.8,1070.8,62307
2025-06-25T14:15:00+05:30,1071.0,1074.9,1067.3,1073.4,56491
2025-06-25T15:15:00+05:30,1073.1,1074.0,1067.5,1069.0,37146
2025-06-26T09:15:00+05:30,1072.6,1079.8,1062.5,1065.2,56863
2025-06-26T10:15:00+05:30,1065.2,1067.0,1059.6,1062.8,29292
2025-06-26T11:15:00+05:30,1062.8,1067.2,1060.0,1067.2,29405
2025-06-26T12:15:00+05:30,1067.2,1067.8,1060.5,1062.6,27362
