timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,469.0,469.0,461.15,461.9,1402465
2025-06-16T10:15:00+05:30,461.85,466.1,458.55,465.25,2567868
2025-06-16T11:15:00+05:30,465.25,467.2,464.3,465.65,702794
2025-06-16T12:15:00+05:30,465.55,466.9,465.05,465.55,353673
2025-06-16T13:15:00+05:30,465.6,467.9,465.25,466.5,348352
2025-06-16T14:15:00+05:30,466.45,472.95,466.15,471.95,1209625
2025-06-16T15:15:00+05:30,471.95,475.45,471.95,475.0,1079192
2025-06-17T09:15:00+05:30,473.95,479.0,469.8,472.0,1760198
2025-06-17T10:15:00+05:30,472.0,476.95,471.65,474.7,2585924
2025-06-17T11:15:00+05:30,474.7,475.1,472.1,473.5,859117
2025-06-17T12:15:00+05:30,473.6,473.9,470.6,471.7,424266
2025-06-17T13:15:00+05:30,471.7,471.9,469.45,471.4,452151
2025-06-17T14:15:00+05:30,471.4,471.65,469.3,470.0,773115
2025-06-17T15:15:00+05:30,470.0,470.95,469.9,470.15,490621
2025-06-18T09:15:00+05:30,467.0,471.2,466.05,470.35,1088346
2025-06-18T10:15:00+05:30,470.35,470.6,466.95,467.5,848994
2025-06-18T11:15:00+05:30,467.5,469.0,466.8,467.55,458937
2025-06-18T12:15:00+05:30,467.6,468.05,465.2,466.2,412780
2025-06-18T13:15:00+05:30,466.1,467.45,465.7,466.7,497468
2025-06-18T14:15:00+05:30,466.65,470.45,465.3,470.4,1007895
2025-06-18T15:15:00+05:30,470.35,471.0,468.0,468.55,438204
2025-06-19T09:15:00+05:30,460.05,463.15,456.4,459.2,3389553
2025-06-19T10:15:00+05:30,459.25,461.75,458.8,459.05,1438132
2025-06-19T11:15:00+05:30,459.05,459.2,453.0,453.35,2523910
2025-06-19T12:15:00+05:30,453.3,454.1,448.25,451.5,1973204
2025-06-19T13:15:00+05:30,451.5,452.7,450.1,450.75,1234680
2025-06-19T14:15:00+05:30,450.75,450.95,448.25,449.45,2645686
2025-06-19T15:15:00+05:30,449.55,449.9,446.15,447.5,1331838
2025-06-20T09:15:00+05:30,448.0,462.0,447.65,455.5,4301307
2025-06-20T10:15:00+05:30,455.4,458.3,454.75,457.3,1297631
2025-06-20T11:15:00+05:30,457.25,459.6,454.95,455.45,1252046
2025-06-20T12:15:00+05:30,455.45,456.85,453.8,455.55,1532023
2025-06-20T13:15:00+05:30,455.55,456.0,453.6,454.2,2100404
