timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1272.2,1283.3,1266.6,1278.6,254332
2025-06-16T10:15:00+05:30,1278.1,1287.8,1277.9,1286.0,84381
2025-06-16T11:15:00+05:30,1285.4,1291.8,1282.6,1288.9,72216
2025-06-16T12:15:00+05:30,1289.0,1308.0,1288.6,1307.0,200474
2025-06-16T13:15:00+05:30,1307.4,1310.4,1301.8,1309.4,231653
2025-06-16T14:15:00+05:30,1309.4,1316.5,1307.4,1313.9,345041
2025-06-16T15:15:00+05:30,1313.9,1316.7,1311.1,1311.1,171132
2025-06-17T09:15:00+05:30,1313.6,1316.9,1302.6,1310.4,245085
2025-06-17T10:15:00+05:30,1310.5,1317.0,1310.0,1314.1,115365
2025-06-17T11:15:00+05:30,1314.1,1317.8,1311.0,1315.2,209307
2025-06-17T12:15:00+05:30,1315.6,1318.0,1312.5,1317.0,234302
2025-06-17T13:15:00+05:30,1317.0,1322.5,1315.1,1320.0,129318
2025-06-17T14:15:00+05:30,1320.0,1321.0,1287.8,1290.0,859641
2025-06-17T15:15:00+05:30,1289.9,1302.1,1282.3,1290.0,730538
2025-06-18T09:15:00+05:30,1269.0,1294.4,1261.5,1279.8,911404
2025-06-18T10:15:00+05:30,1279.8,1280.0,1267.2,1271.8,165307
2025-06-18T11:15:00+05:30,1271.8,1287.4,1269.1,1285.1,314487
2025-06-18T12:15:00+05:30,1285.1,1286.9,1278.0,1285.9,263295
2025-06-18T13:15:00+05:30,1286.2,1286.8,1281.1,1283.3,144554
2025-06-18T14:15:00+05:30,1283.1,1294.7,1279.0,1292.5,379301
2025-06-18T15:15:00+05:30,1292.5,1293.9,1289.0,1290.0,195266
2025-06-19T09:15:00+05:30,1287.9,1296.7,1279.3,1280.6,230857
2025-06-19T10:15:00+05:30,1280.4,1285.0,1273.3,1275.1,246495
2025-06-19T11:15:00+05:30,1275.8,1282.7,1274.0,1279.1,172555
2025-06-19T12:15:00+05:30,1278.8,1278.8,1263.0,1265.9,288032
2025-06-19T13:15:00+05:30,1265.8,1269.5,1263.0,1268.3,96478
2025-06-19T14:15:00+05:30,1268.3,1272.0,1262.5,1263.2,135226
2025-06-19T15:15:00+05:30,1263.2,1263.2,1255.0,1260.0,107502
2025-06-20T09:15:00+05:30,1251.7,1260.0,1246.5,1255.8,203728
2025-06-20T10:15:00+05:30,1255.8,1271.1,1255.3,1264.4,101019
2025-06-20T11:15:00+05:30,1264.4,1269.2,1263.0,1266.4,78252
2025-06-20T12:15:00+05:30,1266.4,1269.5,1263.0,1266.0,91507
2025-06-20T13:15:00+05:30,1266.0,1269.5,1265.0,1265.4,51290
2025-06-20T14:15:00+05:30,1265.3,1299.4,1265.0,1298.5,454102
2025-06-20T15:15:00+05:30,1298.5,1312.0,1276.2,1290.0,578248
2025-06-23T09:15:00+05:30,1279.0,1283.5,1264.2,1280.4,324944
2025-06-23T10:15:00+05:30,1280.4,1293.2,1278.1,1288.0,209617
2025-06-23T11:15:00+05:30,1288.4,1296.0,1281.0,1293.2,200490
2025-06-23T12:15:00+05:30,1293.4,1295.0,1290.7,1294.0,98602
2025-06-23T13:15:00+05:30,1293.9,1304.0,1292.5,1300.5,202523
2025-06-23T14:15:00+05:30,1300.0,1300.9,1293.4,1293.4,252249
2025-06-23T15:15:00+05:30,1293.3,1295.4,1290.2,1290.9,57193
2025-06-24T09:15:00+05:30,1307.0,1321.8,1301.6,1320.6,436994
2025-06-24T10:15:00+05:30,1320.3,1329.9,1317.1,1325.1,628716
2025-06-24T11:15:00+05:30,1325.1,1328.0,1321.1,1323.8,168107
2025-06-24T12:15:00+05:30,1323.1,1323.7,1310.1,1317.0,297412
2025-06-24T13:15:00+05:30,1317.0,1318.0,1310.0,1312.3,174168
2025-06-24T14:15:00+05:30,1312.3,1313.9,1305.0,1306.6,176055
2025-06-24T15:15:00+05:30,1306.6,1308.2,1304.0,1305.7,106336
2025-06-25T09:15:00+05:30,1307.8,1316.9,1300.2,1303.1,206708
2025-06-25T10:15:00+05:30,1303.1,1308.9,1299.4,1303.3,225799
2025-06-25T11:15:00+05:30,1303.3,1308.8,1300.0,1301.0,186080
2025-06-25T12:15:00+05:30,1300.5,1304.3,1299.2,1303.3,175339
2025-06-25T13:15:00+05:30,1302.6,1311.2,1301.2,1310.0,225365
2025-06-25T14:15:00+05:30,1310.1,1313.0,1308.0,1310.6,222662
2025-06-25T15:15:00+05:30,1310.6,1313.0,1309.7,1311.0,150465
2025-06-26T09:15:00+05:30,1322.6,1340.9,1310.3,1314.4,829562
2025-06-26T10:15:00+05:30,1314.2,1317.6,1307.0,1309.1,186240
2025-06-26T11:15:00+05:30,1308.9,1316.2,1305.0,1314.6,259781
2025-06-26T12:15:00+05:30,1314.4,1321.0,1311.0,1316.8,434709
