timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,259.99,261.27,258.0,259.0,2210557
2025-06-16T10:15:00+05:30,259.0,261.8,258.88,261.68,1224038
2025-06-16T11:15:00+05:30,261.6,262.21,259.62,260.71,1671240
2025-06-16T12:15:00+05:30,260.72,261.88,260.0,261.8,642540
2025-06-16T13:15:00+05:30,261.8,262.65,261.3,261.65,1165710
2025-06-16T14:15:00+05:30,261.64,261.78,261.03,261.52,1404557
2025-06-16T15:15:00+05:30,261.53,265.31,261.44,262.8,2549532
2025-06-17T09:15:00+05:30,262.9,264.7,261.66,263.26,1589201
2025-06-17T10:15:00+05:30,263.25,264.75,263.0,264.25,1016882
2025-06-17T11:15:00+05:30,264.25,265.2,263.75,264.6,938785
2025-06-17T12:15:00+05:30,264.64,265.45,263.73,264.17,901685
2025-06-17T13:15:00+05:30,264.22,264.44,263.55,264.04,687152
2025-06-17T14:15:00+05:30,264.04,264.07,262.75,263.09,1304615
2025-06-17T15:15:00+05:30,263.08,263.1,262.52,262.9,1014803
2025-06-18T09:15:00+05:30,262.51,265.6,262.27,263.87,1692987
2025-06-18T10:15:00+05:30,263.87,264.1,262.26,262.97,601813
2025-06-18T11:15:00+05:30,262.97,262.97,261.4,262.3,544913
2025-06-18T12:15:00+05:30,262.36,262.36,261.2,261.93,346908
2025-06-18T13:15:00+05:30,261.93,262.1,261.03,261.55,315005
2025-06-18T14:15:00+05:30,261.56,262.19,261.15,261.59,813339
2025-06-18T15:15:00+05:30,261.58,261.96,261.3,261.85,678207
2025-06-19T09:15:00+05:30,262.9,265.33,261.81,263.4,3348046
2025-06-19T10:15:00+05:30,263.4,264.1,262.72,263.14,1024052
2025-06-19T11:15:00+05:30,263.19,264.42,262.9,263.99,891537
2025-06-19T12:15:00+05:30,263.98,264.96,263.33,263.74,1446719
2025-06-19T13:15:00+05:30,263.74,265.5,263.21,265.45,2030927
2025-06-19T14:15:00+05:30,265.41,266.44,265.07,265.85,3823477
2025-06-19T15:15:00+05:30,265.85,265.87,264.8,265.0,1492140
2025-06-20T09:15:00+05:30,265.99,266.5,262.87,264.0,1329566
2025-06-20T10:15:00+05:30,263.97,265.48,263.94,265.21,737703
2025-06-20T11:15:00+05:30,265.29,267.0,265.06,266.96,1474272
2025-06-20T12:15:00+05:30,266.97,267.2,265.5,266.47,1062489
2025-06-20T13:15:00+05:30,266.46,266.8,265.98,266.22,1013510
2025-06-20T14:15:00+05:30,266.22,267.2,266.22,266.74,4234120
2025-06-20T15:15:00+05:30,266.76,266.76,265.0,265.8,3003854
2025-06-23T09:15:00+05:30,264.0,265.2,261.81,262.4,1648532
2025-06-23T10:15:00+05:30,262.4,263.49,262.12,262.95,827963
2025-06-23T11:15:00+05:30,262.9,263.4,262.51,262.78,417873
2025-06-23T12:15:00+05:30,262.76,263.4,262.72,263.4,420461
2025-06-23T13:15:00+05:30,263.38,264.7,263.26,263.49,834060
2025-06-23T14:15:00+05:30,263.41,263.68,263.0,263.49,1353580
2025-06-23T15:15:00+05:30,263.49,263.53,263.12,263.5,639348
2025-06-24T09:15:00+05:30,265.51,268.2,265.5,268.2,1734777
2025-06-24T10:15:00+05:30,268.19,268.65,267.2,267.65,1024336
2025-06-24T11:15:00+05:30,267.65,268.6,267.5,268.11,726525
