timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,20.2,20.3,19.87,20.0,42251643
2025-06-16T10:15:00+05:30,20.0,20.16,19.99,20.14,11314160
2025-06-16T11:15:00+05:30,20.13,20.26,20.03,20.22,15510382
2025-06-16T12:15:00+05:30,20.23,20.25,20.16,20.21,9867576
2025-06-16T13:15:00+05:30,20.21,20.42,20.2,20.42,14218256
2025-06-16T14:15:00+05:30,20.42,20.42,20.2,20.24,22459169
2025-06-16T15:15:00+05:30,20.25,20.29,20.22,20.26,10594185
2025-06-17T09:15:00+05:30,20.24,20.34,20.16,20.18,21200174
2025-06-17T10:15:00+05:30,20.2,20.23,20.06,20.12,13114134
2025-06-17T11:15:00+05:30,20.11,20.12,20.0,20.02,11048410
2025-06-17T12:15:00+05:30,20.03,20.1,19.96,20.01,13342521
2025-06-17T13:15:00+05:30,20.01,20.02,19.97,20.0,6098472
2025-06-17T14:15:00+05:30,20.0,20.06,19.94,19.95,24092685
2025-06-17T15:15:00+05:30,19.96,19.97,19.81,19.89,17274847
2025-06-18T09:15:00+05:30,19.94,20.13,19.74,20.08,25700475
2025-06-18T10:15:00+05:30,20.08,20.09,19.93,20.03,10994770
2025-06-18T11:15:00+05:30,20.03,20.03,19.9,19.98,8129021
2025-06-18T12:15:00+05:30,19.98,19.99,19.89,19.94,4305119
2025-06-18T13:15:00+05:30,19.95,19.95,19.86,19.91,4615380
2025-06-18T14:15:00+05:30,19.91,19.98,19.85,19.89,10562779
2025-06-18T15:15:00+05:30,19.88,19.92,19.86,19.9,6162031
2025-06-19T09:15:00+05:30,19.9,19.95,19.67,19.7,25000691
2025-06-19T10:15:00+05:30,19.7,19.72,19.55,19.58,16545357
2025-06-19T11:15:00+05:30,19.57,19.58,19.41,19.45,16531984
2025-06-19T12:15:00+05:30,19.45,19.48,19.35,19.4,12598000
2025-06-19T13:15:00+05:30,19.4,19.47,19.32,19.45,14538930
2025-06-19T14:15:00+05:30,19.45,19.55,19.38,19.41,23469150
2025-06-19T15:15:00+05:30,19.41,19.46,19.36,19.42,11990305
2025-06-20T09:15:00+05:30,19.41,19.63,19.4,19.54,21453512
2025-06-20T10:15:00+05:30,19.54,19.7,19.5,19.69,12784679
2025-06-20T11:15:00+05:30,19.7,19.75,19.66,19.71,8926854
2025-06-20T12:15:00+05:30,19.71,19.73,19.58,19.67,9329747
2025-06-20T13:15:00+05:30,19.66,19.77,19.65,19.76,8672567
2025-06-20T14:15:00+05:30,19.75,19.82,19.69,19.72,40392092
2025-06-20T15:15:00+05:30,19.71,19.81,19.7,19.78,35054868
2025-06-23T09:15:00+05:30,19.71,19.91,19.62,19.75,32444887
2025-06-23T10:15:00+05:30,19.74,19.92,19.72,19.9,12143117
2025-06-23T11:15:00+05:30,19.9,19.96,19.86,19.92,9143052
2025-06-23T12:15:00+05:30,19.92,19.95,19.88,19.91,5373243
2025-06-23T13:15:00+05:30,19.91,19.93,19.88,19.9,4667865
2025-06-23T14:15:00+05:30,19.89,19.9,19.81,19.87,11179475
2025-06-23T15:15:00+05:30,19.88,19.95,19.86,19.95,8701607
2025-06-24T09:15:00+05:30,20.07,20.17,20.0,20.06,30071480
2025-06-24T10:15:00+05:30,20.05,20.08,20.03,20.06,7145755
2025-06-24T11:15:00+05:30,20.05,20.13,20.04,20.13,10401334
2025-06-24T12:15:00+05:30,20.12,20.14,20.04,20.07,14113023
2025-06-24T13:15:00+05:30,20.07,20.08,19.95,19.99,21513999
2025-06-24T14:15:00+05:30,19.98,20.02,19.96,19.97,17360800
2025-06-24T15:15:00+05:30,19.98,20.0,19.94,19.95,9655529
2025-06-25T09:15:00+05:30,19.98,20.1,19.97,20.03,20655350
2025-06-25T10:15:00+05:30,20.03,20.08,19.97,20.0,10545178
2025-06-25T11:15:00+05:30,19.99,20.15,19.98,20.13,15008227
2025-06-25T12:15:00+05:30,20.12,20.21,20.07,20.19,14925605
2025-06-25T13:15:00+05:30,20.19,20.25,20.15,20.25,14121991
2025-06-25T14:15:00+05:30,20.24,20.28,20.2,20.24,17666173
