timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,971.0,977.0,964.35,968.1,95411
2025-06-16T10:15:00+05:30,968.1,976.25,968.05,973.8,49826
2025-06-16T11:15:00+05:30,973.7,974.2,968.1,969.15,258788
2025-06-16T12:15:00+05:30,969.1,971.0,967.2,970.0,41855
2025-06-16T13:15:00+05:30,970.0,975.0,969.4,972.95,80037
2025-06-16T14:15:00+05:30,973.0,976.9,969.95,974.4,162036
2025-06-16T15:15:00+05:30,974.35,976.0,972.2,972.2,87714
2025-06-17T09:15:00+05:30,974.35,975.45,964.15,965.6,127933
2025-06-17T10:15:00+05:30,965.6,968.3,960.65,961.2,57843
2025-06-17T11:15:00+05:30,961.65,962.0,958.05,960.4,90982
2025-06-17T12:15:00+05:30,960.1,961.35,954.6,959.1,403727
2025-06-17T13:15:00+05:30,958.6,963.0,957.7,962.05,254898
2025-06-17T14:15:00+05:30,962.45,963.4,947.6,957.55,493055
2025-06-17T15:15:00+05:30,957.6,960.2,952.25,954.0,206634
2025-06-18T09:15:00+05:30,953.95,964.8,951.0,960.95,116601
2025-06-18T10:15:00+05:30,960.85,962.25,953.55,954.5,40591
2025-06-18T11:15:00+05:30,954.75,954.9,949.25,953.2,23983
2025-06-18T12:15:00+05:30,953.45,963.45,953.35,959.7,322419
2025-06-18T13:15:00+05:30,959.7,965.3,959.65,961.3,198526
2025-06-18T14:15:00+05:30,961.05,962.6,956.5,956.5,226112
2025-06-18T15:15:00+05:30,956.9,959.4,956.2,957.0,86702
2025-06-19T09:15:00+05:30,957.5,957.5,950.2,954.7,152964
2025-06-19T10:15:00+05:30,954.65,956.6,952.0,954.2,62208
2025-06-19T11:15:00+05:30,953.95,955.95,951.15,951.95,54986
2025-06-19T12:15:00+05:30,951.8,955.55,948.5,950.35,310615
2025-06-19T13:15:00+05:30,950.35,954.5,948.75,953.2,75127
2025-06-19T14:15:00+05:30,953.5,954.3,949.4,950.2,88632
2025-06-19T15:15:00+05:30,950.55,951.1,947.0,948.95,43460
2025-06-20T09:15:00+05:30,948.9,953.95,944.0,947.1,75103
2025-06-20T10:15:00+05:30,946.8,956.5,946.3,955.4,94033
2025-06-20T11:15:00+05:30,955.4,955.85,952.05,955.7,35766
2025-06-20T12:15:00+05:30,955.2,955.2,950.0,953.8,130348
2025-06-20T13:15:00+05:30,954.15,958.5,954.15,956.85,25749
2025-06-20T14:15:00+05:30,956.85,960.35,956.4,956.9,198596
2025-06-20T15:15:00+05:30,956.85,957.95,954.0,955.0,145870
2025-06-23T09:15:00+05:30,948.6,956.0,946.9,954.45,102428
2025-06-23T10:15:00+05:30,954.45,955.4,950.5,954.8,72702
2025-06-23T11:15:00+05:30,954.65,957.1,953.25,955.05,19764
2025-06-23T12:15:00+05:30,955.05,957.95,951.2,951.65,196827
